,creatorID,creatorName,socialMediaURL,YoutubeSubscribers,YoutubeViews,YoutubeVideos
0,UCoyA-0efbgYY7GAAvrRH0ZA,[대박땅꾼] 전은규,https://www.youtube.com/channel/UCoyA-0efbgYY7GAAvrRH0ZA/,68300,3263655,244
1,125_yu.nim,125,http://instagram.com/125_yu.nim,,,
2,3am_sesi,12DOSTUDIO(세시),https://instagram.com/3am_sesi,,,
3,14.day,14일,https://instagram.com/14.day,,,
4,akqjatk12,1억치트키,https://cafe.naver.com/akqjatk12,,,
5,UCotiBSGv8a064wPti8tlUEA,1프로마케터 서동민,https://www.youtube.com/channel/UCotiBSGv8a064wPti8tlUEA,70,780,1
6,221._._,221,https://instagram.com/221._._,,,
7,_23iii_,23iii,https://instagram.com/_23iii_,,,
8,43_pon,43,https://www.instagram.com/43_pon/,,,
9,UC0eKU-46gbDgPZYrc3NC9dQ,43,https://www.youtube.com/channel/UC0eKU-46gbDgPZYrc3NC9dQ,8330,163242,20
10,43_pon,43,https://twitter.com/43_pon,,,
11,aastudio_korea,AA STUDIO,https://www.instagram.com/aastudio_korea,,,
12,areezakang,AA STUDIO,https://www.instagram.com/areezakang/,,,
13,aa_ssam,aassam,https://instagram.com/aa_ssam,,,
14,aassam_studio,aassam,https://www.instagram.com/aassam_studio/,,,
15,accah_accah,accaH,http://instagram.com/accah_accah,,,
16,acia_kr,ACIA 김수연,https://www.instagram.com/acia_kr/,,,
17,aint_coffee,Ain't,https://www.instagram.com/aint_coffee/,,,
18,UCfHxz4MDtLkBHD_H2oDNnmw,Aisha,https://www.youtube.com/channel/UCfHxz4MDtLkBHD_H2oDNnmw,34,156,3
19,aisha.classroom,Aisha,https://www.instagram.com/aisha.classroom,,,
20,fill_aisha,Aisha,https://blog.naver.com/fill_aisha,,,
21,lipcolor___,Alice,https://instagram.com/lipcolor___?igshid=3m8q3hcpu68n,,,
22,wygoood,Anago,https://blog.naver.com/wygoood,,,
23,super_anago,Anago,https://www.instagram.com/super_anago,,,
24,Artheaven,Artheaven,https://youtube.com/c/Artheaven,,,
25,artheaven_space,Artheaven,https://www.instagram.com/artheaven_space/,,,
26,artye11,artye(최예지),https://www.instagram.com/artye11,,,
27,joaaayoung,AY,https://www.instagram.com/joaaayoung,,,
28,bside701,B SIDE,https://www.instagram.com/bside701/,,,
29,bf_ok,BF.,http://instagram.com/bf_ok,,,
30,BF_ok,BF.,http://twitter.com/BF_ok,,,
31,drawingbhr,bhr,http://instagram.com/drawingbhr,,,
32,hyobin0615,BONBON,https://instagram.com/hyobin0615,,,
33,from_b____,Bron,https://twitter.com/from_b____,,,
34,broon_,Bron,http://blog.naver.com/broon_,,,
35,,Bryan,https://vizlab.tistory.com/,,,
36,btaste_3knocks,BTASTE,https://www.instagram.com/btaste_3knocks/,,,
37,bynaeng,bynaeng,https://instagram.com/bynaeng,,,
38,nearfore,bynaeng,https://m.smartstore.naver.com/nearfore,,,
39,timeforbys,bys,https://www.instagram.com/timeforbys/,,,
40,timeforbys,bys,http://www.twitter.com/timeforbys,,,
41,by_hanco,by한코,http://instagram.com/by_hanco,,,
42,jyalth,by한코,https://youtube.com/user/jyalth,,,
43,ccarmin_,ccarmin카아민,https://instagram.com/ccarmin_,,,
44,ccarmin,ccarmin카아민,https://www.youtube.com/c/ccarmin,,,
45,chany6.6,chany,https://www.instagram.com/chany6.6/,,,
46,chobchop,chobchop,https://instagram.com/chobchop,,,
47,choierart,"choier, 최 형 석",https://instagram.com/choierart,,,
48,choierart,"choier, 최 형 석",http://facebook.com/choierart,,,
49,indigochoi,"choier, 최 형 석",https://www.youtube.com/user/indigochoi,,,
