,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL,finalPrice
0,"[🎁준비물무료] 연필 하나만으로 모든 분위기를 담아내요, 둡의 연필 드로잉",penPencil,연필 인물 드로잉,입문자,20주 수강 가능,11,33,바로 수강 가능,True,둡,https://instagram.com/mood.doop,"6,283",97%,330개의 글,29317,,,,"363,029원","-121,507원","-41,548원",5개월 할부,44%,"월 39,994원",준비물0원,2021-06-09,https://class101.net/products/hf3H7C5T96VByVsA3ZRz,"199,974원"
0,"[🏆BEST특가] 여행 드로잉, 꿈만 꾸지 마세요. 핀든아트와 여행, 그리다",penPencil,여행 드로잉,입문자,20주 수강 가능,9,33,바로 수강 가능,True,Findenart 핀든아트,"https://www.instagram.com/finden_art/, https://www.youtube.com/channel/UCnd9SqiVyFlAUbBV6jekVCQ","5,756",98%,400개의 글,20476,,,,"439,589원","-140,089원","-50,000원",5개월 할부,43%,"월 49,900원",5만원 쿠폰,2021-06-09,https://class101.net/products/V8k5c11pRTsTAndDDseq,"249,500원"
0,[🏆BEST특가] 일러스트레이터 집시의 매력적인 얼굴 그리기,penPencil,인물화,입문자,20주 수강 가능,12,41,바로 수강 가능,True,zipcy,,"6,282",98%,306개의 글,16785,,,,"389,800원","-153,711원","-50,000원",5개월 할부,52%,"월 37,217원",5만원 쿠폰,2021-06-09,https://class101.net/products/EOuli518WG3wwLzt77Yb,"186,089원"
0,[🎁준비물무료] 어색한 그림은 이제 안녕! 드로잉 기초부터 시작하는 리니의 펜드로잉,penPencil,펜 드로잉,입문자,20주 수강 가능,12,37,바로 수강 가능,True,리니,"https://instagram.com/xoxo_rini, https://www.youtube.com/c/%EB%A6%AC%EB%8B%88rini","3,661",97%,96개의 글,15861,,,,"502,864원","-208,864원","-51,278원",5개월 할부,51%,"월 48,544원",준비물0원,2021-06-09,https://class101.net/products/6PhjgFl7CldOCg7yv6mX,"242,722원"
0,"[🔥상반기 총결산] 약국과 함께 펜 하나로 그리는 분위기 있는 인물, 나만의 세계",penPencil,펜드로잉 인물화,초급자,20주 수강 가능,11,45,바로 수강 가능,True,약국,"https://www.youtube.com/bad_pharmacy, https://www.instagram.com/bad_pharmacy/, https://twitter.com/DURB5",982,98%,266개의 글,10261,,,,"387,600원","-123,100원","-50,000원",5개월 할부,44%,"월 42,900원",5만원 쿠폰,2021-06-09,https://class101.net/products/qX5YuvRsls07ucbb9v9O,"214,500원"
0,"[🔥상반기 총결산] 인체 드로잉, 사람을 이해하고 마음을 그리다",penPencil,인체 드로잉,초급자,20주 수강 가능,11,34,바로 수강 가능,True,소은,http://artistsoeun.com/,731,98%,96개의 글,8099,99,평균 3일 이내 응답,"3,675개의 피드백 더보기","390,900원","-154,200원","-50,000원",5개월 할부,52%,"월 37,340원",5만원 쿠폰,2021-06-09,https://class101.net/products/P4W0gjacGKNBY9KBlLg5,"186,700원"
0,"[💣24시간] 크로키로 찾아가는 나만의 선, 나만의 드로잉",penPencil,연필과 펜으로 그리는 그림,초급자,20주 수강 가능,11,31,바로 수강 가능,True,조맹,"https://www.youtube.com/c/chommang_drawing, https://www.instagram.com/chommang/",513,99%,53개의 글,6005,98,평균 3일 이내 응답,"4,864개의 피드백 더보기","332,300원","-87,050원","-50,000원",5개월 할부,41%,"월 39,050원",6만원 쿠폰,2021-06-09,https://class101.net/products/oneOsznr5gRHDmFReCPp,"195,250원"
0,"[클래스문방구] 건축가에게 배우는 남다른 공간감, 어반스케치 펜드로잉 입문",penPencil,어반스케치,입문자,20주 수강 가능,10,28,바로 수강 가능,True,sketch_forum,https://instagram.com/sketch_forum,888,98%,97개의 글,5801,90,평균 하루 이내 응답,"2,510개의 피드백 더보기","338,500원","-107,680원","-40,000원",5개월 할부,43%,"월 38,164원",3만원 쿠폰,2021-06-09,https://class101.net/products/gBHRw8qp2iV53SObiLV8,"190,820원"
0,"[🔥상반기 총결산] 그림이라는 놀이, 재수의 일상포착 포켓 드로잉",penPencil,드로잉,입문자,20주 수강 가능,11,48,바로 수강 가능,False,재수,https://www.instagram.com/jessoo/,226,100%,37개의 글,5025,93,,"2,436개의 피드백 더보기","369,000원","-94,456원","-50,000원",5개월 할부,39%,"월 44,908원",5만원 쿠폰,2021-06-09,https://class101.net/products/zB1VKXYMqzMmVG2IUgnH,"224,544원"
0,[클래스문방구] 흑백사진 같은 서일환의 리얼리즘 연필 인물화,penPencil,리얼리즘 연필인물 드로잉,초급자,20주 수강 가능,12,33,바로 수강 가능,True,서일환,https://instagram.com/s_ilhwan,246,83%,47개의 글,4385,,,,"300,900원","-98,067원","-40,000원",5개월 할부,45%,"월 32,566원",3만원 쿠폰,2021-06-09,https://class101.net/products/O0GCC7jZRFG0Ovl29861,"162,833원"
