,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[💣24시간] 퇴근 후 만나는 나의 가죽 공방, 가죽공예 기초부터 완성까지!",가죽공예,"기초부터 소품의 디자인, 가방의 구조까지 모두 담긴 가죽 공예",초급자,20주 수강 가능,11,59,바로 수강 가능,True,스튜디오 랩딥,https://www.instagram.com/studiolabdip,935,99%,238개의 글,8761,100,평균 7일 이내 응답,"3,855개의 피드백 더보기","558,650원","-49,500원","-60,000원","449,150원",6개월 할부,19%,"월 74,858원",6만원 쿠폰,2021-06-09,https://class101.net/products/EE9WltzGqF2ufPsqSlUA
0,[클래스문방구] 품프로젝트의 하루만에 완성하는 나만의 버킷백,가죽공예,가죽공예,입문자,8주 수강 가능,6,18,바로 수강 가능,True,품프로젝트,"https://instagram.com/mmmproject, http://mmmproject.blog/",202,94%,34개의 글,2814,,,,"194,265원","-44,565원","-30,000원","119,700원",5개월 할부,38%,"월 23,940원",3만원 쿠폰,2021-06-09,https://class101.net/products/d1AKLTHAFvNSUuDM6noj
0,[클래스문방구] 탄탄한 게 제일 좋아! 블랙탄의 탄탄한 가죽 공예,가죽공예,가죽 공예,입문자,20주 수강 가능,10,46,바로 수강 가능,True,블랙탄,https://instagram.com/blacktan_artist,389,99%,53개의 글,2651,,,,"368,240원","-68,740원","-40,000원","259,500원",5개월 할부,29%,"월 51,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/BOoOh03vtd0VMSognist
0,[클래스문방구] 추억이 담긴 가죽 그리고 나의 작은 공방,가죽공예,가죽공예,입문자,20주 수강 가능,8,47,바로 수강 가능,True,라미서울,"https://instagram.com/ramiseoul, https://www.youtube.com/channel/UCaa07NsciAf0CCCavMPyFlA/featured, https://www.facebook.com/Leather.Rami",249,95%,8개의 글,2154,,,,"342,889원","-43,389원","-30,000원","269,500원",5개월 할부,21%,"월 53,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/ramiseoul
0,[클래스문방구] 뚝딱뚝딱 내 책상에서 시작하는 미니 가죽공방,가죽공예,가죽공예,입문자,20주 수강 가능,7,30,바로 수강 가능,True,offn,https://instagram.com/Superhany,146,90%,2개의 글,2152,,,,"484,000원","-84,500원","-40,000원","359,500원",5개월 할부,25%,"월 71,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/Okuxt8SVlSKmid8SfYsz
0,"[클래스문방구] 내 발걸음이 닿는 곳, 그 이야기를 담는 가죽 가방",가죽공예,가죽공예,중급자,20주 수강 가능,9,38,바로 수강 가능,True,라미서울,"https://instagram.com/ramiseoul, https://www.youtube.com/channel/UCaa07NsciAf0CCCavMPyFlA/featured, https://www.facebook.com/Leather.Rami",62,92%,15개의 글,2012,,,,"262,789원","-50,290원","-40,000원","172,499원",5개월 할부,34%,"월 34,499원",3만원 쿠폰,2021-06-09,https://class101.net/products/rami-bag
0,"[클래스문방구] 내 취향에 맞추어, 멋지게 완성하는 6가지 가죽 소품",가죽공예,가죽 공예,초급자,20주 수강 가능,10,55,바로 수강 가능,True,BTASTE,https://www.instagram.com/btaste_3knocks/,86,95%,37개의 글,1842,92,평균 7일 이내 응답,420개의 피드백 더보기,"468,650원","-44,150원","-40,000원","384,500원",6개월 할부,17%,"월 64,083원",3만원 쿠폰,2021-06-09,https://class101.net/products/nprwpfGGk6O4LFS6oUIw
0,"[🏆BEST특가] 한땀 한땀, 손안에 쏙 들어오는 인형 가죽 신발과 가방",가죽공예,인형 가죽 신발과 가방,초급자,20주 수강 가능,10,40,바로 수강 가능,True,윤맘,"https://www.instagram.com/yoonmom_story, https://blog.naver.com/hch260605",452,100%,91개의 글,1440,100,평균 하루 이내 응답,"1,734개의 피드백 더보기","483,400원","-81,000원","-50,000원","352,400원",5개월 할부,27%,"월 70,480원",5만원 쿠폰,2021-06-09,https://class101.net/products/IQeZhZHWIm3sUZoRBkho
0,"[🏆BEST특가] 상상하던 디자인을 현실로, 가죽 가방 패턴과 제작 완전 정복",가죽공예,가죽 공예,중급자,24주 수강 가능,9,57,바로 수강 가능,True,스튜디오 랩딥,https://www.instagram.com/studiolabdip,,,17개의 글,1130,,,,"598,960원","-84,060원","-50,000원","464,900원",6개월 할부,22%,"월 77,483원",5만원 쿠폰,2021-06-09,https://class101.net/products/KCARBaecNoefb4XiTxaL
0,"[클래스문방구] 앙증맞은 인형신발, 패턴과 라스트까지! 직접 만들어 볼까요?",가죽공예,미니어처 가죽공예,초급자,20주 수강 가능,15,52,바로 수강 가능,True,애니쌤,"http://instagram.com/anyhouse26, http://blog.naver.com/prisera",279,100%,63개의 글,1107,,,,"497,900원","-82,500원","-40,000원","375,400원",6개월 할부,24%,"월 62,566원",3만원 쿠폰,2021-06-09,https://class101.net/products/rSnT9Na0YVTW16gPq6Cd
0,[클래스문방구] 17년차 디자이너에게 배우는 가죽 가방 디자인의 모든 것,가죽공예,가죽 가방 & 소품 디자인 이해하며 만들기,초급자,20주 수강 가능,8,26,바로 수강 가능,True,LEEHOZE,https://www.instagram.com/leeho_official/,35,97%,18개의 글,1071,,,,"396,073원","-34,573원","-100,000원","261,500원",5개월 할부,33%,"월 52,300원",10만원 쿠폰,2021-06-09,https://class101.net/products/IETmd9VDsGew6FY8Hk92
0,"[클래스문방구] 더 쉽게, 더 꼼꼼하게 완성하는 인형 신발과 가죽 가방 클래스",가죽공예,"가죽 인형 가방, 신발 제작",초급자,20주 수강 가능,12,66,바로 수강 가능,False,와이즈,https://instagram.com/inine_1102,60,97%,35개의 글,782,,,,"415,200원","-75,700원","-40,000원","299,500원",5개월 할부,27%,"월 59,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/mkMB42fapEiT03Ql9SAD
0,[💖인기검색] 초보도 하루면 뚝딱! 나무와 가죽으로 로망이 실현되는 감성 캠핑 소품 만들기,가죽공예,목공(소가구) & 가죽공예,중급자,12주 수강 가능,7,20,바로 수강 가능,False,초록스튜디오,"https://www.instagram.com/chorok_studio, http://www.chorokstudio.com/",22,100%,7개의 글,763,,,,"484,200원","-146,500원","-40,000원","297,700원",3개월 할부,38%,"월 99,233원",3만원 쿠폰,2021-06-09,https://class101.net/products/fg6hyvk4lXKwlU26FZlk
0,"[클래스문방구] 내 손으로 직접 만든 가죽 인형신발, 내 인형에게 선물해요.",가죽공예,"인형소품, 인형신발",입문자,20주 수강 가능,11,44,바로 수강 가능,False,르퀸즈,"http://instagram.com/lequeenz_official, http://instagram.com/leatherbijou, http://blog.naver.com/jenw0531",,,42개의 글,547,,,,"390,238원","-83,695원","-40,000원","266,543원",5개월 할부,31%,"월 53,308원",3만원 쿠폰,2021-06-09,https://class101.net/products/rVkQ8RMp5yOI4VHh1YCx
0,"[클래스문방구] 내가 갖고 싶은 그것, 취향으로 채우는 나의 가죽 공방",가죽공예,가죽공예,초급자,20주 수강 가능,9,41,바로 수강 가능,False,바농레더,https://www.instagram.com/banong_leather,,,15개의 글,537,,,,"483,600원","-90,600원","-40,000원","353,000원",5개월 할부,27%,"월 70,600원",3만원 쿠폰,2021-06-09,https://class101.net/products/WQ0f66KwTi5MVMw5Uy55
0,[클래스문방구] 내 손으로 수제화 장인처럼! 나만의 가죽 슬리퍼 만들기,가죽공예,"가죽공예, 수제 슬리퍼",중급자,20주 수강 가능,9,53,바로 수강 가능,True,블랙탄,https://instagram.com/blacktan_artist,,,21개의 글,522,,,,"452,100원","-35,600원","-40,000원","376,500원",5개월 할부,16%,"월 75,300원",3만원 쿠폰,2021-06-09,https://class101.net/products/RioNBYIa96JAS8nlKcEB
0,[클래스문방구] YES I CAN DO! 어디서든 할 수 있는 방구석 가죽 공예,가죽공예,가죽 공예,입문자,20주 수강 가능,8,39,바로 수강 가능,True,이비그가죽공방 EVIGHET,"https://www.instagram.com/evighet_leather/, https://www.youtube.com/channel/UCyqAeSzibAxcKgEeBwLQa9g, https://blog.naver.com/evighet8",,,6개의 글,431,,,,"519,700원","-75,200원","-40,000원","404,500원",5개월 할부,22%,"월 80,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/gk7jrguGOg0k63Tj8F7c
0,"[클래스문방구] 정성이 묻은 소품들, 시간이 지날수록 깊어지는 나만의 가죽 공방",가죽공예,가죽공예,입문자,20주 수강 가능,11,38,바로 수강 가능,True,무든 가죽공방,"https://blog.naver.com/bb__in, https://moodn.co.kr/, https://blog.naver.com/bb__in",,,21개의 글,413,,,,"482,700원","-68,200원","-40,000원","374,500원",5개월 할부,22%,"월 74,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/R38sGT9W1TuFuerrUoYy
0,"[클래스문방구] 실패할 걱정 없이, 원하는 색으로 만드는 5가지 가죽 소품",가죽공예,가죽공예,초급자,20주 수강 가능,9,41,바로 수강 가능,False,클로시(cloosea),https://www.instagram.com/clossea_/,,,,333,,,,"249,000원","-66,000원","-40,000원","143,000원",5개월 할부,42%,"월 28,600원",3만원 쿠폰,2021-06-09,https://class101.net/products/Sq3UIrMS3QLJ1Fb5vi0f
0,[클래스문방구] 집에서도 간편하게 즐기는 가죽공예 - 소품부터 가방까지,가죽공예,가죽공예,입문자,20주 수강 가능,7,28,바로 수강 가능,False,카프가죽공방 현주쌤,https://www.instagram.com/calf.atelier/,,,7개의 글,264,100,평균 3일 이내 응답,32개의 피드백 더보기,"429,000원","-69,500원","-30,000원","329,500원",5개월 할부,23%,"월 65,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/BH0z3xTgJvhJ6RjCiRUJ
0,[꿀조합 할인🍯] 스튜디오 랩딥과 함께하는 가죽공예 A to Z,가죽공예,가죽 공예,입문자,1년 수강 가능,0,0,바로 수강 가능,True,클래스101,,,,,151,,,,"1,181,496원","-171,736원","-40,000원","969,760원",12개월 할부,17%,"월 80,813원",3만원 쿠폰,2021-06-09,https://class101.net/products/qy5vj6yYeUBozgHCszJX
