,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[클래스문방구] 네이버 개발자 뮤와 함께하는 내인생 첫번째 앱 만들기,개발,모바일 앱 개발,입문자,20주 수강 가능,10,50,바로 수강 가능,True,뮤,,307,90%,139개의 글,8653,,,,"369,000원","-149,500원","-40,000원","179,500원",5개월 할부,51%,"월 35,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/lFw0O4E6KJPDPdhF192N
0,"[🏆BEST특가] 파이썬 첫걸음부터 풀패키지, 잔재미코딩의 자동화 프로그램 만들기!",개발,파이썬 자동화 프로그램 만들기,입문자,1년 수강 가능,13,64,바로 수강 가능,True,잔재미코딩,https://www.fun-coding.org/,190,98%,50개의 글,4260,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",4만원 쿠폰,2021-06-10,https://class101.net/products/xYzEJ7cXkumFGexsdAI6
0,"[클래스문방구] 개발자가 되고 싶은 당신을 위해, 개발자가 되는 로드맵 A to Z",개발,IT 개발자 되는 법,입문자,20주 수강 가능,10,41,바로 수강 가능,True,,,230,95%,46개의 글,2000,,,,"297,400원","-102,540원","-40,000원","154,860원",5개월 할부,47%,"월 30,972원",3만원 쿠폰,2021-06-10,https://class101.net/products/aq9m4o2jJgjqfi7AFILm
0,[클래스문방구] POWER BI로 배우는 데이터 시각화,개발,데이터분석 및 시각화,입문자,20주 수강 가능,10,33,바로 수강 가능,True,투마일러(2miler),"https://www.youtube.com/channel/UCiGZkLdhRN_jPWdwsQx3W0g?view_as=subscriber, https://www.instagram.com/2miles_official/, https://www.facebook.com/2miles-Cloud-Business-Enabler-257349544931341/",105,95%,67개의 글,1900,,,,"284,300원","-102,090원","-40,000원","142,210원",5개월 할부,49%,"월 28,442원",3만원 쿠폰,2021-06-10,https://class101.net/products/ga97C7ufv4RdSiAQeS5j
0,"[🏆BEST특가] SQL 과 파이썬 데이터 분석 풀패키지, 비트코인, 부동산, 주식도 분석해보기!",개발,SQL & 파이썬 데이터 분석,입문자,1년 수강 가능,12,69,바로 수강 가능,False,잔재미코딩,https://www.fun-coding.org/,61,100%,13개의 글,1753,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",4만원 쿠폰,2021-06-10,https://class101.net/products/frsqaRHmeWDTZwvy0yBt
0,"[클래스문방구] 코딩하는거니의 문과 감성 실용 파이썬, 나의 첫 프로그래밍!",개발,파이썬 프로그래밍 & 업무 자동화,입문자,20주 수강 가능,7,34,바로 수강 가능,False,코딩하는거니,"https://www.youtube.com/channel/UCO7g158NWgLyn98z8v3zduA, https://www.instagram.com/algorithmtogether/",61,100%,11개의 글,1167,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",3만원 쿠폰,2021-06-10,https://class101.net/products/XwNFvAxss1icQQS2I1RQ
0,[🔥상반기 총결산] 세상에서 제일 쉬운 파이썬 101,개발,코딩&프로그래밍 첫걸음,입문자,20주 수강 가능,9,29,바로 수강 가능,False,연구소장,,74,93%,9개의 글,1089,98,평균 3일 이내 응답,541개의 피드백 더보기,"199,000원","-80,000원","-40,000원","79,000원",5개월 할부,60%,"월 15,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/Dip9O8ikht5Yhdc2C1FQ
0,[🔥상반기 총결산] 15년 차 웹 개발자가 제대로 알려주는 웹 코딩 입문!,개발,웹 코딩,입문자,20주 수강 가능,8,65,바로 수강 가능,False,몰입코딩,https://www.youtube.com/channel/UCiw6ewVgQkLMmgWjQp1-gKQ,,,25개의 글,1044,,,,"213,000원","-94,000원","-40,000원","79,000원",5개월 할부,62%,"월 15,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/9131eDgx0mdOAt8VKlPC
0,"[🔥상반기 총결산] [비전공자도 OK] 구글 엔지니어가 알려주는, 용돈 벌어주는 나만의 앱 만들어보기",개발,모바일 앱 개발 및 수익화,입문자,20주 수강 가능,10,45,바로 수강 가능,False,커니,https://androidhuman.com/,,,20개의 글,943,,,,"229,000원","-50,000원","-50,000원","129,000원",5개월 할부,43%,"월 25,800원",5만원 쿠폰,2021-06-10,https://class101.net/products/ivyFm4s7ct39qsUa8Nf3
0,[클래스문방구] [취업 연계] 커리어 코스 - 한큐 프로의 JAVA 웹 개발자 양성 과정,개발,풀 스택 웹 개발자 취업 준비 과정,입문자,1년 수강 가능,7,101,바로 수강 가능,True,한큐,"https://www.youtube.com/channel/UCkWwuQT4J0tHKbF92ssbLHg, https://cafe.naver.com/amunamuna, https://www.instagram.com/ssugyu/",44,95%,,907,,,,"2,500,000원","-280,000원","-40,000원","2,180,000원",12개월 할부,12%,"월 181,666원",3만원 쿠폰,2021-06-10,https://class101.net/products/w4gydjJ2YeNIAERcLnsx
