,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🔥상반기 총결산] 샐러드만으로 맛과 양 모두 즐기는 샐러드 레시피 & 드레싱 클래스,건강식,샐러드 & 드레싱 만들기,초급자,20주 수강 가능,11,42,바로 수강 가능,True,리화쌤,https://instagram.com/lihwa_ssam,"1,247",99%,51개의 글,6285,90,평균 3일 이내 응답,"2,291개의 피드백 더보기","309,000원","-74,500원","-50,000원","184,500원",5개월 할부,40%,"월 36,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/rmnOGYTnVwFJQqStdAig
0,"[💖인기검색] 고기는 포기해도, 디저트는 포기 못해! 달콤한 비건 로푸드 디저트 레시피",건강식,로푸드 디저트 (노오븐 비건 베이킹),입문자,20주 수강 가능,10,35,바로 수강 가능,True,dalas다라스,https://www.youtube.com/channel/UCbRAx-4eCTLdkEc1JQzHu3A,221,98%,159개의 글,5406,,,,"419,000원","-134,500원","-50,000원","234,500원",5개월 할부,44%,"월 46,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/yeUMbbemjbBiubecR26j
0,[클래스문방구] 밀가루NO! 쌀가루로 만드는 건강하고 담백한 베이킹,건강식,쌀 베이킹,입문자,20주 수강 가능,9,39,바로 수강 가능,True,하이디공방,https://instagram.com/hydee_89,378,97%,192개의 글,3947,,,,"338,500원","-126,875원","-40,000원","171,625원",5개월 할부,49%,"월 34,325원",3만원 쿠폰,2021-06-10,https://class101.net/products/svZ7eGielERoohoJh3Jp
0,[💖인기검색] 찹찹테이블의 눈과 입이 행복한 건강식 레시피,건강식,"다이어트, 요리, 건강식",입문자,20주 수강 가능,9,29,바로 수강 가능,True,chobchop,https://instagram.com/chobchop,351,96%,72개의 글,3772,,,,"289,380원","-69,880원","-50,000원","169,500원",5개월 할부,41%,"월 33,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/ORyv8X6Gbni7CqT3USqr
0,"[💖인기검색] 요나와 함께하는 재료의 산책, 봄과 여름의 채소 요리",건강식,채소요리,입문자,20주 수강 가능,12,24,바로 수강 가능,True,yona,"https://instagram.com/yonayonakoh, https://101.gg/3fpmxlg",358,97%,95개의 글,3693,,,,"387,000원","-147,500원","-50,000원","189,500원",5개월 할부,51%,"월 37,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/HtEba9WtklDYfPxzqCHB
0,[💖인기검색] 건강하고 맛있게 즐기는 찌니빵공장의 비건 홈카페 디저트,건강식,건강한 홈디저트 만들기,초급자,20주 수강 가능,11,39,바로 수강 가능,True,찌니빵공장,https://www.instagram.com/jjinibread/,117,92%,33개의 글,3452,,,,"279,000원","-69,500원","-50,000원","159,500원",5개월 할부,42%,"월 31,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/riwZFwbnXFK6E3dMgPsE
0,"[클래스문방구] 청미당과 함께, 쉽고 건강하고 맛있는 쌀 베이킹",건강식,베이킹,입문자,16주 수강 가능,9,30,바로 수강 가능,True,청미당,https://instagram.com/chungmidang,130,91%,78개의 글,2763,,,,"358,370원","-94,770원","-40,000원","223,600원",5개월 할부,37%,"월 44,720원",3만원 쿠폰,2021-06-10,https://class101.net/products/V9nKUZiXNM7RJ6hRcgfu
0,"[🔥상반기 총결산] 원리부터 이해해요, 감각적인 비건 無밀가루 디저트 베이킹",건강식,비건/글루텐프리 베이킹,초급자,20주 수강 가능,12,38,바로 수강 가능,True,꼼므크리제,"https://www.instagram.com/comme_chrije/, https://blog.naver.com/christine78910",366,98%,41개의 글,2737,99,평균 3일 이내 응답,"1,488개의 피드백 더보기","309,000원","-69,500원","-50,000원","189,500원",5개월 할부,38%,"월 37,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/Opom33jtLyz66DkHU9t6
0,[클래스문방구] 비건 베이커리 선두주자 빵어니스타와 함께하는 건강한 빵 만들기,건강식,건강한 빵 만들기,초급자,20주 수강 가능,8,30,바로 수강 가능,True,빵어니스타,https://www.instagram.com/panhonesta/,21,90%,25개의 글,2438,98,평균 3일 이내 응답,117개의 피드백 더보기,"386,000원","-77,000원","-40,000원","269,000원",5개월 할부,30%,"월 53,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/8Lc9iwwAney1WLBCYQDL
0,"[🔥상반기 총결산] 먹으면서 살빠지는 저탄수화물 레시피, 전세계 가정식으로 만나보세요.",건강식,저탄수화물 레시피,입문자,20주 수강 가능,11,32,바로 수강 가능,False,무니키친,"https://www.instagram.com/lunechoi/, http://www.youtube.com/c/MoonyKitchen",97,99%,16개의 글,2289,,,,"309,000원","-79,500원","-50,000원","179,500원",5개월 할부,41%,"월 35,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/WhSpqO9qMxOq9Zaf0DxV
