,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL,finalPrice
0,"[클래스문방구] 포근하고 따뜻하게, 아쌈의 과슈 색연필 일러스트",acrylicPaint,과슈,입문자,16주 수강 가능,10,34,바로 수강 가능,True,aassam,"https://instagram.com/aa_ssam, https://www.instagram.com/aassam_studio/","1,527",97%,72개의 글,4337,,,,"329,000원","-68,211원","-40,000원",3개월 할부,32%,"월 73,596원",3만원 쿠폰,2021-06-09,https://class101.net/products/gXKTNJQjKGN4E7sg38vv,"220,789원"
0,"[클래스문방구] 마음을 예쁘게 칠하는 법, 댄싱스네일의 과슈화",acrylicPaint,일러스트레이션,입문자,20주 수강 가능,9,34,바로 수강 가능,True,댄싱스네일,"https://instagram.com/dancing.snail, https://brunch.co.kr/@dancingsnail/",275,95%,27개의 글,2413,,,,"324,464원","-72,560원","-40,000원",5개월 할부,34%,"월 42,380원",3만원 쿠폰,2021-06-09,https://class101.net/products/AycJVYNZ87UW6TSB0gs0,"211,904원"
0,"[클래스문방구] 오늘 느끼는 작은 행복, 과슈 드로잉 다이어리",acrylicPaint,과슈 드로잉,입문자,20주 수강 가능,8,23,바로 수강 가능,True,유미미,"https://www.instagram.com/yumimi007/, https://www.instagram.com/yumimidrawing",206,90%,1개의 글,2344,,,,"269,000원","-82,000원","-40,000원",5개월 할부,45%,"월 29,400원",3만원 쿠폰,2021-06-09,https://class101.net/products/yumimi_art,"147,000원"
0,[클래스문방구] 유투버 슛뚜와 함께 아크릴로 그리는 포근한 풍경,acrylicPaint,아크릴화,입문자,20주 수강 가능,9,21,바로 수강 가능,True,슛뚜,"https://m.youtube.com/c/sueddu, https://instagram.com/sueddu",315,98%,33개의 글,2322,,,,"309,000원","-96,600원","-89,240원",5개월 할부,60%,"월 24,632원",3만원 쿠폰,2021-06-09,https://class101.net/products/RMyRDdRoJpJocacI3EtI,"123,160원"
0,"[클래스문방구] 현실, 그 이상을 그리다 - 화가 정중원과 함께하는 아크릴 인물화",acrylicPaint,아크릴 드로잉,중급자,20주 수강 가능,10,30,바로 수강 가능,True,정중원,https://instagram.com/reart_studio,874,98%,4개의 글,2185,,,,"414,400원","-144,500원","-40,000원",5개월 할부,44%,"월 45,980원",3만원 쿠폰,2021-06-09,https://class101.net/products/jeongjungwon,"229,900원"
0,"[클래스문방구] 여행, 색으로 기억해요! 리곡과 함께하는 포스터물감 드로잉",acrylicPaint,물감 일러스트,초급자,20주 수강 가능,9,31,바로 수강 가능,True,리곡,https://instagram.com/leegoc,40,90%,24개의 글,1924,,,,"387,800원","-124,457원","-40,000원",5개월 할부,42%,"월 44,668원",3만원 쿠폰,2021-06-09,https://class101.net/products/Z0eaDY5WRf054JfkNmFx,"223,343원"
0,"[🎁준비물무료] 아크릴 물감과 팔레트 나이프, 붓으로 그리는 캔버스화",acrylicPaint,캔버스 아크릴화,입문자,20주 수강 가능,9,23,바로 수강 가능,True,세레나아트 Serena,"https://www.youtube.com/c/SerenaArt, https://www.instagram.com/art_serena_/",152,99%,53개의 글,1697,,,,"375,800원","-100,804원","-74,496원",5개월 할부,46%,"월 40,100원",준비물0원,2021-06-09,https://class101.net/products/KZhaROOb94qwhmpjTfAY,"200,500원"
0,[💖인기검색] 나만의 색감과 디자인으로 완성하는 아크릴 공예의 모든것! 컷팅부터 염색까지,acrylicPaint,아크릴 공예,초급자,24주 수강 가능,9,25,바로 수강 가능,True,Studio Riposo,"https://www.instagram.com/studio_riposo/, https://www.studio-riposo.com/",47,96%,20개의 글,1368,,,,"485,200원","-69,800원","-50,000원",6개월 할부,24%,"월 60,900원",5만원 쿠폰,2021-06-09,https://class101.net/products/edJdWVU4yJ51GzEOnrmb,"365,400원"
0,"[클래스문방구] 감성적인 분위기, 아크릴 물감으로 나만의 풍경화 그리기",acrylicPaint,아크릴화,초급자,20주 수강 가능,8,19,바로 수강 가능,True,오토OTTO,"https://www.youtube.com/channel/UCdztZ0Xy9y23hV1erE0LKjA?view_as=subscriber, https://www.instagram.com/_otto_art/",,,10개의 글,959,,,,"418,700원","-94,200원","-40,000원",5개월 할부,32%,"월 56,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/CEjkT0nmBau8DipHq4T1,"284,500원"
0,"[클래스문방구] 직접 그리는 감각적인 그림, 서윤정과 함께하는 팝아트",acrylicPaint,팝아트,입문자,20주 수강 가능,12,40,바로 수강 가능,True,서윤정,https://instagram.com/inmyartofficial,182,93%,23개의 글,901,,,,"381,318원","-136,818원","-40,000원",5개월 할부,46%,"월 40,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/mLjsYexAlt7b54qpUTG9,"204,500원"
0,"[클래스문방구] 캔버스에 담는 나만의 작품, 초보자도 쉽고 재밌게 그리는 아크릴화 클래스",acrylicPaint,아크릴화,입문자,20주 수강 가능,9,24,바로 수강 가능,False,문뜰리에,http://www.instagram.com/moontelier,,,9개의 글,816,98,평균 3일 이내 응답,56개의 피드백 더보기,"420,170원","-78,000원","-30,000원",5개월 할부,25%,"월 62,434원",3만원 쿠폰,2021-06-09,https://class101.net/products/v8UwjZIlQVe8DqES7zUs,"312,170원"
0,"[🎁준비물무료] 포근한 과슈 수채화, 선데이와 함께 완성하는 한 권의 페인팅북",acrylicPaint,불투명 수채화,초급자,20주 수강 가능,9,43,바로 수강 가능,True,선데이,"https://www.youtube.com/channel/UCgIlXlp0SJLgBr4I_di9Odw?view_as=subscriber, https://www.instagram.com/sunday.island/",,,24개의 글,522,100,평균 12시간 이내 응답,353개의 피드백 더보기,"374,340원","-87,200원","-65,340원",5개월 할부,40%,"월 44,360원",준비물0원,2021-06-09,https://class101.net/products/PztTLLGW8jwzFpYhZxva,"221,800원"
0,"누구나 예술가가 되어! 백드롭 페인팅, 자유 추상화로 내 마음 표현하기",acrylicPaint,"백드롭페인팅, 창작추상화",입문자,20주 수강 가능,11,34,21.06.30 (수),True,뚜디쌤,"http://instagram.com/szq_gallery, https://www.youtube.com/channel/UC7wSpALk0cyTnxnVbxzoomg",,,11개의 글,396,,,,"448,700원","-134,200원","-10,000원",5개월 할부,32%,"월 60,900원",,2021-06-09,https://class101.net/products/l1QKGwUwoeVdD8Tjqz3n,"304,500원"
0,"[클래스문방구] 하늘 아래 같은 색조는 없다, 과슈&아크릴릭 인물 페인팅",acrylicPaint,아크릴릭 & 과슈 페인팅,입문자,20주 수강 가능,9,40,바로 수강 가능,False,남수르(Namsuru),"https://instagram.com/namsuru, https://www.youtube.com/channel/UCze6O2qH1xLfVmaxD-OdSNg",,,8개의 글,290,,,,"454,600원","-72,900원","-30,000원",5개월 할부,22%,"월 70,340원",3만원 쿠폰,2021-06-09,https://class101.net/products/5VmhROZbSEvqNfojNj7P,"351,700원"
0,"[클래스문방구] 스페인으로 떠나는 랜선 여행, 아크릴 풍경화 그리기",acrylicPaint,아크릴화,초급자,20주 수강 가능,9,28,바로 수강 가능,True,클로에,"https://www.instagram.com/cloe_easy_art/?hl=ko, https://bit.ly/2XkP5pE, https://www.myrealtrip.com/offers/42657",,,10개의 글,223,,,,"378,300원","-90,629원","-40,000원",5개월 할부,34%,"월 49,534원",3만원 쿠폰,2021-06-09,https://class101.net/products/FH8NeuHeNl0F9AtPyo7l,"247,671원"
