,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[🔥상반기 총결산] 기획에서 편집 디자인, 유통까지, 독립출판!",글쓰기,독립출판물 만들기,입문자,20주 수강 가능,10,39,바로 수강 가능,True,김현경,"http://instagram.com/warmgrayandblue, http://instagram.com/vanessahkim",280,95%,71개의 글,7141,,,,"317,730원","-101,330원","-50,000원","166,400원",5개월 할부,47%,"월 33,280원",5만원 쿠폰,2021-06-10,https://class101.net/products/LycGtxiZEAZB9gXZcbNx
0,[클래스문방구] 수수진과 함께 애플 기본프로그램으로 도전하는 독립출판,글쓰기,독립출판,입문자,20주 수강 가능,11,35,바로 수강 가능,True,수수진(프로젝트158),https://instagram.com/project158_,354,92%,87개의 글,5361,,,,"259,000원","-84,500원","-100,000원","74,500원",5개월 할부,71%,"월 14,900원",10만원 쿠폰,2021-06-10,https://class101.net/products/LxSD3pdSvmGoSu3Vk1oi
0,[💖인기검색] 8년차 에디터에게 배우는 '잘 팔리는' 콘텐츠 제작법,글쓰기,글쓰기,입문자,20주 수강 가능,8,38,바로 수강 가능,True,김도현,,333,90%,5개의 글,3663,,,,"298,500원","-102,510원","-40,000원","155,990원",5개월 할부,47%,"월 31,198원",3만원 쿠폰,2021-06-10,https://class101.net/products/o1WpOzKm5AbRRMUOnRUd
0,[클래스문방구] 언제쯤 내 마음을 글로 표현할 수 있을까?,글쓰기,나만의 에세이 쓰기 그리고 출판,입문자,20주 수강 가능,9,26,바로 수강 가능,True,장혜현,https://www.instagram.com/janghyehyun_/,224,82%,76개의 글,3643,,,,"266,400원","-113,830원","-40,000원","112,570원",5개월 할부,57%,"월 22,514원",3만원 쿠폰,2021-06-10,https://class101.net/products/SfRG8xcOZx1WYYPJUvDv
0,[🏆BEST특가] 판타지 웹 소설 작가 되어 ‘내 글’로 돈 벌어보기,글쓰기,웹 소설 작가 되기,입문자,20주 수강 가능,10,35,바로 수강 가능,True,진문,https://blog.naver.com/jinmunaca,550,97%,31개의 글,3138,99,평균 3일 이내 응답,"3,077개의 피드백 더보기","199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",4만원 쿠폰,2021-06-10,https://class101.net/products/snM41CNvsKuNsqjyz4EO
0,[🔥상반기 총결산] 20년차 방송작가의 '글 쓰는 게 만만해지는 하루 10분 메모 글쓰기',글쓰기,"글쓰기 , 에세이쓰기, 브런치(출간)작가",입문자,20주 수강 가능,8,27,바로 수강 가능,True,작가 이윤영(글쓰는한량),"https://blog.naver.com/rosa0509, https://brunch.co.kr/@rosa0509, http://www.yes24.com/Product/Goods/87662580?Acode=101, https://instagram.com/hanryang_writer, https://www.youtube.com/channel/UCjz1ukpH2A5-YIBCfJOVTbA",202,94%,14개의 글,2276,95,평균 3일 이내 응답,"3,307개의 피드백 더보기","369,600원","-104,680원","-40,000원","224,920원",5개월 할부,39%,"월 44,984원",3만원 쿠폰,2021-06-10,https://class101.net/products/bcmkBxBBWG7dqfBZ9iUt
0,"[🔥상반기 총결산] 요즘 작가가 알려 주는 요즘 대본, 공모전 시나리오 완성하기",글쓰기,시나리오 작법,입문자,20주 수강 가능,8,37,바로 수강 가능,True,나은,http://instagram.com/life_is_long_enough,247,100%,26개의 글,2238,,,,"179,000원","-20,300원","-50,000원","108,700원",5개월 할부,39%,"월 21,740원",5만원 쿠폰,2021-06-10,https://class101.net/products/DPoZd4DROSlUcNxYSVlx
0,[🏆BEST특가] 잘 팔리는 여성향 웹소설 쓰기! 작가 실전 트레이닝,글쓰기,웹소설,초급자,20주 수강 가능,7,26,바로 수강 가능,True,북마녀,https://www.youtube.com/c/JinjooBookwitch,358,97%,16개의 글,2014,,,,"189,000원","-30,300원","-50,000원","108,700원",5개월 할부,42%,"월 21,740원",5만원 쿠폰,2021-06-10,https://class101.net/products/w4aPU5t9U4eaCr0vrL5l
0,"[🔥상반기 총결산] 팔릴 수 밖에 없는 글쓰기, 내 가치를 열 배 이상으로 불리는 방법",글쓰기,'무엇이든 할 수 있게 만드는' 글쓰기,초급자,20주 수강 가능,9,33,바로 수강 가능,True,대학생 김머신,"https://www.youtube.com/channel/UCL1R6ur2nB1Mi7JQKgyDZzQ?view_as=subscriber, https://www.instagram.com/rlaajtls/",266,95%,6개의 글,1910,,,,"199,000원","-19,500원","-50,000원","129,500원",5개월 할부,34%,"월 25,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/OjfEAu1JAF2d0QObi7Ys
0,[🔥상반기 총결산] 29CM 헤드카피라이터 출신 이유미의 팔지않아도 사게 만드는 카피라이팅,글쓰기,공감 카피라이팅,입문자,20주 수강 가능,6,24,바로 수강 가능,True,밑줄 긋는 카피라이터 이유미,"https://brunch.co.kr/@yumileewyky, https://www.instagram.com/yumibongbong/",199,97%,1개의 글,1898,90,평균 7일 이내 응답,739개의 피드백 더보기,"199,000원","-40,300원","-50,000원","108,700원",5개월 할부,45%,"월 21,740원",5만원 쿠폰,2021-06-10,https://class101.net/products/pffl5xVYhyP2vJTeowKg
0,[클래스문방구] 토요일 3시간으로 완성하는 책 출간의 모든 것,글쓰기,책 출간,입문자,20주 수강 가능,11,32,바로 수강 가능,True,이임복,,39,97%,86개의 글,1854,,,,"312,000원","-97,500원","-40,000원","174,500원",5개월 할부,44%,"월 34,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/IjOPDGFhfZsRRfVJdAfs
0,[클래스문방구] 한 시간 210억 파는 장문정의 당장 돈되는 상품언어 마케팅,글쓰기,"쓱 보면 척 잡히는 최신 광고, 홍보, 세일즈, 마케팅 기술",입문자,20주 수강 가능,9,62,바로 수강 가능,True,장문정,"https://www.youtube.com/channel/UCmjAzHspwB2m8faoNyaaW3w, https://blog.naver.com/trust0203, https://www.instagram.com/trust0203/",380,99%,3개의 글,1840,,,,"398,000원","-105,510원","-40,000원","252,490원",5개월 할부,36%,"월 50,498원",3만원 쿠폰,2021-06-10,https://class101.net/products/20wWVPynXYH3Bl6r97sY
0,"[🔥상반기 총결산] 문학동네 편집팀장, 편집자K와 함께하는 출판 편집 실무",글쓰기,"출판, 편집, 독립출판",입문자,20주 수강 가능,8,27,바로 수강 가능,False,편집자K,"https://www.youtube.com/user/HARIN1983, https://www.instagram.com/essay_u/",119,98%,18개의 글,1556,101,평균 3시간 이내 응답,"1,204개의 피드백 더보기","229,000원","-40,000원","-50,000원","139,000원",5개월 할부,39%,"월 27,800원",5만원 쿠폰,2021-06-10,https://class101.net/products/UBNMsXOO8ZXMUXwRwDOu
