,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[🏆BEST특가] 전통의 아름다움, 메종드윤과 함께 만드는 한복 장신구",금속공예,한복장신구,초급자,20주 수강 가능,8,22,바로 수강 가능,True,메종드윤(가능성발명가),https://instagram.com/jangsingumarket,618,95%,92개의 글,6604,,,,"397,951원","-78,451원","-50,000원","269,500원",5개월 할부,32%,"월 53,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/ghaWB8YZBB5ACOBRspWV
0,[클래스문방구] 주얼리 디자이너에게 배우는 감각적인 실버주얼리 공예,금속공예,은 공예 주얼리,초급자,20주 수강 가능,11,36,바로 수강 가능,True,고유,"https://instagram.com/goyu__, https://class101.app/e/JDXJDQVqF8",471,97%,134개의 글,6061,,,,"505,900원","-62,720원","-30,000원","413,180원",5개월 할부,18%,"월 82,636원",3만원 쿠폰,2021-06-10,https://class101.net/products/ds6GBx1bqD6QUOxA8MYE
0,"[🔥상반기 총결산] 일상을 빛나게, 섬세한 금속 공예로 만나는 핸드메이드 주얼리",금속공예,금속 공예,초급자,24주 수강 가능,10,32,바로 수강 가능,True,블루도프,https://instagram.com/blued0pe,691,99%,72개의 글,5354,,,,"649,200원","-85,800원","-50,000원","513,400원",6개월 할부,20%,"월 85,566원",5만원 쿠폰,2021-06-10,https://class101.net/products/PIhKMEDngUpcXi81VkQN
0,[클래스문방구] 나만의 감각을 담아 탄생하는 단 하나의 실버 주얼리,금속공예,금속 공예,입문자,20주 수강 가능,10,32,바로 수강 가능,True,투모로우오브젝트(연주),https://instagram.com/tomorrow_object,148,95%,153개의 글,3524,,,,"506,400원","-65,350원","-40,000원","401,050원",5개월 할부,20%,"월 80,210원",3만원 쿠폰,2021-06-10,https://class101.net/products/IO5sOxWMnnvHh4Yxq4fD
0,[클래스문방구] 내가 원하는 대로! 녹챠방의 DIY 귀걸이 만들기 클래스,금속공예,귀걸이 만들기,입문자,20주 수강 가능,9,26,바로 수강 가능,True,녹챠방,https://www.instagram.com/nokcha_bang/,321,87%,43개의 글,2647,,,,"284,265원","-109,765원","-40,000원","134,500원",5개월 할부,52%,"월 26,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/URvQ6goZnlMoAr9zDO6g
0,[클래스문방구] 프랑꼬아트랩의 전문적인 커스텀 주얼리 제작 노하우 대방출!,금속공예,"주얼리, 액세서리 제작",초급자,20주 수강 가능,9,29,바로 수강 가능,True,프랑꼬아트랩,https://www.instagram.com/franco_art_lab,73,99%,52개의 글,1591,,,,"723,600원","-92,800원","-40,000원","590,800원",5개월 할부,18%,"월 118,160원",3만원 쿠폰,2021-06-10,https://class101.net/products/Rzt71jw0DibaYoIFKssl
0,"[클래스문방구] 3D모델링으로 주얼리 제작, 전문가에게 배우고 쉽게 완성하기",금속공예,"금속공예, 주얼리",입문자,20주 수강 가능,11,36,바로 수강 가능,True,ohuuu,https://www.instagram.com/ohuuu_/,25,96%,24개의 글,1344,97,평균 12시간 이내 응답,246개의 피드백 더보기,"483,300원","-80,600원","-40,000원","362,700원",5개월 할부,24%,"월 72,540원",3만원 쿠폰,2021-06-10,https://class101.net/products/esU1cfVtigD6WfEIxbi6
0,"[클래스문방구] 25종의 부자재 활용법으로, 나의 분위기를 담은 주얼리 제작하기",금속공예,주얼리 공예,입문자,20주 수강 가능,10,35,바로 수강 가능,True,녹챠방,https://www.instagram.com/nokcha_bang/,41,95%,14개의 글,1223,,,,"278,200원","-28,700원","-40,000원","209,500원",5개월 할부,24%,"월 41,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/75kTMZV6WLSLSZ2xpVIa
0,"[클래스문방구] 쉽게 배우는 은점토공예, 나만의 실버주얼리 만들기",금속공예,은점토 공예,입문자,20주 수강 가능,11,36,바로 수강 가능,True,갓구은,"https://www.youtube.com/charm4youcom/, https://www.instagram.com/godgun_kr/, https://blog.naver.com/llllll_haru",25,100%,23개의 글,1130,,,,"661,000원","-61,500원","-40,000원","559,500원",6개월 할부,15%,"월 93,250원",3만원 쿠폰,2021-06-10,https://class101.net/products/7Ux0704cbdXy8gWHnjuo
0,"[클래스문방구] 은과 진주로 엮는 9가지 감성 주얼리, 매일의 나에게 선물해요.",금속공예,홈메이드 주얼리,초급자,20주 수강 가능,9,20,바로 수강 가능,True,유니유노,"https://www.instagram.com/uniuno93, https://www.youtube.com/channel/UCfLvDfJlMs9ahmIIYp2YK1w?view_as=subscriber",31,90%,18개의 글,1061,,,,"425,200원","-30,700원","-40,000원","354,500원",5개월 할부,16%,"월 70,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/uyHlHKlQKDpahPyisoOw
