,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🔥상반기 총결산] 지친 하루를 다정하게 감싸줄 사계절 니트 양말 뜨기,대바늘뜨개,대바늘 양말뜨기,초급자,20주 수강 가능,13,61,바로 수강 가능,True,LOOOP,"http://www.instagram.com/eunj.jang/, http://www.instagram.com/looopstudio/","2,230",99%,320개의 글,8631,,,,"410,299원","-92,339원","-50,000원","267,960원",5개월 할부,34%,"월 53,592원",5만원 쿠폰,2021-06-09,https://class101.net/products/Ntb24i5h8F7D2l2MqmhI
0,[🔥상반기 총결산] 귀여워 너무 귀여워! 로빈을 따라 만드는 뜨개 인형들,대바늘뜨개,대바늘 인형,입문자,20주 수강 가능,15,60,바로 수강 가능,True,로빈,https://www.instagram.com/knitting_201/,459,98%,206개의 글,6051,,,,"496,201원","-126,451원","-50,000원","319,750원",5개월 할부,35%,"월 63,950원",5만원 쿠폰,2021-06-09,https://class101.net/products/Fqm9s07w2SClo3Uya3Hu
0,[🔥상반기 총결산] 내 몸에 맞춰 쉽게 뜨는 탑다운 가디건·슬리브리스,대바늘뜨개,뜨개질,초급자,24주 수강 가능,13,48,바로 수강 가능,True,바늘이야기 김대리,"https://www.youtube.com/user/banulstory/featured?view_as=subscriber, https://www.instagram.com/banulstory_official/","1,249",100%,174개의 글,6017,,,,"269,000원","-69,191원","-50,000원","149,809원",6개월 할부,44%,"월 24,968원",5만원 쿠폰,2021-06-09,https://class101.net/products/6JR3hVOcfqintrdxDpou
0,[🏆BEST특가] 어디서 샀어? 내가 뜬 거야! 모두가 탐내는 탑다운 스웨터 뜨기,대바늘뜨개,뜨개질,초급자,20주 수강 가능,11,33,바로 수강 가능,True,바늘이야기 김대리,"https://www.youtube.com/user/banulstory/featured?view_as=subscriber, https://www.instagram.com/banulstory_official/","1,695",99%,462개의 글,5573,,,,"209,000원","-67,050원","-50,000원","91,950원",5개월 할부,56%,"월 18,390원",5만원 쿠폰,2021-06-09,https://class101.net/products/NRgHWpH3Xe25Ba6joA9s
0,"[클래스문방구] 세상에서 가장 따뜻한, 코튼클래스의 처음 뜨는 나만의 스웨터",대바늘뜨개,가디건 니팅,입문자,16주 수강 가능,9,41,바로 수강 가능,True,코튼클래스,https://instagram.com/cottonclasskorea,"1,194",96%,70개의 글,4368,,,,"325,535원","-70,675원","-40,000원","214,860원",5개월 할부,33%,"월 42,972원",3만원 쿠폰,2021-06-09,https://class101.net/products/mB6LOZYQPibY5LtG0fUG
0,"[🔥상반기 총결산] 대바늘로 작은 소품과 아기옷까지, 초보자도 쉽게 완성하기",대바늘뜨개,대바늘 뜨기,입문자,20주 수강 가능,11,51,바로 수강 가능,True,니팅테이블,"https://www.instagram.com/knittingtable/, https://m.blog.naver.com/PostList.nhn?permalink=permalink&blogId=jaggoo_",232,97%,73개의 글,2341,100,평균 12시간 이내 응답,"2,176개의 피드백 더보기","318,248원","-28,748원","-50,000원","239,500원",5개월 할부,24%,"월 47,900원",5만원 쿠폰,2021-06-09,https://class101.net/products/HViGtWQu8NRxHejJW5RZ
0,"[🔥상반기 총결산] 작지만 큰 행복, 대바늘 뜨개로 엮는 유쾌한 인형",대바늘뜨개,대바늘 인형,입문자,20주 수강 가능,10,58,바로 수강 가능,True,포코그란데,https://www.instagram.com/pocogrande/,421,100%,65개의 글,1780,,,,"355,815원","-83,965원","-50,000원","221,850원",5개월 할부,37%,"월 44,370원",5만원 쿠폰,2021-06-09,https://class101.net/products/krOp7WrN8CGsZZZP9dmj
0,"[클래스문방구] 쉽게 뜨고 예쁘게 입히는, 대바늘로 뜨는 아이옷",대바늘뜨개,대바늘 아이옷,초급자,20주 수강 가능,9,51,바로 수강 가능,False,봉봉니트,https://instagram.com/_bonbon_knit,82,99%,60개의 글,1409,,,,"483,640원","-87,540원","-40,000원","356,100원",5개월 할부,26%,"월 71,220원",3만원 쿠폰,2021-06-09,https://class101.net/products/6WtoJHJzFTOrDMW4PmLv
0,"[클래스문방구] 나의 분위기를 담아 매일 조금씩, 뜨개옷 떠내려가기",대바늘뜨개,뜨개 의류 제작,초급자,24주 수강 가능,11,40,바로 수강 가능,True,은긍,"https://instagram.com/eun_geungg, https://blog.naver.com/keun0590",236,99%,53개의 글,1272,,,,"309,000원","-96,600원","-40,000원","172,400원",5개월 할부,44%,"월 34,480원",3만원 쿠폰,2021-06-09,https://class101.net/products/cBx2SzgyzsqePDc0uSEO
0,"[클래스문방구] 내 손에서 완성되는 명품 스웨터, 좋은 실로 좋은 뜨개를 시작해요.",대바늘뜨개,대바늘 탑다운 니팅 스웨터,초급자,24주 수강 가능,8,33,바로 수강 가능,False,니트카페,https://www.instagram.com/knitcafe_official,23,91%,9개의 글,973,,,,"601,226원","-86,426원","-40,000원","474,800원",6개월 할부,21%,"월 79,133원",3만원 쿠폰,2021-06-09,https://class101.net/products/vQoh4UQQ6NQ7Ign28ORz
