,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[🔥상반기 총결산] ""원밀리언 댄스 스튜디오 with 리아킴"" 에게 배우는 댄스 입문",댄스무용,댄스 입문,입문자,20주 수강 가능,12,36,바로 수강 가능,True,원밀리언,"https://www.youtube.com/c/1MILLIONDanceStudioofficial, https://www.instagram.com/1milliondance/, https://www.1milliondance.com/",138,98%,42개의 글,4070,,,,"309,000원","-59,500원","-50,000원","199,500원",5개월 할부,35%,"월 39,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/YFKrRC5UOQsTRCut2zqs
0,[클래스문방구] YG 전담 댄서에게 체계적으로 배우는 댄스 기초 A to Z,댄스무용,댄스,입문자,20주 수강 가능,8,32,바로 수강 가능,True,YGX - Rarmg,https://instagram.com/x_academy_official,74,97%,22개의 글,1248,,,,"299,000원","-79,500원","-40,000원","179,500원",5개월 할부,39%,"월 35,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/iqZZ5PFey08PMxLqgrHn
0,"[클래스문방구] 김니니의 댄스교실, 이제 내 방도 댄스교실이 될 수 있다!",댄스무용,댄스,중급자,20주 수강 가능,8,28,바로 수강 가능,True,김니니,"https://instagram.com/k__nini, https://www.youtube.com/channel/UC_Js3V1bWJDKObWvCgveTxw",50,94%,42개의 글,1164,,,,"309,000원","-97,300원","-40,000원","171,700원",5개월 할부,44%,"월 34,340원",3만원 쿠폰,2021-06-10,https://class101.net/products/ETFFpFCb7xbFJxAgjCYS
0,"[클래스문방구] 춤추는선진이의 신나는 현대무용 클래스, 누구나 춤꾼이 될 수 있는 댄스교실!",댄스무용,"춤, 운동,댄스,현대무용,다이어트",입문자,20주 수강 가능,9,27,바로 수강 가능,True,춤추는 선진이,"https://www.instagram.com/danse_jin/?hl=ko, https://www.youtube.com/channel/UCzuVLt12gtYVshSV7s-JfZQ",,,9개의 글,841,,,,"309,000원","-92,100원","-40,000원","176,900원",5개월 할부,42%,"월 35,380원",3만원 쿠폰,2021-06-10,https://class101.net/products/7JBjOXbG3Js3SuaQHUEK
0,,댄스무용,댄스,중급자,,,,,,저스트절크,"https://www.instagram.com/justjerkcrew, https://www.youtube.com/channel/UC9QgouA5IdEMZ-gmKz6av4Q",,,25개의 글,,,,,"490,000원","-150,800원","-40,000원","299,200원",12개월 할부,,"월 24,933원",3만원 쿠폰,2021-06-10,https://class101.net/products/6zJyCfHUir7RhGnsO6LB
0,[클래스문방구] 집에서 배우는 인생 첫 클래식 발레,댄스무용,발레,입문자,20주 수강 가능,9,24,바로 수강 가능,True,발레다노,"https://www.youtube.com/channel/UCdS7tvgYFXAPABCQY1lHIhQ/, https://www.instagram.com/darong230/, https://www.instagram.com/nojitangu/, https://www.youtube.com/channel/UCQoAjT0FMXoo6mc0Ctp9fqQ",,,11개의 글,462,,,,"264,800원","-52,700원","-40,000원","172,100원",5개월 할부,35%,"월 34,420원",3만원 쿠폰,2021-06-10,https://class101.net/products/Q0XXA1SymueSALrYkGFK
0,"[클래스문방구] 해외여행 가기 어려운 요즘, 다이어트댄스로 떠나는 세계여행! 글로벌 인싸의 길",댄스무용,댄스 피트니스,입문자,20주 수강 가능,11,41,바로 수강 가능,False,제임스,https://instagram.com/bonjourjames,,,19개의 글,428,,,,"279,000원","-69,500원","-40,000원","169,500원",5개월 할부,39%,"월 33,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/64CNCtmnzVtQIdGvXHLA
0,[클래스문방구] 자세교정부터 몸매관리까지! 혼자서 하는 '아르헨티나 탱고' 홈트,댄스무용,아르헨티나 탱고,입문자,20주 수강 가능,9,35,바로 수강 가능,True,한걸음,"http://cafe.daum.net/Tangoschool/, https://www.facebook.com/pasohan, https://www.youtube.com/channel/UCRfrHYI71KG-DN6Tg7Z2M1w",30,97%,22개의 글,397,,,,"309,000원","-69,500원","-40,000원","199,500원",5개월 할부,35%,"월 39,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/IOGyaSTeSvUaQXYVnwpP
0,[클래스문방구] 방구석 아이돌! 기본기부터 탄탄하게 K-POP 마스터 베이직 클래스,댄스무용,댄스,입문자,20주 수강 가능,9,28,바로 수강 가능,True,DANCER A.P,"https://www.youtube.com/channel/UCBpm5JkHiH4Y3oL99sSw1YA, https://www.instagram.com/pinocchio_alice/?hl=ko, https://twitter.com/A_____P_____O",,,12개의 글,363,100,평균 3일 이내 응답,95개의 피드백 더보기,"269,000원","-69,500원","-40,000원","159,500원",5개월 할부,40%,"월 31,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/NZKkm7ncCxfHdf5CycOh
0,"[클래스문방구] 새로운 춤의 장르, 유유밀란과 함께 '보깅댄스' 배우기",댄스무용,"보깅댄스, 춤",입문자,20주 수강 가능,9,38,바로 수강 가능,True,유유밀란,"https://instagram.com/uu_milan, https://youtube.com/user/uoouookim, https://facebook.com/uoouookim",,,17개의 글,328,,,,"309,000원","-87,059원","-40,000원","181,941원",5개월 할부,41%,"월 36,388원",3만원 쿠폰,2021-06-10,https://class101.net/products/tkWGky9buB4IoC024RPo
