,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[클래스문방구] 햇살처럼 따듯한 스테인드글라스, 나의 오늘을 밝혀줘요.",더새로운공예,스테인드글라스 공예,초급자,20주 수강 가능,8,26,바로 수강 가능,True,슬seul,https://instagram.com/seul__official,474,86%,200개의 글,8017,,,,"464,155원","-62,272원","-40,000원","361,883원",5개월 할부,22%,"월 72,376원",3만원 쿠폰,2021-06-10,https://class101.net/products/0ZLWhDwNXL3jx2rCkpmd
0,[💣24시간] 벌집에서 추출한 100% 천연왁스로 ‘밀랍 꽃’ 만들기,더새로운공예,천연 밀랍 왁스 플라워,초급자,20주 수강 가능,9,35,바로 수강 가능,True,톤바이림,"https://instagram.com/tonebylim_flower, https://instagram.com/tonebylim",466,99%,114개의 글,4495,100,평균 6시간 이내 응답,"1,510개의 피드백 더보기","461,600원","-89,964원","-60,000원","311,636원",6개월 할부,32%,"월 51,939원",6만원 쿠폰,2021-06-10,https://class101.net/products/eiJsxjGfM2s7tNMz5L7K
0,[💖인기검색] '오늘의 그림'과 나만의 감성 네온사인 만들기,더새로운공예,네온사인,입문자,20주 수강 가능,9,31,바로 수강 가능,True,오늘의 그림,https://instagram.com/ohneul_art,165,100%,13개의 글,3733,,,,"330,627원","-56,127원","-40,000원","234,500원",5개월 할부,29%,"월 46,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/PNpIpa2k6J8xSzLwz7eC
0,"[클래스문방구] 칠흑 속에서 빛나는 아름다움, 칠형제의 자개 이야기",더새로운공예,자개,입문자,20주 수강 가능,18,72,바로 수강 가능,True,칠형제,,326,98%,7개의 글,3570,,,,"414,000원","-44,700원","-40,000원","329,300원",5개월 할부,20%,"월 65,860원",3만원 쿠폰,2021-06-10,https://class101.net/products/jiwoong-shell
0,[클래스문방구] 따뜻한 햇살을 그대로 담아 반짝이는 썬캐쳐 만들기,더새로운공예,썬캐쳐 공예,입문자,16주 수강 가능,8,23,바로 수강 가능,True,오즈앤엔즈,https://instagram.com/odds8ends_official,520,98%,,3510,,,,"258,082원","-74,482원","-40,000원","143,600원",4개월 할부,44%,"월 35,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/vJhmYKMl0Kiccq4Q0fT4
0,[클래스문방구] 별별그림의 실크스크린으로 쓱싹 만드는 유니크한 굿즈,더새로운공예,실크스크린 프린팅,입문자,20주 수강 가능,11,31,바로 수강 가능,True,별별그림,https://instagram.com/byuljoy,535,98%,105개의 글,3464,,,,"271,371원","-51,871원","-40,000원","179,500원",5개월 할부,33%,"월 35,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/Sb8tHNz15V1dIZUvxQPQ
0,[클래스문방구] 색을 담은 유리의 매력. 하누의 스테인드글라스 클래스,더새로운공예,스테인드글라스,입문자,20주 수강 가능,7,27,바로 수강 가능,True,ha:nu(하누),,359,95%,39개의 글,2954,,,,"439,000원","-82,500원","-30,000원","326,500원",5개월 할부,25%,"월 65,300원",3만원 쿠폰,2021-06-10,https://class101.net/products/hanu-glass
0,"[클래스문방구] 구체관절인형, 모델링부터 연출까지! 꿈꾸던 인형을 현실에 구현해요.",더새로운공예,구체관절인형 제작 과정,초급자,20주 수강 가능,10,46,바로 수강 가능,True,피그말리온,https://instagram.com/pygmalion_doll,154,99%,86개의 글,2624,99,평균 3일 이내 응답,734개의 피드백 더보기,"599,000원","-109,500원","-40,000원","449,500원",5개월 할부,24%,"월 89,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/76uMjtLRGkDjqo4QoBTH
0,"[클래스문방구] 유리 같이 아슬아슬한 아름다움을 담은 꽃, 가비앤공방의 딥플라워 공예",더새로운공예,공예,입문자,20주 수강 가능,8,36,바로 수강 가능,True,가비&,https://blog.naver.com/fusqkfkrl,70,97%,29개의 글,2284,,,,"450,499원","-50,999원","-40,000원","359,500원",5개월 할부,20%,"월 71,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/LlVNj3EWgERhNX4tDrua
0,"[클래스문방구] 집에서 가능한 유리공예, 전자렌지용 가마로 알록달록 유리 꾸미기",더새로운공예,전자레인지 유리공예,입문자,20주 수강 가능,9,27,바로 수강 가능,False,다정한 유리,"https://www.instagram.com/deulyglass_class, https://blog.naver.com/deulyjewerly, https://youtube.com/channel/UC4MY6UVWlOo_KEsGCOuF8Kw",,,20개의 글,1661,114,평균 12시간 이내 응답,48개의 피드백 더보기,"529,300원","-74,800원","-30,000원","424,500원",5개월 할부,19%,"월 84,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/8eBRe35XwCi0Pund6gp8
