,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL,finalPrice
0,[🎁준비물무료] 누구나 될 수 있는 그림책 작가! 0원으로 기획부터 출판까지,miscDrawing,그림책 출간,입문자,20주 수강 가능,12,60,바로 수강 가능,True,오미아트,"https://instagram.com/ohmi_art, https://www.youtube.com/channel/UCYGRW6Gf_F_uYATY8zKH8uA?view_as=subscriber",761,97%,93개의 글,6859,100,평균 12시간 이내 응답,"4,197개의 피드백 더보기","351,864원","-102,364원","-51,278원",5개월 할부,43%,"월 39,644원",준비물0원,2021-06-09,https://class101.net/products/XMYMr329uFSQqegoCZpo,"198,222원"
0,"[클래스문방구] 이모티콘 작가와 함께, 쉽게 배우는 이모티콘! (아이패드, 갤럭시탭, 타블렛 모두 OK)",miscDrawing,이모티콘 제작,초급자,20주 수강 가능,12,45,바로 수강 가능,True,동동 작가,"https://www.youtube.com/channel/UC0zAS6BMxTd1yh0jo6Ru6VQ/featured, https://instagram.com/zziba_official",51,98%,151개의 글,2988,99,평균 하루 이내 응답,"1,175개의 피드백 더보기","286,000원","-57,000원","-30,000원",5개월 할부,30%,"월 39,800원",3만원 쿠폰,2021-06-09,https://class101.net/products/sd7TSkEqI7V6884MtjWX,"199,000원"
0,"[클래스문방구] 우연이 만들어내는 예술, 미세스미미와 함께하는 플루이드아트",miscDrawing,플루이드아트,입문자,20주 수강 가능,8,21,바로 수강 가능,True,미세스미미,https://instagram.com/mrs.mimi_mmm,274,96%,64개의 글,2912,,,,"381,578원","-132,078원","-40,000원",5개월 할부,45%,"월 41,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/ILHLYCSIWZPD7zVWzPku,"209,500원"
0,"[🎁준비물무료] 나만의 그림책 제작.설레는 출판!☆ 일러스트,편집,보정,투고, 작가활동까지★",miscDrawing,그림책 만들기,초급자,20주 수강 가능,11,43,바로 수강 가능,True,토토메이,https://www.instagram.com/tt.maymay/,109,98%,30개의 글,2594,100,평균 3일 이내 응답,474개의 피드백 더보기,"367,300원","-97,800원","-58,300원",5개월 할부,42%,"월 42,240원",준비물0원,2021-06-09,https://class101.net/products/UWBI69thZI2NAG9A1OMF,"211,200원"
0,"[클래스문방구] 10년차 애니메이터에게 배우는, 생동감 넘치는 캐릭터 애니메이션",miscDrawing,"애니메이션,모션그래픽",초급자,20주 수강 가능,13,25,바로 수강 가능,False,소희,"https://soheejeon.tumblr.com/, https://vimeo.com/soheejeon",,,9개의 글,1206,,,,"286,000원","-57,000원","-40,000원",5개월 할부,33%,"월 37,800원",3만원 쿠폰,2021-06-09,https://class101.net/products/apiV6fBr5laNbFU5NrWh,"189,000원"
0,[꿀조합 할인🍯] 아날로그와 디지털의 하모니. 일러스트 드로잉 베스트 모음,miscDrawing,일러스트 드로잉,입문자,1년 수강 가능,0,0,바로 수강 가능,True,클래스101,,,,,700,,,,"741,731원","-326,007원","-40,000원",12개월 할부,49%,"월 31,310원",3만원 쿠폰,2021-06-09,https://class101.net/products/x4C6P0B3VlPbbwmJbXz3,"375,724원"
0,[클래스문방구] 아이들의 고유의 개성과 창의력을 자극하는 오감발달 미술 수업,miscDrawing,아동미술,입문자,20주 수강 가능,7,31,바로 수강 가능,False,발자국 소리가 큰 아이들,"https://www.instagram.com/balzaguk_official/, https://www.youtube.com/channel/UCI5qi1f-XVeaMypWDIxVqMg",,,19개의 글,646,,,,"442,000원","-92,200원","-40,000원",5개월 할부,29%,"월 61,960원",3만원 쿠폰,2021-06-09,https://class101.net/products/P6GhGqYSfg6OMnT4nPzz,"309,800원"
0,"[꿀조합 할인🍯] 정교하게 그려내고 채색까지 끝내기, 펜드로잉 입문편",miscDrawing,펜 드로잉의 기초부터 채색까지,입문자,1년 수강 가능,0,0,바로 수강 가능,True,클래스101,,,,,635,,,,"750,655원","-182,409원","-40,000원",12개월 할부,29%,"월 44,020원",3만원 쿠폰,2021-06-09,https://class101.net/products/DOw51Zm5X55Luh38rTp3,"528,246원"
0,"[클래스문방구] 매일 그리는 그림일기, 주저 없이 내 이야기를 그려요",miscDrawing,그림일기,입문자,20주 수강 가능,13,45,바로 수강 가능,False,AA STUDIO,"https://www.instagram.com/aastudio_korea, https://www.instagram.com/areezakang/",,,13개의 글,569,,,,"366,400원","-86,900원","-40,000원",5개월 할부,34%,"월 47,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/7mOftFBrisQ0BPXXvIBU,"239,500원"
0,"[클래스문방구] 돌가루로 그리는 그림, 전통 안료인 석채로 비단 위에 채색 해보아요",miscDrawing,전통회화,초급자,20주 수강 가능,11,23,바로 수강 가능,True,청연,https://www.instagram.com/thdbs.art/,25,100%,9개의 글,508,,,,"438,400원","-73,900원","-40,000원",6개월 할부,25%,"월 54,083원",3만원 쿠폰,2021-06-09,https://class101.net/products/07QwHPArLlO8iJtoELfX,"324,500원"
