,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,,더새로운라이프,프로파일링,입문자,,,,,,표창원,https://www.instagram.com/changwonpyo/?hl=ko,,,137개의 글,,,,,"480,000원","-192,000원","-50,000원","238,000원",12개월 할부,,"월 19,833원",5만원 쿠폰,2021-06-10,https://class101.net/products/7FVmZW619IUBtp7aLFVE
0,,더새로운라이프,마술,입문자,,,,,,,,,,208개의 글,,,,,"450,000원","-175,200원","-70,000원","204,800원",12개월 할부,,"월 17,066원",7만원 쿠폰,2021-06-10,https://class101.net/products/magic-choi
0,거리공연 10만회! 10년차 마술사에게 배우는 스트릿 버스킹 매직,더새로운라이프,마술,초급자,20주 수강 가능,9,27,21.07.08 (목),False,김준표,"https://www.youtube.com/channel/UC_EngQdug6VcxZ3xcqgnWug, https://www.instagram.com/thecrazykoreanguy/, https://www.twitch.tv/rlawnsvy7",,,53개의 글,1333,,,,"310,400원","-99,400원","-40,000원","171,000원",5개월 할부,44%,"월 34,200원",,2021-06-10,https://class101.net/products/ceUDQJlN1ffNwTCiurIW
0,손은 눈보다 빠르다! 카드 한 벌로 재현하는 영화 속 타짜 기술,더새로운라이프,갬블링 쇼,입문자,20주 수강 가능,10,36,21.07.06 (화),True,김슬기,https://www.youtube.com/user/wisdomdanielkim,,,28개의 글,1191,,,,"318,300원","-99,400원","-40,000원","178,900원",5개월 할부,43%,"월 35,780원",,2021-06-10,https://class101.net/products/qxogZ7cgStNxGtwmiFjN
0,[🏆BEST특가] 나의 취향으로 완성하는 반려 식물 생활 『식물 큐레이션 클래스』,더새로운라이프,식물 큐레이션,초급자,20주 수강 가능,9,32,바로 수강 가능,True,심다,"http://www.instagram.com/simda.kr, http://www.simda.kr/",26,88%,6개의 글,1070,92,평균 3일 이내 응답,182개의 피드백 더보기,"292,700원","-58,200원","-50,000원","184,500원",5개월 할부,36%,"월 36,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/p3TIm1dQsIIIpswxrOIg
0,"40만 유튜버의 월 1,000버는 유튜브 채널 육성비법!",더새로운라이프,유튜브 시작하기,입문자,20주 수강 가능,10,33,21.07.16 (금),True,유튜버 모아요,"https://www.youtube.com/channel/UCtJpqaQ0XAmX5uYZ48crOdQ, https://www.youtube.com/channel/UCoNPTfleaF58461y-YIAnDA, https://www.instagram.com/moayowagon/",,,37개의 글,669,,,,"312,700원","-122,200원","-40,000원","150,500원",5개월 할부,51%,"월 30,100원",,2021-06-10,https://class101.net/products/VWdOGpyR33d8Q6a7LYpe
0,"[클래스문방구] 나도 변신해볼까? 나에게 어울리는 옷 찾는 방법, 옷 잘 입는 방법 배우기!",더새로운라이프,옷 잘 입는 방법,입문자,20주 수강 가능,11,38,바로 수강 가능,True,백설기,https://blog.naver.com/hiyesle68/221955355538,,,3개의 글,499,,,,"312,300원","-75,800원","-40,000원","196,500원",5개월 할부,37%,"월 39,300원",3만원 쿠폰,2021-06-10,https://class101.net/products/LKxFvv1tH80ypDelHkRV
0,"[클래스문방구] 나의 리틀 포레스트, 가드너에게 배우는 셀프 홈가드닝",더새로운라이프,홈가드닝,초급자,20주 수강 가능,9,37,바로 수강 가능,False,그린노아,https://www.instagram.com/greennoah.park/?hl=ko,,,12개의 글,483,,,,"279,000원","-78,779원","-40,000원","160,221원",5개월 할부,42%,"월 32,044원",3만원 쿠폰,2021-06-10,https://class101.net/products/qOEHTaCH3kUh8Jq4r8Wa
0,[🔥상반기 총결산] 현직 발성 전문 트레이너에게 배우는 당당한 스피치 발성법,더새로운라이프,스피치 발성법,입문자,20주 수강 가능,9,28,바로 수강 가능,False,폴쌤,,,,8개의 글,453,93,평균 12시간 이내 응답,63개의 피드백 더보기,"279,400원","-55,400원","-50,000원","174,000원",5개월 할부,37%,"월 34,800원",5만원 쿠폰,2021-06-10,https://class101.net/products/rhUCZ7I89B9N7KB3cic8
0,"[꿀조합 할인🍯] 유잰의 색 감각 키우기부터, 배색 노하우까지!",더새로운라이프,색 감각 키우기 & 배색 공식과 색 추출법,입문자,1년 수강 가능,0,0,바로 수강 가능,False,클래스101,,,,,431,,,,"802,700원","-216,810원","-40,000원","545,890원",12개월 할부,31%,"월 45,490원",3만원 쿠폰,2021-06-10,https://class101.net/products/Xb5F9t4wP04XZeA5vlc0
