,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[클래스문방구] 꽁블의 쿠킹클래스, 전세계의 가정식을 배워보자",더새로운요리,세계 가정식(집밥) 만들기,초급자,20주 수강 가능,7,22,바로 수강 가능,True,꽁블,"https://instagram.com/comble2, https://www.youtube.com/c/combletv, https://www.comble.co.kr/",454,96%,151개의 글,5914,,,,"369,000원","-129,650원","-40,000원","199,350원",5개월 할부,45%,"월 39,870원",3만원 쿠폰,2021-06-10,https://class101.net/products/fA1cxEFit9v6zTVAbsOV
0,[💖인기검색] 혼자서도 잘해요! 송송송 송셰프와 함께하는 혼밥 요리교실,더새로운요리,요리,입문자,20주 수강 가능,6,22,바로 수강 가능,True,송셰프,,698,98%,,5899,,,,"259,000원","-84,500원","-50,000원","124,500원",5개월 할부,51%,"월 24,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/smile-cooking
0,[🔥상반기 총결산] 싱그러운 과일을 더욱 달콤하게! 프리미엄 수제청 만들기,더새로운요리,수제 과일청 만들기,입문자,20주 수강 가능,12,47,바로 수강 가능,True,프리미엄 엔게티,https://instagram.com/engetea_co_kr,379,93%,88개의 글,2437,,,,"433,100원","-163,600원","-50,000원","219,500원",5개월 할부,49%,"월 43,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/Q3Q6eIydgM4jZZdYuQZr
0,"[클래스문방구] 한 통에 담기는 다채로운 맛, 카페조말순과 함께 도시락을 만들어요",더새로운요리,요리,초급자,20주 수강 가능,9,23,바로 수강 가능,True,김지나,https://instagram.com/jomalsoon,189,92%,97개의 글,2232,,,,"299,200원","-99,700원","-40,000원","159,500원",5개월 할부,46%,"월 31,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/JwBASpzUwyNWifPL2MMd
0,"[클래스문방구] 맛이 예쁜 아기자기 레시피, 꼬야의 캐릭터 푸드",더새로운요리,캐릭터 푸드아트,입문자,20주 수강 가능,9,38,바로 수강 가능,True,꼬야,https://instagram.com/koyalunch,161,98%,,1841,,,,"322,093원","-82,593원","-40,000원","199,500원",5개월 할부,38%,"월 39,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/SYHjvV2gDjpKBdEO2srZ
0,[클래스문방구] 꽁블의 전세계 만능소스와 활용 요리,더새로운요리,인기 만능소스와 활용 요리 만들기,초급자,20주 수강 가능,10,26,바로 수강 가능,True,꽁블,"https://instagram.com/comble2, https://www.youtube.com/c/combletv, https://www.comble.co.kr/",415,99%,40개의 글,1407,,,,"490,000원","-165,100원","-40,000원","284,900원",5개월 할부,41%,"월 56,980원",3만원 쿠폰,2021-06-10,https://class101.net/products/yh5AuptwGFshCVNkh8j9
0,[🔥상반기 총결산] 칭찬 일색! 눈과 입이 즐거운 '손님 초대 요리' 스타일링 클래스,더새로운요리,손님 초대 요리 스타일링,초급자,20주 수강 가능,9,36,바로 수강 가능,True,엘레나키친,https://www.instagram.com/elena_kitchen_,38,97%,7개의 글,949,98,평균 12시간 이내 응답,187개의 피드백 더보기,"382,850원","-74,600원","-50,000원","258,250원",5개월 할부,32%,"월 51,650원",5만원 쿠폰,2021-06-10,https://class101.net/products/MpFYd9ljMD6lo9vbgCqT
0,[클래스문방구] 쉽고 맛있는 데일리 발효 소스와 활용요리,더새로운요리,발효 소스를 활용한 자연식,초급자,20주 수강 가능,13,39,바로 수강 가능,True,이양지의 부엌학교,"https://www.instagram.com/macro_biotic/, https://www.youtube.com/channel/UCAshu3mgiUzMvJqJRY2hHFw?view_as=subscriber",165,99%,8개의 글,813,,,,"399,400원","-88,700원","-40,000원","270,700원",5개월 할부,32%,"월 54,140원",3만원 쿠폰,2021-06-10,https://class101.net/products/FpqxI0hOQOiRd7zSPXBb
0,[클래스문방구] 11년차 푸드 스타일리스트와 함께 하는 감성 도시락 만들기,더새로운요리,"도시락 스타일링, 도시락 포장, 선물용 도시락",초급자,20주 수강 가능,10,34,바로 수강 가능,True,마레제이,https://www.instagram.com/dodohan__mare_j/,,,8개의 글,678,94,평균 3일 이내 응답,44개의 피드백 더보기,"312,700원","-62,200원","-30,000원","220,500원",5개월 할부,29%,"월 44,100원",3만원 쿠폰,2021-06-10,https://class101.net/products/pYQwXpkqlaT6XWKxKWaj
0,[클래스문방구] 하나의 손쉬운 재료로 만드는 근사한 세 가지 요리,더새로운요리,간단한 재료로 근사한 요리,초급자,20주 수강 가능,8,27,바로 수강 가능,True,요리조리쿡 임정희,"https://www.facebook.com/znr55, https://blog.naver.com/bf2020, https://instagram.com/jeonghyi.im",,,184개의 글,653,,,,"309,000원","-59,500원","-40,000원","209,500원",5개월 할부,32%,"월 41,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/FFipSPqulj1ch9XV1TAH
0,[🔥상반기 총결산] 3in1 펫푸드 영양사와 전문 베이커에게 배우는 반려견 간식의 모든 것!,더새로운요리,강아지 수제간식,초급자,20주 수강 가능,9,33,바로 수강 가능,False,멍멍방앗간,https://instagram.com/bowwow_mill,,,19개의 글,651,,,,"372,800원","-73,300원","-50,000원","249,500원",5개월 할부,33%,"월 49,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/GFd1E7nGRf9QgfEtbeHS
0,[꿀조합 할인🍯] 오늘은 내가 요리사! 한식부터 전세계 가정식까지 쿠킹 입문,더새로운요리,요리,입문자,1년 수강 가능,0,0,바로 수강 가능,True,클래스101,,,,,628,,,,"588,000원","-210,900원","-40,000원","337,100원",12개월 할부,42%,"월 28,091원",3만원 쿠폰,2021-06-10,https://class101.net/products/3ve2TgWWSgxIgZwvgCfP
0,[101원] 미국산 돼지고기가 선사하는 따뜻하고 부드러운 고기 집밥,더새로운요리,고기 집밥,초급자,12주 수강 가능,5,10,바로 수강 가능,True,미국육류수출협회,"https://www.instagram.com/american_meat_story/, https://www.facebook.com/AmericanMeatStory/, https://americanmeat.co.kr/",380,98%,,629,,,,500원,-399원,,,최종 금액,79%,101원,,2021-06-10,https://class101.net/products/AyRAr423hpZQqC12xli6
0,"[🔥상반기 총결산] 맛있는 음식을 대접하는 기쁨, suhnii 쌤의 집에서 외식하기",더새로운요리,홈파티 요리,초급자,20주 수강 가능,9,29,바로 수강 가능,False,suhnii,http://instagram.com/suhnii,,,18개의 글,604,,,,"323,400원","-72,700원","-50,000원","200,700원",5개월 할부,37%,"월 40,140원",5만원 쿠폰,2021-06-10,https://class101.net/products/LIZeEej8w7KXCrT4EiB0
0,[🔥상반기 총결산] 당신의 조미료는 유통기한중? 조미료를 탈탈 털어줄 레시피 16선,더새로운요리,일본 가정식 요리,초급자,20주 수강 가능,10,30,바로 수강 가능,True,초이,"https://www.youtube.com/channel/UCOendPjYm_naBdgl1h8UsiQ?view_as=subscriber, https://blog.naver.com/normal_kitchen",28,100%,4개의 글,595,,,,"450,000원","-145,500원","-80,000원","224,500원",5개월 할부,50%,"월 44,900원",8만원 쿠폰,2021-06-10,https://class101.net/products/fEn3cES3m7fNLhH4JQXb
0,[클래스문방구] 현직 요리 강사가 알려주는 1인분 힐링 레시피,더새로운요리,1인분 힐링 요리,초급자,20주 수강 가능,7,30,바로 수강 가능,False,힐링레시피,"https://www.youtube.com/channel/UChqh8YFeigoD_uW4PfS7iFQ?view_as=subscriber, https://instagram.com/aran_recipe?igshid=1ox19cd50c28p",,,16개의 글,544,,,,"312,300원","-87,800원","-100,000원","124,500원",5개월 할부,60%,"월 24,900원",10만원 쿠폰,2021-06-10,https://class101.net/products/hSH0xsslKokfObAy84i3
0,[클래스문방구] [홈파티 스타일링] 저렴한 비용! 최대의 효과! '위대한 개츠비'가 될 수 있는 클래스,더새로운요리,파티 스타일링 & 케이터링,초급자,20주 수강 가능,10,27,바로 수강 가능,False,제주도 파티스튜디오 쿠나,"https://instagram.com/studio_kuna, https://instagram.com/kuna_viviana, https://www.youtube.com/channel/UC9vKdpsIWKdv1jrMyrqyy3A/featured?view_as=subscriber",26,96%,16개의 글,537,,,,"309,000원","-79,500원","-40,000원","189,500원",5개월 할부,38%,"월 37,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/y2tso1K65oakQD3aKzkh
0,[클래스문방구] 평범한 식재료가 예술로 되는 과정! 한번 배워 평생 써먹는 푸드카빙,더새로운요리,푸드카빙,입문자,20주 수강 가능,10,35,바로 수강 가능,True,푸드카빙 작가 김으뜸,"https://www.instagram.com/kim_eu.tteum/, https://www.facebook.com/profile.php?id=100006324196867, https://www.youtube.com/channel/UCtxmai14edtSs1lix-s-efA",,,25개의 글,299,,,,"364,900원","-70,400원","-30,000원","264,500원",5개월 할부,27%,"월 52,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/fCuu4WarDt2yE3SeTY3i
0,[101원] 오뚜기X캠핑한끼의 감성적인 겨울 캠핑 요리,더새로운요리,캠핑요리,초급자,12주 수강 가능,5,5,바로 수강 가능,True,오뚜기,"https://www.instagram.com/ottogi_daily/, https://www.facebook.com/Ottogitoday/, https://blog.naver.com/ottogitoday1",38,100%,,300,,,,500원,-399원,,,최종 금액,79%,101원,,2021-06-10,https://class101.net/products/rZh71KBPE5puitG1JPHY
0,[💖인기검색] 합정동 목금토 식탁을 나의 주방으로. 집에서 즐기는 손쉬운 코스 요리,더새로운요리,간단한 코스 요리,초급자,20주 수강 가능,9,35,바로 수강 가능,True,목금토 식탁,"https://www.instagram.com/mokumto/, https://www.facebook.com/mokumto",,,8개의 글,286,,,,"299,400원","-59,400원",,,5개월 할부,19%,"월 48,000원",,2021-06-10,https://class101.net/products/eDUIr3LYrmwMAchX3u43
0,"요리연구가 홍신애의 고퀄 떡볶이 과외! <원데이클래스, 모두의 떡볶이>",더새로운요리,떡볶이 레시피,초급자,20주 수강 가능,5,5,바로 수강 가능,False,맛있는 책방,https://www.instagram.com/tastycookbook/?hl=ko,,,,183,,,,"116,820원","-66,720원",,,3개월 할부,57%,"월 16,700원",,2021-06-10,https://class101.net/products/ZhOGlXZTk3mhmL7Lr5kx
