,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL,finalPrice
0,[클래스문방구] 메리지안의 처음만나는 동양화 채색화 꽃그림,oriental,동양화,입문자,20주 수강 가능,11,30,바로 수강 가능,True,메리지안,https://instagram.com/merryjian,113,96%,79개의 글,3248,,,,"493,101원","-158,601원","-40,000원",5개월 할부,40%,"월 58,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/ZJL7hHcMqGzjvjMa5SFv,"294,500원"
0,"[클래스문방구] 붓과 먹이 만나, 종이 위에 펼쳐지는 나만의 동양화 한 폭",oriental,동양화 드로잉,입문자,20주 수강 가능,9,38,바로 수강 가능,True,윤이크,"https://instagram.com/yooniqueart, https://youtube.com/c/yooniqueart, https://www.gamfeel.modoo.at/, https://www.yooniqueart.com/",285,98%,10개의 글,2035,,,,"460,385원","-175,885원","-40,000원",5개월 할부,46%,"월 48,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/yooniqueart-art,"244,500원"
0,"[클래스문방구] 사계절을 슥슥, 쉽게 그리는 동양화 일러스트",oriental,동양화 일러스트,입문자,20주 수강 가능,9,37,바로 수강 가능,False,밥아가씨,"https://www.youtube.com/channel/UCCi8w0fOnazXMTc2Xj3zFkQ?view_as=subscriber, https://www.instagram.com/art_minspace/, https://www.instagram.com/mingki.art/",,,21개의 글,930,,,,"425,000원","-77,500원","-40,000원",5개월 할부,27%,"월 61,500원",3만원 쿠폰,2021-06-09,https://class101.net/products/8e0vVHbNAhU7fR5lzZBi,"307,500원"
0,[클래스문방구] 초보자도 쉽게 그릴 수 있는 왕의 그림 일월오봉도와 모란도,oriental,"전통채색화, 민화",초급자,20주 수강 가능,8,32,바로 수강 가능,False,묵연화실,"https://instagram.com/mukyeon_artstudio?igshid=bs0m0u41jg5y, https://instabio.cc/mukyeon",28,93%,3개의 글,779,,,,"319,400원","-63,400원","-40,000원",5개월 할부,32%,"월 43,200원",3만원 쿠폰,2021-06-09,https://class101.net/products/Kf8Odl5kmHMH4ktGSvTu,"216,000원"
0,"[클래스문방구] 현대적인 민화, 화선지에 퍼지는 물감을 보며 마음을 다스리는 시간",oriental,민화,입문자,20주 수강 가능,11,38,바로 수강 가능,True,민화화실bliss,"https://www.instagram.com/bliss__out, http://blog.naver.com/drawing_kong, https://youtu.be/0PtOR3KiWX4",36,100%,2개의 글,662,,,,"526,600원","-152,100원","-40,000원",5개월 할부,36%,"월 66,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/CHVrknwJWIq1pP3ZSFpI,"334,500원"
0,"[🔥상반기 총결산] 전통민화, 서민의 정서가 녹아든 그림으로 나만의 작품을 만들어요",oriental,전통 민화,입문자,20주 수강 가능,9,46,바로 수강 가능,True,설혜 주자경,"https://www.youtube.com/channel/UCmAla6eZxdxy_VlN, https://www.facebook.com/jakyung.choo, https://blog.naver.com/jkchoo1979",,,43개의 글,541,,,,"372,580원","-74,100원","-60,000원",5개월 할부,35%,"월 47,696원",6만원 쿠폰,2021-06-09,https://class101.net/products/xeHXaE8C1SByT20XrD9X,"238,480원"
0,"[클래스문방구] 세계가 집중하는 단청 문양, 내 손으로 그려봐요",oriental,"한국화, 단청, 전통문양그리기",입문자,20주 수강 가능,8,26,바로 수강 가능,False,별화연구소,"https://instagram.com/ro_ssun, https://blog.naver.com/shsshgo1",,,5개의 글,451,,,,"436,800원","-77,300원","-40,000원",6개월 할부,26%,"월 53,250원",3만원 쿠폰,2021-06-09,https://class101.net/products/QchHE0CanZOYoP1FdkBf,"319,500원"
0,"[클래스문방구] 심리로 풀어가는 수묵담채화와 캘리그라피, '운치있는 한지 공간, 마음 공간’",oriental,"수묵 담채화, 캘리그라피",초급자,20주 수강 가능,10,30,바로 수강 가능,True,마음의 정원,https://www.instagram.com/class101_daniela_hw11,,,1개의 글,414,,,,"382,330원","-80,343원","-40,000원",5개월 할부,31%,"월 52,397원",3만원 쿠폰,2021-06-09,https://class101.net/products/mV1eBAe6ldmMfUb2jcbt,"261,987원"
0,"소망을 담아 그리는 길상의 그림, 나비와 새를 곁들인 민화 꽃그림 그리기",oriental,민화 채색화,입문자,20주 수강 가능,8,32,바로 수강 가능,False,면아트,https://www.youtube.com/channel/UCIJTAnx9LXj51kJYVinxn9w/videos,,,11개의 글,245,,,,"485,100원","-155,600원","-30,000원",5개월 할부,38%,"월 59,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/RXq5Y15ughP0KsBz08H2,"299,500원"
0,[나에게 선물하는 시간] 아리 동양화 클래스,oriental,동양화로 꽃 그리기,초급자,20주 수강 가능,15,53,21.08.04 (수),True,아리,,,,3개의 글,63,,,,"357,400원","-102,900원","-40,000원",5개월 할부,39%,"월 42,900원",,2021-06-09,https://class101.net/products/bvzvab6RVvZiC4LFIB4d,"214,500원"
