,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🔥상반기 총결산] 당신도 할 수 있다! 베테랑 실무자가 알려주는 모션그래픽의 모든 것,디자인,애프터이펙트,입문자,20주 수강 가능,9,35,바로 수강 가능,True,존코바,"https://www.youtube.com/c/JohnKOBADesign, https://www.instagram.com/johnkoba.design/?hl=ko","1,324",99%,393개의 글,17722,,,,"299,000원","-101,800원","-50,000원","147,200원",5개월 할부,50%,"월 29,440원",5만원 쿠폰,2021-06-10,https://class101.net/products/euWprzr7oOp0CpidXfEF
0,[🔥상반기 총결산] 색다른컬러연구소 유잰의 색 감각 키우기,디자인,색 감각 키우기,입문자,16주 수강 가능,7,25,바로 수강 가능,True,yuzen,"https://instagram.com/colordarun, https://youtube.com/%EC%83%89%EB%8B%A4%EB%A5%B8%EC%BB%AC%EB%9F%ACTV, https://www.colordarun.com/","2,018",96%,114개의 글,13705,100,평균 3일 이내 응답,"4,534개의 피드백 더보기","305,800원","-70,433원","-40,000원","195,367원",4개월 할부,36%,"월 48,841원",4만원 쿠폰,2021-06-10,https://class101.net/products/sp2L0a0rbvT0Po31dD8b
0,[🔥상반기 총결산] 이성과 감성을 넘나들다. 시선을 사로잡는 브랜드 디자인,디자인,브랜드/비주얼 디자인,중급자,20주 수강 가능,10,40,바로 수강 가능,True,큐리,"https://www.instagram.com/danielkyulee/, https://www.danielkyulee.com/","1,544",98%,134개의 글,12490,,,,"369,000원","-142,200원","-50,000원","176,800원",5개월 할부,52%,"월 35,360원",5만원 쿠폰,2021-06-10,https://class101.net/products/HqYy7CbUm1E7SdvvT1sh
0,"[🔥상반기 총결산] 디자인부터 인쇄까지, 심소연의 실무 편집디자인",디자인,편집디자인,입문자,20주 수강 가능,10,37,바로 수강 가능,True,디자이너 심소연,"https://instagram.com/designer_simshow, https://instagram.com/sim_show/",655,98%,157개의 글,10264,,,,"369,000원","-116,200원","-50,000원","202,800원",5개월 할부,45%,"월 40,560원",10만원 쿠폰,2021-06-10,https://class101.net/products/pIGuQHV9wh2Np6ysnpfG
0,[🔥상반기 총결산] 모션그래픽 훈련! 소스 제작을 포함한 다양한 영상 만들어보기,디자인,모션그래픽,초급자,20주 수강 가능,9,49,바로 수강 가능,True,박소영,https://www.instagram.com/minssdesign/,401,100%,86개의 글,9656,99,평균 3일 이내 응답,"4,576개의 피드백 더보기","369,000원","-116,100원","-50,000원","202,900원",5개월 할부,45%,"월 40,580원",5만원 쿠폰,2021-06-10,https://class101.net/products/kyUf5Ly1YgfPp5KFcH8k
0,[클래스문방구] 작품에 다채로움을 더해 독창적인 나만의 아트워크만들기 '디지털아트워크',디자인,디지털 아트,초급자,20주 수강 가능,12,28,바로 수강 가능,True,로지킴 Rozy Kim,https://www.instagram.com/rozy.kim/,488,98%,209개의 글,8768,,,,"369,000원","-149,500원","-40,000원","179,500원",5개월 할부,51%,"월 35,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/HjGGNJEDjd3fL293k6SK
0,[🔥상반기 총결산] 아이패드로 디자인 해볼래?,디자인,포토샵 없이 프로크리에이트로 표현하는 디자인,초급자,20주 수강 가능,9,34,바로 수강 가능,True,캘리스마인드(캘마),https://instagram.com/callis_mind,741,99%,104개의 글,8137,100,평균 3시간 이내 응답,"8,278개의 피드백 더보기","369,000원","-124,000원","-50,000원","195,000원",5개월 할부,47%,"월 39,000원",5만원 쿠폰,2021-06-10,https://class101.net/products/ssvJ8xm8Hu9DNE80x37x
0,[🔥상반기 총결산] 재미있게 핵심만 쏙쏙! 포토샵 x 일러스트 디자인 클래스,디자인,디자인,입문자,20주 수강 가능,13,38,바로 수강 가능,True,디자이너 지인,"https://www.instagram.com/f.d_lab, https://www.youtube.com/channel/UCuc2BZOSxSF73wYZOyeKeUw",389,99%,63개의 글,8063,99,평균 7일 이내 응답,"6,759개의 피드백 더보기","309,000원","-79,500원","-50,000원","179,500원",5개월 할부,41%,"월 35,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/5RcUZlcjCDVulejewYvU
0,"[🔥상반기 총결산] 더 심화된 모션그래픽, 영상에 전문가처럼 디테일 더하기",디자인,모션그래픽,중급자,20주 수강 가능,11,55,바로 수강 가능,True,존코바,"https://www.youtube.com/c/JohnKOBADesign, https://www.instagram.com/johnkoba.design/?hl=ko",538,99%,103개의 글,7860,,,,"369,000원","-95,400원","-50,000원","223,600원",5개월 할부,39%,"월 44,720원",5만원 쿠폰,2021-06-10,https://class101.net/products/tk9ZcndBfpAWMkcSuln9
0,[🔥상반기 총결산] 차근차근 배우는 포토샵 툴과 디자인,디자인,포토샵/디자인,입문자,20주 수강 가능,15,54,바로 수강 가능,True,두이,,886,99%,97개의 글,7361,,,,"369,000원","-153,000원","-50,000원","166,000원",5개월 할부,55%,"월 33,200원",5만원 쿠폰,2021-06-10,https://class101.net/products/byRtfggXtco39daV97UD
