,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[🔥상반기 총결산] 일상에 따뜻한 숨결을 불어넣어요, 반지수와 함께하는 아이패드 드로잉",digitalDrawing,풍경 일러스트 그리기,초급자,20주 수강 가능,11,46,바로 수강 가능,True,반지수,https://instagram.com/banzisu,"4,440",98%,216개의 글,22854,,,,"369,000원","-144,500원","-50,000원","174,500원",5개월 할부,52%,"월 34,900원",5만원 쿠폰,2021-06-09,https://class101.net/products/0OHbRDXnYFWigCuwxXHQ
0,"[🔥상반기 총결산] 귀여운 낙서로 돈 버는 법, 캐릭터로 이모티콘 연금 만들기!",digitalDrawing,이모티콘 캐릭터 만들기,초급자,20주 수강 가능,9,41,바로 수강 가능,True,김하나,"http://it.chosun.com/site/data/html_dir/2019/10/24/2019102403302.html, https://m.post.naver.com/viewer/postView.nhn?volumeNo=4568343&memberNo=23995853&utm_source=naverpost&utm_medium=original_contents&utm_campaign=interview_16_10, http://officen.kr/goodpeople/viewgoodpeople.do?id=50","1,247",98%,160개의 글,12026,94,평균 하루 이내 응답,"7,236개의 피드백 더보기","450,000원","-152,800원","-50,000원","247,200원",5개월 할부,45%,"월 49,440원",5만원 쿠폰,2021-06-09,https://class101.net/products/pHIZchR7a0C5hMpVvnp5
0,[클래스문방구] 취미를 넘어 굿즈 셀러로! 인쇄물 굿즈 제작과 상품화,digitalDrawing,인쇄물 굿즈 제작과 판매,입문자,20주 수강 가능,12,40,바로 수강 가능,True,사심굿즈,https://instagram.com/sasim_goods,482,96%,166개의 글,11767,,,,"299,000원","-99,500원","-40,000원","159,500원",5개월 할부,46%,"월 31,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/2OK6vABicguiT6RkpLcl
0,"[🏆BEST특가] 사랑을 담아 그리는 순정 일러스트, 이야기를 말하는 캐릭터 드로잉",digitalDrawing,디지털 드로잉,초급자,20주 수강 가능,11,32,바로 수강 가능,True,유운,https://twitter.com/sssssamjang,592,93%,180개의 글,11424,,,,"450,000원","-155,700원","-50,000원","244,300원",5개월 할부,45%,"월 48,860원",5만원 쿠폰,2021-06-09,https://class101.net/products/AFHngWIXP0Lx5l3l4Cvv
0,[🔥상반기 총결산] 크리에이터 좐느의 포토샵의 모든 것,digitalDrawing,"포토샵,사진",입문자,20주 수강 가능,9,39,바로 수강 가능,True,크리에이터 좐느,https://www.youtube.com/c/CreatorJwann,257,94%,83개의 글,10950,,,,"279,000원","-84,500원","-50,000원","144,500원",5개월 할부,48%,"월 28,900원",5만원 쿠폰,2021-06-09,https://class101.net/products/in1XXV65pI2HESEoqnxd
0,[🎁준비물무료] 사이툴로 그리는 일러스트레이터 페사의 따뜻한 캐릭터 드로잉,digitalDrawing,캐릭터 드로잉,초급자,20주 수강 가능,9,30,바로 수강 가능,True,페사,https://twitter.com/pesa21,488,95%,153개의 글,10769,,,,"547,000원","-168,860원","-89,240원","288,900원",5개월 할부,47%,"월 57,780원",준비물0원,2021-06-09,https://class101.net/products/JIGdVpbXb0NxReO0kDd7
0,"[🏆BEST특가] 새로운 드로잉 기법의 설렘, 레트로 픽셀아트 드로잉",digitalDrawing,픽셀아트,입문자,20주 수강 가능,9,26,바로 수강 가능,True,그림바지,"https://instagram.com/studio_pants, https://twitter.com/studio_pants",643,93%,132개의 글,10070,,,,"229,000원","-69,200원","-50,000원","109,800원",5개월 할부,52%,"월 21,960원",5만원 쿠폰,2021-06-09,https://class101.net/products/inwD7u6VzqH1zoUFEeQb
0,"[🏆BEST특가] 차근차근, 아이패드로 그리는 미니멀한 손그림 일러스트",digitalDrawing,아이패드로 손그림처럼 그리기,입문자,20주 수강 가능,8,35,바로 수강 가능,True,별라랜드,"https://instagram.com/bl.land, https://www.youtube.com/user/imstar0819","1,803",99%,88개의 글,9966,,,,"309,000원","-96,500원","-50,000원","162,500원",5개월 할부,47%,"월 32,500원",5만원 쿠폰,2021-06-09,https://class101.net/products/AsLqFEyxbKyY1icBFvuK
0,[🏆BEST특가] 아이패드 하나로 떠나는 키츠의 아날로그 텍스처 여행,digitalDrawing,아이패드 드로잉,초급자,20주 수강 가능,11,42,바로 수강 가능,True,키츠 (kits.),"https://www.instagram.com/kits.atelier/, https://www.youtube.com/channel/UCxDb1brdBOwam3g1cQ68nYg, https://www.kitcheninspring.com/",601,97%,114개의 글,9944,98,평균 7일 이내 응답,"5,217개의 피드백 더보기","279,000원","-84,500원","-80,000원","114,500원",5개월 할부,58%,"월 22,900원",8만원 쿠폰,2021-06-09,https://class101.net/products/wpf39fJWBT2tzN2uTHiG
0,[🎁준비물무료] 나만의 문방구를 차려요! 그리지영과 함께 타블렛으로 굿즈 만들기,digitalDrawing,문구 제작,입문자,20주 수강 가능,11,42,바로 수강 가능,True,그리지영,https://instagram.com/gree_jiyeong,"1,333",97%,225개의 글,9878,92,평균 7일 이내 응답,"2,120개의 피드백 더보기","376,000원","-112,230원","-89,240원","174,530원",4개월 할부,53%,"월 43,632원",준비물 무료,2021-06-09,https://class101.net/products/veX1OgYKslTlgBRURT0n
