,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🏆BEST특가] 자연을 엮는 올라라탄의 라탄공예 입문,라탄공예,라탄공예,입문자,20주 수강 가능,11,49,바로 수강 가능,True,올라라탄,https://instagram.com/holaa_rattan_,"1,371",99%,226개의 글,9409,,,,"352,450원","-77,530원","-50,000원","224,920원",5개월 할부,36%,"월 44,984원",5만원 쿠폰,2021-06-09,https://class101.net/products/qQimLOeiWDhccVeuzVNu
0,"[클래스문방구] 조이라탄과 함께, 처음 엮어보는 라탄 공예의 기초",라탄공예,라탄공예,입문자,20주 수강 가능,15,94,바로 수강 가능,True,조이라탄,https://www.instagram.com/joyrattan_/,592,93%,31개의 글,3746,,,,"372,299원","-112,899원","-40,000원","219,400원",5개월 할부,41%,"월 43,880원",3만원 쿠폰,2021-06-09,https://class101.net/products/joyinjoy
0,"[💖인기검색] 조이라탄과 함께, 다채로운 무늬로 엮어내는 라탄 리빙 소품",라탄공예,라탄공예,초급자,20주 수강 가능,10,52,바로 수강 가능,True,조이라탄,https://www.instagram.com/joyrattan_/,198,95%,40개의 글,3056,,,,"395,299원","-88,409원","-50,000원","256,890원",5개월 할부,35%,"월 51,378원",5만원 쿠폰,2021-06-09,https://class101.net/products/Bgs2FY1D2xC4lmwhRifx
0,"[🔥상반기 총결산] 처음하는 라탄공예, 내 손으로 만드는 10가지 라탄소품",라탄공예,라탄공예,초급자,20주 수강 가능,13,57,바로 수강 가능,True,라탄스튜디오 가람,"http://www.instagram.com/garam_rattan, https://blog.naver.com/monglam, https://www.youtube.com/channel/UC7y2RRWuwzUT4hBxc9PFivw/featured",345,99%,15개의 글,2930,99,평균 12시간 이내 응답,"1,137개의 피드백 더보기","335,722원","-28,012원","-50,000원","257,710원",5개월 할부,23%,"월 51,542원",5만원 쿠폰,2021-06-09,https://class101.net/products/yeQnRSaP2pqo745N7mGS
0,"[클래스문방구] 라탄으로 엮는 고풍스러운 나만의 소품, 안동동화의 라탄 공예 클래스",라탄공예,"라탄공예, 등공예",입문자,16주 수강 가능,8,28,바로 수강 가능,True,안동동화,https://instagram.com/addh.kr,232,98%,31개의 글,1893,,,,"287,244원","-47,544원","-40,000원","199,700원",4개월 할부,30%,"월 49,925원",3만원 쿠폰,2021-06-09,https://class101.net/products/CZZHxa5ESgrXXS241uI6
0,"[클래스문방구] 시간을 들여 천천히, 라탄으로 엮는 7가지 감성 소품",라탄공예,라탄공예,입문자,20주 수강 가능,10,47,바로 수강 가능,False,느루,https://www.instagram.com/_._neuru/,32,97%,11개의 글,1271,100,평균 하루 이내 응답,117개의 피드백 더보기,"427,500원","-78,000원","-40,000원","309,500원",5개월 할부,27%,"월 61,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/wgHktYDg8DhUwk3goDxn
0,[클래스문방구] 손바닥 위 라탄 바구니 : 오즈의 인형 라탄 소품 만들기,라탄공예,미니어처 라탄 공예,초급자,20주 수강 가능,13,48,바로 수강 가능,True,오즈라탄,"http://instagram.com/ozrattan, https://blog.naver.com/ozrattan",102,100%,37개의 글,620,,,,"418,400원","-73,900원","-40,000원","304,500원",5개월 할부,27%,"월 60,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/HmleVQdu2QfgDxnVFHrh
0,[💖인기검색] 더 크게 엮는 라탄 소품과 가구로 나의 일상을 채워봐요,라탄공예,라탄공예,초급자,20주 수강 가능,11,29,바로 수강 가능,True,키다리대나무,https://www.instagram.com/kidaribamboo/,,,16개의 글,498,,,,"259,000원","-76,300원","-50,000원","132,700원",6개월 할부,48%,"월 22,116원",5만원 쿠폰,2021-06-10,https://class101.net/products/J9V30kaLIO2UrXQfVtIh
0,"[클래스문방구] 힐링과 집중의 시간, 라탄 공예 기초부터 응용까지",라탄공예,라탄 공예,입문자,20주 수강 가능,11,36,바로 수강 가능,True,오눌,,,,1개의 글,348,,,,"373,700원","-74,200원","-40,000원","259,500원",5개월 할부,30%,"월 51,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/zqHN3HHvl8SFE4Vn9fcu
0,"[클래스문방구] 등나무와 물로 시작하는 라탄생활, 나의 일상소품 만들기",라탄공예,라탄공예,입문자,20주 수강 가능,10,38,바로 수강 가능,True,초월라탄공방,"http://instagram.com/chowol_official, http://blog.naver.com/chowolhandcraft",,,1개의 글,308,,,,"309,200원","-59,700원","-40,000원","209,500원",5개월 할부,32%,"월 41,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/c8E95Jpx1hlDNCI28eJr
