,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[🏆BEST특가] 쪼만한마을의 레진 공예, 기초부터 민간자격증 발급까지!",레진공예,레진공예아트 만들기,초급자,20주 수강 가능,10,28,바로 수강 가능,True,쪼만한마을,https://www.youtube.com/channel/UCAAoF2T0cwxKxlApUZ8TmVw?view_as=subscriber,"1,346",97%,305개의 글,7966,,,,"385,800원","-96,500원","-40,000원","249,300원",5개월 할부,35%,"월 49,860원",4만원 쿠폰,2021-06-10,https://class101.net/products/gMiioxaKiBwa7GVzhOs0
0,"[클래스문방구] 반짝이는 레진에 담아낸 나의 이야기, 신양아리의 레진아트",레진공예,레진아트,입문자,16주 수강 가능,11,34,바로 수강 가능,True,신양아리,"https://instagram.com/shinyangari, https://www.youtube.com/channel/UCZTYaR0_zM2T3TK0aq6aATQ",777,98%,76개의 글,3490,,,,"228,384원","-44,186원","-30,000원","154,198원",4개월 할부,32%,"월 38,549원",3만원 쿠폰,2021-06-10,https://class101.net/products/A0cuHmok9b6gzxwg5rnJ
0,"[클래스문방구] 투명한 레진 속 모든 것이 멈추는 마법, 자몽몽의 레진공예/레진아트",레진공예,레진 공예,입문자,20주 수강 가능,11,44,바로 수강 가능,True,자몽몽,"https://www.instagram.com/ssdal.ssdal, http://instagram.com/jamongmong_mood",416,97%,47개의 글,3323,,,,"372,684원","-98,185원","-30,000원","244,499원",5개월 할부,34%,"월 48,899원",3만원 쿠폰,2021-06-10,https://class101.net/products/jamongmong
0,"[💖인기검색] 시간과 빛을 담은 레진 오브제, 믹스쳐샵의 레진 아트",레진공예,레진 공예,초급자,20주 수강 가능,9,37,바로 수강 가능,True,mixture,"https://instagram.com/mix.tureshop, https://twitter.com/mixtureshop, https://www.mixtureshop.com/",361,98%,46개의 글,2905,99,평균 7일 이내 응답,985개의 피드백 더보기,"483,400원","-82,900원","-50,000원","350,500원",5개월 할부,27%,"월 70,100원",5만원 쿠폰,2021-06-10,https://class101.net/products/fcKt6l7lDWK9iHcylEiB
0,[🔥상반기 총결산] 오늘 하루에 레진아트 한 방울! 마니랜드의 반짝이는 레진 소품 만들기,레진공예,"레진공예, 레진아트",초급자,20주 수강 가능,9,30,바로 수강 가능,True,마니랜드,"https://www.youtube.com/channel/UCfohWjeXlKpfax1SWznOyGg, https://www.instagram.com/maniland__/, https://smartstore.naver.com/maniland",103,100%,10개의 글,2396,99,평균 3일 이내 응답,471개의 피드백 더보기,"459,500원","-85,000원","-50,000원","324,500원",5개월 할부,29%,"월 64,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/CC4ztWrj6lXGYJCuwIzP
0,"[클래스문방구] 종이가 색색깔 플라스틱이 되다, 마법같은 슈링클스 공예",레진공예,슈링클스 공예,입문자,20주 수강 가능,12,43,바로 수강 가능,True,자몽몽,"https://www.instagram.com/ssdal.ssdal, http://instagram.com/jamongmong_mood",101,98%,42개의 글,1782,,,,"289,000원","-29,500원","-40,000원","219,500원",5개월 할부,24%,"월 43,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/NpD5SSy1dAIoe9rFrIA0
0,"[🔥상반기 총결산] 자연의 빛 그대로, 순간을 담아내는 나만의 레진 아트",레진공예,레진 공예,초급자,20주 수강 가능,10,26,바로 수강 가능,True,Movement공방,"https://www.instagram.com/move_produce/, https://www.youtube.com/channel/UCBS__XPmmYwSTcSBW25VHDA/featured, https://twitter.com/Move_produce/media",37,97%,9개의 글,1545,98,평균 12시간 이내 응답,398개의 피드백 더보기,"460,400원","-58,100원","-50,000원","352,300원",5개월 할부,23%,"월 70,460원",5만원 쿠폰,2021-06-10,https://class101.net/products/kIgvjnvj4tlpxOATOvXm
0,[💣24시간] 시선이 머무르는 나만의 레진 공예 아이템 만들기,레진공예,레진 공예,초급자,20주 수강 가능,9,25,바로 수강 가능,True,bys,"https://www.instagram.com/timeforbys/, http://www.twitter.com/timeforbys",158,96%,14개의 글,1520,,,,"415,200원","-40,700원","-60,000원","314,500원",5개월 할부,24%,"월 62,900원",6만원 쿠폰,2021-06-10,https://class101.net/products/bf9nSHjKnrD424KIVFTn
0,"[클래스문방구] 투명한 세상에 반짝이는 환상을 입히다, 이야기를 담는 레진아트",레진공예,"레진공예, 레진아트",초급자,20주 수강 가능,10,34,바로 수강 가능,True,달고냥이,"https://www.instagram.com/dalgonyange/?hl=ko, https://twitter.com/Dalgonyange",26,100%,31개의 글,1157,,,,"498,400원","-83,900원","-40,000원","374,500원",5개월 할부,24%,"월 74,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/acedmxBV1nAwRmSEnuer
0,"[🏆BEST특가] 꽃과 함께, 간단하게! UV 레진공예 시작하기",레진공예,레진공예,입문자,20주 수강 가능,7,15,바로 수강 가능,True,선플라워,https://www.instagram.com/sunflower_acc_shop/,117,100%,45개의 글,995,99,평균 하루 이내 응답,376개의 피드백 더보기,"304,500원","-70,000원","-50,000원","184,500원",5개월 할부,39%,"월 36,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/d33Z1bQn1bxfQKhr0VKn
0,[🔥상반기 총결산] 블링블링 영롱하게 빛나는 관심집중 레진 아이템 만들기,레진공예,레진아트,초급자,21주 수강 가능,7,27,바로 수강 가능,False,뽕빵구리,https://www.instagram.com/bbongbbangguri/,39,92%,13개의 글,724,,,,"448,600원","-84,700원","-70,000원","293,900원",5개월 할부,34%,"월 58,780원",7만원 쿠폰,2021-06-10,https://class101.net/products/Iia15256Ve1TxBUaD8kN
0,"[🔥상반기 총결산] 하나의 몰드로 배우는 10가지 기법, 설레이다의 동화 같은 레진 아트",레진공예,레진아트,초급자,20주 수강 가능,9,34,바로 수강 가능,False,설레이다,https://www.instagram.com/seolreida_acc,,,10개의 글,716,98,평균 3일 이내 응답,163개의 피드백 더보기,"451,100원","-70,600원","-50,000원","330,500원",5개월 할부,26%,"월 66,100원",5만원 쿠폰,2021-06-10,https://class101.net/products/mr6WUaTkZ9GWIxU1pR7N
0,[🏆BEST특가] 레진으로 만드는 바다 가득한 나만의 공간,레진공예,레진 공예,입문자,20주 수강 가능,9,23,바로 수강 가능,False,폴스튜디오,https://www.instagram.com/for_studio30/,37,97%,10개의 글,705,98,평균 하루 이내 응답,163개의 피드백 더보기,"513,800원","-70,100원","-50,000원","393,700원",6개월 할부,23%,"월 65,616원",5만원 쿠폰,2021-06-10,https://class101.net/products/lhjLXcdTouQi11RRLXuG
0,"[클래스문방구] 직접 그려 담는 일상 속 작은 위로, 드로잉 액세서리 만들기",레진공예,명화 레진 액세서리,입문자,20주 수강 가능,10,30,바로 수강 가능,False,오포르,https://www.instagram.com/ofor___/,,,13개의 글,661,,,,"436,300원","-76,800원","-40,000원","319,500원",5개월 할부,26%,"월 63,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/QfM2zKPvkEdezPusVTCi
0,[클래스문방구] 프레임부터 내 맘대로 만드는 엘리어의 레진 공예,레진공예,레진 아트,초급자,20주 수강 가능,10,23,바로 수강 가능,True,엘리어(AILELIER),"https://www.instagram.com/aile_lier/, http://blog.naver.com/ailelier",,,13개의 글,401,,,,"427,100원","-67,600원","-40,000원","319,500원",5개월 할부,25%,"월 63,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/6SyxEkGv8jHic2DhTNIo
