,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[클래스문방구] 평범한 사람이 돈 만드는 생각의 비밀, 머니 시크릿",마인드,"머니 시크릿, 부자 공부, 돈 공부, 부자되는 생각, 생각의 힘",입문자,20주 수강 가능,9,47,바로 수강 가능,True,김새해,"https://www.youtube.com/channel/UCGep2UU85jYpst4JsMWlrKA, http://instagram.com/saehaekim, https://cafe.naver.com/richcircleacademy","5,188",98%,39개의 글,5112,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",3만원 쿠폰,2021-06-10,https://class101.net/products/vypjq3fD3nXUumomKbKU
0,"[🏆BEST특가] 행복한 부자들만 알던 마인드파워시크릿, 그들만의 부자되는 노하우대공개",마인드,자기계발,입문자,20주 수강 가능,12,56,바로 수강 가능,True,마인드파워고수 조성희,"https://www.instagram.com/sungheeinsta/, https://goo.gl/YL9smT, https://www.facebook.com/chomaschool77, https://cafe.naver.com/oneamazinglife","2,032",99%,16개의 글,2776,,,,"590,000원","-204,800원","-50,000원","335,200원",5개월 할부,43%,"월 67,040원",5만원 쿠폰,2021-06-10,https://class101.net/products/JViNFMqAETG4rdq5RDm2
0,"[클래스문방구] 멘탈이 바뀌면 인생도 바뀐다, 박세니의 실전 응용 심리학",마인드,실전 응용 심리학,입문자,20주 수강 가능,11,58,바로 수강 가능,True,실전심리전문가 박세니,"https://www.youtube.com/channel/UC5mkpbmQ88AoTYY39_huYMg, https://www.instagram.com/senny_park/","1,112",97%,33개의 글,2182,,,,"590,000원","-191,000원","-40,000원","359,000원",5개월 할부,39%,"월 71,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/3aGZnRt6i9pdS2m6NTYr
0,"[클래스문방구] 월 500만원 버는 파이프라인 시스템, 돈과 운을 끌어당기는 프로젝트",마인드,"파이프 라인 시스템, 1인 기업가",입문자,20주 수강 가능,9,33,바로 수강 가능,True,김유라,"https://www.instagram.com/goodrichproject/, https://www.youtube.com/c/yura83",567,96%,4개의 글,1850,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",3만원 쿠폰,2021-06-10,https://class101.net/products/mthP9AQWpLu8Cw1UfEym
0,"[🔥상반기 총결산] 1% 부와 행운의 최단거리, 더플러스 17가지 법칙!",마인드,,,20주 수강 가능,9,37,바로 수강 가능,True,마인드파워고수 조성희,"https://www.instagram.com/sungheeinsta/, https://goo.gl/YL9smT, https://www.facebook.com/chomaschool77, https://cafe.naver.com/oneamazinglife","1,797",100%,6개의 글,1043,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",4만원 쿠폰,2021-06-10,https://class101.net/products/S6BQuT9S7nwgAoSMRcCR
0,"[클래스문방구] 마음 먹은대로 진짜 이루어 지도록, 박세니의 실전 입문 심리학",마인드,실전 입문 심리학,입문자,20주 수강 가능,7,28,바로 수강 가능,True,실전심리전문가 박세니,"https://www.youtube.com/channel/UC5mkpbmQ88AoTYY39_huYMg, https://www.instagram.com/senny_park/",657,98%,2개의 글,794,,,,"149,000원","-9,000원","-40,000원","100,000원",5개월 할부,32%,"월 20,000원",3만원 쿠폰,2021-06-10,https://class101.net/products/gTMaIPskP1BRMcP2oSe0
0,[클래스문방구] 평범한 나를 성공형 인간으로 변화시키는 법 !,마인드,마인드/자기계발,입문자,20주 수강 가능,9,29,바로 수강 가능,True,한준영,https://instagram.com/han_joonyoung,184,97%,8개의 글,371,,,,"199,000원","-30,300원","-40,000원","128,700원",5개월 할부,35%,"월 25,740원",3만원 쿠폰,2021-06-10,https://class101.net/products/WX8jygr4SWiJEQ5ZnnDf
0,"연봉 10억 안대장의 영업 노하우 - 개척방법부터 마케팅, 멘트, 시스템까지!",마인드,영업,입문자,20주 수강 가능,9,30,21.07.15 (목),True,안대장,http://instargram.com/angyuho.85,,,,253,,,,"590,000원","-110,000원","-50,000원","430,000원",5개월 할부,27%,"월 86,000원",,2021-06-10,https://class101.net/products/Cq3m48LfN6ueObRfaxwe
0,"[🧡1+1] 마인드파워 고수, 조성희의 부자 되는 노하우 2가지 클래스를 한 번에",마인드,자기계발,입문자,1년 수강 가능,0,0,바로 수강 가능,False,클래스101,,,,,150,,,,"789,000원","-325,100원","-50,000원","413,900원",12개월 할부,47%,"월 34,491원",5만원 쿠폰,2021-06-10,https://class101.net/products/suYLT1tz2jd9dtXCE68n
0,"[꿀조합 할인🍯] 심리학 꿀조합🍯 박세니 1차, 2차 묶음 클래스 할인!",마인드,"마인드, 자기계발",초급자,1년 수강 가능,0,0,바로 수강 가능,False,클래스101,,,,,59,,,,"739,000원","-260,000원","-40,000원","439,000원",12개월 할부,40%,"월 36,583원",3만원 쿠폰,2021-06-10,https://class101.net/products/aRt3fGTM3i9d4Woee9xA
