,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL,finalPrice
0,"[🏆BEST특가] 마카와 펜, 드로잉북만 들고 떠나요! 마카로 담는 여행의 특별한 기억",marker,일상/여행드로잉,입문자,20주 수강 가능,11,39,바로 수강 가능,True,리니,"https://instagram.com/xoxo_rini, https://www.youtube.com/c/%EB%A6%AC%EB%8B%88rini","2,334",99%,214개의 글,11460,,,,"424,000원","-139,950원","-50,000원",5개월 할부,44%,"월 46,810원",5만원 쿠폰,2021-06-09,https://class101.net/products/QWih9PRs3Hpi6WveWtxd,"234,050원"
0,"[클래스문방구] 마카와 색연필로 그려내는 일상의 기록, 뜻밖의 풍경, 찰나의 순간",marker,"마카,색연필 일러스트",입문자,20주 수강 가능,7,20,바로 수강 가능,True,배성규,https://www.instagram.com/dexterous_bae/,"2,278",99%,10개의 글,10255,,,,"478,846원","-228,546원","-40,000원",5개월 할부,56%,"월 42,060원",3만원 쿠폰,2021-06-09,https://class101.net/products/bae-drawing,"210,300원"
0,"[클래스문방구] 헬로양갱의 차근차근 펜드로잉, 우리의 일상을 알록달록 기록해봐요!",marker,펜그림,입문자,16주 수강 가능,12,37,바로 수강 가능,True,헬로양갱,"https://instagram.com/hello_yanggang, http://www.blog.naver.com/yanggang_11, https://smartstore.naver.com/yanggang_11","1,624",97%,115개의 글,6132,,,,"292,791원","-94,545원","-40,000원",4개월 할부,45%,"월 39,561원",3만원 쿠폰,2021-06-09,https://class101.net/products/Ue32QZHJa98Q645r6jqk,"158,246원"
0,"[클래스문방구] 사각사각, 소리마저 행복한 메리진의 마카드로잉",marker,미술,입문자,16주 수강 가능,9,31,바로 수강 가능,True,메리진,https://instagram.com/o_hhh,706,98%,43개의 글,5305,,,,"340,300원","-103,026원","-40,000원",5개월 할부,42%,"월 39,454원",3만원 쿠폰,2021-06-09,https://class101.net/products/byY22u0PiuaGFI7D1kep,"197,274원"
0,[클래스문방구] 마카와 색연필로 완성하는 나의 패션 일러스트 일기장,marker,패션 일러스트,입문자,12주 수강 가능,10,36,바로 수강 가능,True,GARI,https://instagram.com/gari_atelier,251,93%,50개의 글,3911,97,평균 하루 이내 응답,"1,019개의 피드백 더보기","323,012원","-103,513원","-40,000원",5개월 할부,44%,"월 35,899원",3만원 쿠폰,2021-06-09,https://class101.net/products/3MkqYhqzInsINGQbkJUt,"179,499원"
0,"[클래스문방구] 영화 속 한 장면을 색다르게 그려요, 손은경과 함께하는 마카, 색연필 드로잉",marker,색연필일러스트,입문자,20주 수강 가능,9,25,바로 수강 가능,True,손은경,https://instagram.com/thanksforbeingu,737,92%,86개의 글,3810,,,,"281,700원","-116,500원","-40,000원",5개월 할부,55%,"월 25,040원",3만원 쿠폰,2021-06-09,https://class101.net/products/omeoEAHGAKr0DAfYrzYN,"125,200원"
0,"[🎁준비물무료] 한 번의 터치로도 감각 있어 보이는 방법, 미니멀 마카 드로잉",marker,마카 드로잉,입문자,20주 수강 가능,10,35,바로 수강 가능,True,OurWASAB,https://www.instagram.com/our_wasab,243,99%,28개의 글,3365,99,평균 하루 이내 응답,"3,805개의 피드백 더보기","390,000원","-102,300원","-78,950원",5개월 할부,46%,"월 41,750원",준비물0원,2021-06-09,https://class101.net/products/6jRZ0Wu1glQubx14Rwh0,"208,750원"
0,"[클래스문방구] 일기 쓰듯 한 장 한 장, 마카로 사각사각 데일리 드로잉",marker,마카 드로잉,초급자,20주 수강 가능,10,32,바로 수강 가능,True,메그,https://instagram.com/Likemeg,128,95%,47개의 글,3097,,,,"260,650원","-85,550원","-40,000원",5개월 할부,48%,"월 27,020원",3만원 쿠폰,2021-06-09,https://class101.net/products/2xKXuq5WYCBeciwZNgHO,"135,100원"
0,[클래스문방구] 핑팡퐁의 몽글몽글 마카드로잉 클래스,marker,마카드로잉,입문자,20주 수강 가능,9,30,바로 수강 가능,True,이고,https://instagram.com/pppoxo,203,97%,52개의 글,2906,,,,"229,000원","-72,332원","-40,000원",5개월 할부,49%,"월 23,333원",3만원 쿠폰,2021-06-09,https://class101.net/products/RL5q65zBp2x32axWmfFa,"116,668원"
0,[클래스문방구] 서랍 속 싸인펜으로 그리는 맛있는 음식 일러스트,marker,음식일러스트,초급자,20주 수강 가능,11,34,바로 수강 가능,True,딸비,"https://instagram.com/talbi_illust, https://www.facebook.com/talbi1004, https://www.grafolio.com/biuebll",123,93%,81개의 글,2511,,,,"295,600원","-105,500원","-40,000원",5개월 할부,49%,"월 30,020원",3만원 쿠폰,2021-06-09,https://class101.net/products/XhqOf8Klii4hXVl2L6fi,"150,100원"
