,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🏆BEST특가] 특별한 날을 더 특별하게! 커스텀 디자인 케이크 마스터 클래스,베이킹디저트,커스텀 디자인 케이크,입문자,20주 수강 가능,10,41,바로 수강 가능,True,아이라이크케이크,https://www.instagram.com/l_like_cake/,783,88%,301개의 글,9322,,,,"467,900원","-183,400원","-50,000원","234,500원",5개월 할부,49%,"월 46,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/l20zpmgOWoNPBk5PMBaQ
0,[🏆BEST특가] 소문난 디저트 카페의 남다른 베이킹 비법,베이킹디저트,카페 디저트,초급자,20주 수강 가능,10,47,바로 수강 가능,True,이런날케이크,https://www.instagram.com/by.boramm,966,95%,547개의 글,8712,92,평균 7일 이내 응답,"1,671개의 피드백 더보기","465,000원","-190,500원","-50,000원","224,500원",5개월 할부,51%,"월 44,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/uoGMeXC7t0NOpXMtjeIE
0,"[🔥상반기 총결산] 기억하고 싶은 특별한 날을 케이크에 담다, 빈티지 디자인 케이크",베이킹디저트,커스텀 디자인 케이크,입문자,20주 수강 가능,11,50,바로 수강 가능,True,고은,https://www.instagram.com/goeuncake/,"1,183",94%,162개의 글,6210,,,,"299,000원","-80,300원","-50,000원","168,700원",5개월 할부,43%,"월 33,740원",5만원 쿠폰,2021-06-10,https://class101.net/products/bX4Ifvuq0P40A0ffuOAC
0,"[클래스문방구] 테이블 가득 채워내는 홈베이킹, 나나와 함께 달달함을 나누는 디저트",베이킹디저트,베이킹,입문자,20주 수강 가능,11,41,바로 수강 가능,True,Nana,https://instagram.com/nanasserie,506,98%,88개의 글,5925,,,,"307,000원","-95,000원","-40,000원","172,000원",5개월 할부,43%,"월 34,400원",3만원 쿠폰,2021-06-10,https://class101.net/products/BdWtWJodDOYcPiwhhp4c
0,[🔥상반기 총결산] 인스타 대세! 곰손도 금손되는 미니 도시락케이크 홈베이킹,베이킹디저트,베이킹,초급자,20주 수강 가능,16,59,바로 수강 가능,True,그다이마잇,"https://www.youtube.com/channel/UCfofr-kNiOGG_uVpnTe3Iuw, https://www.instagram.com/cafe.gdm",181,97%,52개의 글,5165,,,,"309,000원","-89,500원","-50,000원","169,500원",5개월 할부,45%,"월 33,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/j5AcPOePuhI1VhZqecGE
0,[🔥상반기 총결산] 독보적인 커리큘럼! 앙금 플라워 케이크와 보자기 케이크 🌼 자격증 발급,베이킹디저트,앙금플라워케이크&앙금보자기케이크,초급자,20주 수강 가능,19,62,바로 수강 가능,True,오직아뜰리에,"https://www.instagram.com/only.atelier_flower/, https://www.youtube.com/channel/UCwqHKy90o5zM5oTOtu9pdrg",660,97%,122개의 글,4482,,,,"239,000원","-75,620원","-50,000원","113,380원",5개월 할부,52%,"월 22,676원",5만원 쿠폰,2021-06-10,https://class101.net/products/zLSkcce773cmD6rsSRFP
0,"[클래스문방구] 매일이 특별해지는 달콤한 마법, 14일의 알록달록 마카롱",베이킹디저트,마카롱 제작,초급자,20주 수강 가능,9,31,바로 수강 가능,True,14일,https://instagram.com/14.day,173,92%,162개의 글,4022,,,,"414,000원","-129,500원","-40,000원","244,500원",5개월 할부,40%,"월 48,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/MA2D2YMSOoZxOGZNN3ue
0,[🔥상반기 총결산] 누구나 쉽고 재밌게 배우는 브루어스 구움과자 레시피의 모든 것.,베이킹디저트,구움과자,초급자,20주 수강 가능,11,36,바로 수강 가능,False,브루어스커피,https://www.instagram.com/brewerscoffee_official/,853,97%,83개의 글,3916,,,,"309,000원","-79,500원","-50,000원","179,500원",5개월 할부,41%,"월 35,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/CK8pwa8sloNWRkqpMIsi
0,[🎁준비물무료] 낭만브레드와 시작하는 행복한 빵 생활!,베이킹디저트,제빵,입문자,20주 수강 가능,8,21,바로 수강 가능,True,낭만브레드,https://instagram.com/romantictable_,314,99%,146개의 글,3688,,,,"454,000원","-144,500원","-80,750원","228,750원",5개월 할부,49%,"월 45,750원",준비물0원,2021-06-10,https://class101.net/products/eXI9JywPHPa8zryvuwyZ
0,[🔥상반기 총결산] 꿈결같이 아름다운 디자인 케이크 클래스,베이킹디저트,디자인케이크,초급자,20주 수강 가능,10,40,바로 수강 가능,False,하트앤애로우,"https://www.instagram.com/heart_n_arrow/, https://www.youtube.com/channel/UCS0LAAPmy60TEjb2p5I6GpQ",302,96%,45개의 글,3635,,,,"299,000원","-80,250원","-50,000원","168,750원",5개월 할부,43%,"월 33,750원",5만원 쿠폰,2021-06-10,https://class101.net/products/k92C92PsMiVZl1iIaSvK
