,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🔥상반기 총결산] '마O무 보컬트레이너' 임선호에게 배우는 보컬 트레이닝,보컬랩,보컬 트레이닝,입문자,20주 수강 가능,9,31,바로 수강 가능,True,보컬트레이너임선호,http://www.facebook.com/sunholim82,285,94%,94개의 글,3986,,,,"269,000원","-84,900원","-50,000원","134,100원",5개월 할부,50%,"월 26,820원",5만원 쿠폰,2021-06-10,https://class101.net/products/dkMg6nDVjR5F70sjjzRJ
0,,보컬랩,"랩, 힙합",입문자,,,,,,팔로알토,https://instagram.com/paloaltongue?igshid=17wqffxbauw8f,,,49개의 글,,,,,"490,000원","-147,200원","-70,000원","272,800원",12개월 할부,,"월 22,733원",7만원 쿠폰,2021-06-10,https://class101.net/products/paloalto
0,[🔥상반기 총결산] 하루 10분 보이스 코칭! 전직 기상캐스터의 목소리 교정 클래스,보컬랩,스피치 & 보이스 코칭,초급자,20주 수강 가능,7,40,바로 수강 가능,True,감통코치,"https://www.instagram.com/laelspeech1023/?hl=ko, https://www.youtube.com/channel/UCCWD6gDI6NRUqb9pXaft-6A?view_as=subscriber, https://blog.naver.com/laelspeech",48,96%,30개의 글,1681,96,평균 3일 이내 응답,445개의 피드백 더보기,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",4만원 쿠폰,2021-06-10,https://class101.net/products/pucWCh3gdO6ADMgYpNNY
0,[🔥상반기 총결산] 목 안 아프고 노래하기! 나쁜 노래 습관 고치고 편안하게 노래하는 법,보컬랩,보컬 트레이닝,입문자,20주 수강 가능,10,32,바로 수강 가능,True,그레이스 킴,"http://instagram.com/gracekim_music/, https://www.youtube.com/gracekimmusic, https://www.facebook.com/gracemusickim/n",81,99%,31개의 글,1591,90,,730개의 피드백 더보기,"229,000원","-22,900원","-50,000원","156,100원",5개월 할부,31%,"월 31,220원",5만원 쿠폰,2021-06-10,https://class101.net/products/tW7BhlmXWzwYWQ6v9b4T
0,[클래스문방구] 발성만이 아닌 '노래를' 잘하기 위한 레슨,보컬랩,노래부르기,초급자,20주 수강 가능,11,30,바로 수강 가능,False,황가람,https://www.instagram.com/hwang.karam/,,,20개의 글,695,,,,"309,000원","-79,338원","-40,000원","189,662원",5개월 할부,38%,"월 37,932원",3만원 쿠폰,2021-06-10,https://class101.net/products/ly0pdKXfKGo5ZTyt6UrS
0,[클래스문방구] 아시아 비트박스 챔피언에게 비트박스 배우기,보컬랩,비트박스,입문자,20주 수강 가능,15,61,바로 수강 가능,True,히스 (Hiss),"https://www.instagram.com/beatbox_hiss/, https://www.youtube.com/c/HissMusic/, https://www.facebook.com/Hissmusic/",130,98%,31개의 글,528,,,,"309,000원","-93,000원","-40,000원","176,000원",5개월 할부,43%,"월 35,200원",3만원 쿠폰,2021-06-10,https://class101.net/products/0a8FpvgcVbTLXEzgzRjj
0,"[클래스문방구] 성악가출신 '뮤지컬배우'가 알려주는 클래스 : 지금, 발성을 업그레이드 해야 할 때",보컬랩,보컬 트레이닝,입문자,20주 수강 가능,10,30,바로 수강 가능,True,뚜리쌤,https://www.instagram.com/voice_yeseul/,,,18개의 글,439,100,평균 12시간 이내 응답,102개의 피드백 더보기,"269,000원","-69,500원","-40,000원","159,500원",5개월 할부,40%,"월 31,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/dl9K2qXC39bEg3BOTZCh
0,[클래스문방구] 부르는 순간 펼쳐지는 알프스 산맥! 부르기만 해도 행복해지는 '요들송',보컬랩,요들송 배우기,입문자,20주 수강 가능,12,42,바로 수강 가능,True,요들행님,https://www.youtube.com/results?search_query=%EC%9A%94%EB%93%A4%ED%96%89%EB%8B%98&page&utm_source=opensearch,,,5개의 글,230,,,,"292,700원","-58,200원","-40,000원","194,500원",5개월 할부,33%,"월 38,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/cxKy1fivvNYJK2YH7utU
0,[보컬] 목 안 아프고 노래하기! 나쁜 노래 습관 고치고 편안하게 노래하는 법,보컬랩,보컬 트레이닝,입문자,4주 수강 가능,10,32,바로 수강 가능,True,그레이스 킴,"http://instagram.com/gracekim_music/, https://www.youtube.com/gracekimmusic, https://www.facebook.com/gracemusickim/n",81,99%,,38,90,,730개의 피드백 더보기,"229,000원","-180,000원",,,최종 금액,78%,"49,000원",1개월 무제한,2021-06-10,https://class101.net/products/JTUH0eoM43wZeTxMVPul
0,그룹 '페이지' 이현욱 교수님의 Vocal Impact,보컬랩,"보컬, 발성",초급자,20주 수강 가능,9,16,21.06.22 (화),False,디헤미안뮤직,,,,,19,,,,"149,000원","-100,000원",,,최종 금액,67%,"49,000원",,2021-06-10,https://class101.net/products/ZEcOib4V374lIkVjDQ88
