,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,,뷰티,,,,,,,,,,,,215개의 글,,,,,"450,000원","-181,200원","-40,000원","228,800원",12개월 할부,,"월 19,066원",3만원 쿠폰,2021-06-10,https://class101.net/products/senshong
0,"[클래스문방구] 요요 없이, 과한 운동 없이, 일반식 먹으면서 20kg 빼는 내 인생 마지막 다이어트",뷰티,다이어트,입문자,20주 수강 가능,9,34,바로 수강 가능,True,수연쌤,"https://www.instagram.com/suxeon, https://www.youtube.com/c/%EC%97%AC%EB%8B%88%EC%96%B8",144,94%,17개의 글,3923,,,,"309,000원","-79,500원","-40,000원","189,500원",5개월 할부,38%,"월 37,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/AKHRjdEMjYcWsroSX76a
0,[💖인기검색] 손톱 위에 펼쳐지는 나만의 동화! 러블리한 감성 네일 아트,뷰티,네일아트,초급자,20주 수강 가능,11,30,바로 수강 가능,True,편블리,"http://www.instagram.com/pyunvely, http://www.youtube.com/channel/UChIi0bPTFOmwdTePq0xITZA",127,90%,135개의 글,2466,,,,"475,900원","-161,400원","-40,000원","274,500원",5개월 할부,42%,"월 54,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/truzhNeNExAytkoj8srM
0,[클래스문방구] 아름다운 라인을 잡아주는 연예인 경락 마사지,뷰티,셀프 홈 케어 마사지,입문자,20주 수강 가능,11,34,바로 수강 가능,True,뷰티피아,https://instagram.com/beautypia_by_jans,154,94%,386개의 글,2390,,,,"400,500원","-96,635원","-40,000원","263,865원",5개월 할부,34%,"월 52,773원",3만원 쿠폰,2021-06-10,https://class101.net/products/N2kuL7FRoXO3ygYa6S4r
0,[클래스문방구] 매력을 최대치로 끌어올리는 먼지나방의 퍼스널컬러,뷰티,퍼스널컬러,초급자,20주 수강 가능,8,32,바로 수강 가능,True,먼지나방 스토그래피,"http://instagram.com/dustmothjini, https://www.youtube.com/channel/UCHUkpUuH7O3U7eIx93tMUwA/videos, http://www.dustmothstg.com/, http://www.dustmoth.com/",150,94%,28개의 글,1633,97,,591개의 피드백 더보기,"311,000원","-33,500원","-40,000원","237,500원",5개월 할부,23%,"월 47,500원",3만원 쿠폰,2021-06-10,https://class101.net/products/WcOpw1IqGtnLqdf5hsJ6
0,[클래스문방구] 더 이상 피부 관리실에 돈 쓰지 마세요. 호쌤 셀프 경락 마사지,뷰티,셀프 경락 마사지,입문자,20주 수강 가능,10,32,바로 수강 가능,False,호쌤,,44,98%,23개의 글,1451,,,,"336,500원","-92,000원","-40,000원","204,500원",5개월 할부,39%,"월 40,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/P0qee9yDoOxrVrddoTFV
0,,뷰티,함경식의 메이크업,입문자,,,,,,함경식_살롱드기프트,"https://www.instagram.com/gift_haam/, https://www.youtube.com/channel/UCJ1p9JvYCdC9JnO6s0Js9lw",,,41개의 글,,,,,"490,000원","-183,200원","-40,000원","266,800원",12개월 할부,,"월 22,233원",3만원 쿠폰,2021-06-10,https://class101.net/products/vqfIQU3gyszpyfR5i2D2
0,"[🔥상반기 총결산] 네일아트 기초부터 창업까지, 레나의 네일 인생 길라잡이",뷰티,네일아트,초급자,32주 수강 가능,12,38,바로 수강 가능,True,레나,"http://instagram.com/lena_studioo, https://www.youtube.com/user/peachkm",116,98%,36개의 글,1114,93,,880개의 피드백 더보기,"699,300원","-285,060원","-80,000원","334,240원",5개월 할부,52%,"월 66,848원",8만원 쿠폰,2021-06-10,https://class101.net/products/it09WToirhHle4VvH7VB
0,,뷰티,헤어 디자인,초급자,,,,,,묘정,https://www.instagram.com/my.o_/,,,30개의 글,,,,,"490,000원","-137,000원","-50,000원","303,000원",12개월 할부,,"월 25,250원",5만원 쿠폰,2021-06-10,https://class101.net/products/xxVUJoUqBZA6IsRFg1JH
0,"[클래스문방구] 내 입술 컬러에 맞추어 직접 만드는, '인생 립스틱'",뷰티,수제 립스틱 만들기,입문자,20주 수강 가능,9,34,바로 수강 가능,False,Alice,https://instagram.com/lipcolor___?igshid=3m8q3hcpu68n,,,22개의 글,440,,,,"452,700원","-83,200원","-40,000원","329,500원",5개월 할부,27%,"월 65,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/yVL6ucPDrcjSjxaWWQoF
