,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🏆BEST특가] 사진 입문자를 위한 쉽게 배우고 빨리 써먹는 사진과 라이트룸,사진,사진과 라이트룸,입문자,20주 수강 가능,10,36,바로 수강 가능,True,MAZECT(마젝),https://instagram.com/mazect,949,95%,244개의 글,12771,,,,"369,000원","-134,500원","-70,000원","164,500원",5개월 할부,55%,"월 32,900원",7만원 쿠폰,2021-06-10,https://class101.net/products/UvOvxfTqwBJ2Tcagydms
0,"[💖인기검색] 일상을 동화처럼 표현하는 사진, 오직 아이폰으로만",사진,아이폰 사진 촬영 및 보정,입문자,20주 수강 가능,11,38,바로 수강 가능,True,류채우(류필),https://www.instagram.com/ryufill_foto,475,91%,532개의 글,8945,,,,"289,250원","-89,500원","-50,000원","149,750원",5개월 할부,48%,"월 29,950원",5만원 쿠폰,2021-06-10,https://class101.net/products/ZVx6m5fSPWQyOKEcGCpy
0,[🔥상반기 총결산] 스마트폰으로 만들어내는 사진의 모든 것,사진,"스마트폰 사진 촬영 , 보정",입문자,20주 수강 가능,9,41,바로 수강 가능,True,경훈,https://www.instagram.com/skh5978,620,95%,71개의 글,6940,,,,"309,000원","-93,000원","-50,000원","166,000원",5개월 할부,46%,"월 33,200원",5만원 쿠폰,2021-06-10,https://class101.net/products/xD5JZliYfNJ9PoGXcmPq
0,"[클래스문방구] 순간을 더 아름답게, 진한 감성을 담는 사진&라이트룸 보정법",사진,"사진 촬영, 보정법",초급자,20주 수강 가능,9,35,바로 수강 가능,True,이모씨,https://instagram.com/orangepolo,117,93%,110개의 글,6681,92,평균 12시간 이내 응답,667개의 피드백 더보기,"299,000원","-99,500원","-100,000원","99,500원",5개월 할부,66%,"월 19,900원",10만원 쿠폰,2021-06-10,https://class101.net/products/mymV170llgVBrYDub1ak
0,[💣24시간] 사진가 정멜멜의 가까워지고 멀어지며 나의 세계 편집하기,사진,사진 촬영 및 편집,초급자,20주 수강 가능,10,36,바로 수강 가능,True,정멜멜,"http://instagram.com/meltingframe, http://instagram.com/meltingframe.in.seoul",972,98%,82개의 글,6420,,,,"441,250원","-139,500원","-60,000원","241,750원",5개월 할부,45%,"월 48,350원",6만원 쿠폰,2021-06-10,https://class101.net/products/0qfjBwNLop9bhoAQqfkg
0,[💖인기검색] 지니스타일과 함께 나만의 시선을 간직한 사진 만들기,사진,"여행사진, 라이트룸",초급자,20주 수강 가능,8,27,바로 수강 가능,True,지니포토,https://instagram.com/jinifoto,268,93%,201개의 글,4002,,,,"369,000원","-119,950원","-50,000원","199,050원",5개월 할부,46%,"월 39,810원",5만원 쿠폰,2021-06-10,https://class101.net/products/vf0p7rSkXBbo21MyEsdz
0,[💖인기검색] 포토그래퍼에게 배우는 카메라 그리고 사진,사진,사진/카메라,입문자,20주 수강 가능,11,44,바로 수강 가능,True,미쿠니스튜디오,"https://www.youtube.com/channel/UC7Sy4Kf_gzMEeFQBbiANElw, https://www.instagram.com/reviewtalktalk",228,96%,73개의 글,3919,98,평균 하루 이내 응답,831개의 피드백 더보기,"277,595원","-78,095원","-50,000원","149,500원",5개월 할부,46%,"월 29,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/rhJUJohUOndwfwuuBQ1r
0,[💖인기검색] 휴대폰 하나면 충분해요! 인생사진 기록하는 방법,사진,예쁜 사진찍기,입문자,20주 수강 가능,9,34,바로 수강 가능,True,다솜,https://instagram.com/ds.h__,412,86%,126개의 글,3606,,,,"269,250원","-84,500원","-40,000원","144,750원",5개월 할부,46%,"월 28,950원",3만원 쿠폰,2021-06-10,https://class101.net/products/c5qJVyfBVDctQVy3P4BV
0,"[💖인기검색] 연출, 촬영, 보정까지! 스케르잔도의 매혹적인 인물 사진의 모든 것",사진,사진 촬영,입문자,20주 수강 가능,10,28,바로 수강 가능,True,스케르잔도,https://instagram.com/scherzando_artwork,298,89%,72개의 글,3275,,,,"299,000원","-99,500원","-40,000원","159,500원",5개월 할부,46%,"월 31,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/Idked3GspVvyysnTTtKw
0,"[🔥상반기 총결산] 누구나 배우면 가능한 완벽한 인물 보정, 취미부터 수익까지 내보세요[프리셋 10종 증정]",사진,포토샵 인물보정,초급자,20주 수강 가능,9,44,바로 수강 가능,False,리터치봄,,139,96%,31개의 글,3143,,,,"209,000원","-30,000원","-50,000원","129,000원",5개월 할부,38%,"월 25,800원",5만원 쿠폰,2021-06-10,https://class101.net/products/heQl6vZQkkWeSkrDhsuf
0,"[💖인기검색] 후지필름과 함께, 미러리스 카메라 100% 활용하기!",사진,사진촬영&편집,입문자,16주 수강 가능,12,31,바로 수강 가능,True,후지필름연남점,https://instagram.com/fujifilm-yeonnam,409,95%,40개의 글,3066,,,,"229,000원","-69,400원","-40,000원","119,600원",4개월 할부,47%,"월 29,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/kTUcYL8AFSDBuC7m25T7
0,[클래스문방구] 일상을 특별하게 만드는 마법! 사진 & 라이트룸 보정법,사진,사진 보정으로 특별한 일상 만들기,초급자,20주 수강 가능,9,35,바로 수강 가능,True,Doyou.fim(두유필름),https://www.instagram.com/doyou.film/,131,97%,44개의 글,2725,,,,"369,000원","-144,500원","-40,000원","184,500원",5개월 할부,50%,"월 36,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/vPWR1yAalIMN5MC3UX2z
0,"[클래스문방구] 필름생활 입문, 업사이클 카메라 만들기부터 촬영까지",사진,필름생활 입문에 도움이 되는 업사이클 카메라 만들기,입문자,20주 수강 가능,10,38,바로 수강 가능,True,필름로그 film+log,https://instagram.com/filmlog_official,217,95%,197개의 글,2641,,,,"348,300원","-126,919원","-40,000원","181,381원",5개월 할부,47%,"월 36,276원",3만원 쿠폰,2021-06-10,https://class101.net/products/QLetHEPZjwp8p71v3Qn9
0,"[클래스문방구] 홀연히 경이롭게, 일상을 여행처럼. 힐링 사진 촬영과 라이트룸 보정",사진,힐링이되는 사진 촬영,입문자,20주 수강 가능,9,24,바로 수강 가능,True,앤돌핀,https://www.instagram.com/and.olphin/,,,56개의 글,2058,,,,"249,000원","-79,500원","-40,000원","129,500원",5개월 할부,47%,"월 25,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/j7A6xY1GmMXNwsMLh6Jz
0,"[💖인기검색] 느림의 미학, 사진작가 신혜림의 필름 사진",사진,필름 사진,초급자,20주 수강 가능,11,27,바로 수강 가능,True,신혜림,https://www.instagram.com/1.nove/,504,91%,20개의 글,1855,,,,"269,000원","-44,600원","-50,000원","174,400원",5개월 할부,35%,"월 34,880원",5만원 쿠폰,2021-06-10,https://class101.net/products/SYPDsePsHeum6cr0ded4
0,"[클래스문방구] 월1,000버는 유튜브 채널 키우기(오직 스마트폰으로)",사진,"유튜브 편집, 수익 극대화",입문자,32주 수강 가능,10,44,바로 수강 가능,True,빨간토마토,"https://www.youtube.com/user/BrioJae, https://www.facebook.com/redtomatotube, https://www.instagram.com/redtomatotube/",133,98%,26개의 글,1721,98,평균 7일 이내 응답,"1,345개의 피드백 더보기","299,000원","-103,000원","-40,000원","156,000원",5개월 할부,47%,"월 31,200원",3만원 쿠폰,2021-06-10,https://class101.net/products/jCgxsKPiRN9m7OvOir7A
0,[🔥상반기 총결산] 쇼핑몰과 SNS를 위한 제품 촬영 : 연출부터 상세페이지까지,사진,제품 사진 촬영,입문자,20주 수강 가능,7,24,바로 수강 가능,True,스튜디오 콩크리트,https://www.instagram.com/empty_bean/,124,94%,21개의 글,1646,,,,"199,000원","-14,000원","-50,000원","135,000원",5개월 할부,32%,"월 27,000원",5만원 쿠폰,2021-06-10,https://class101.net/products/DZpP1fzSjtL57kY1dQl0
0,,사진,사진 촬영/보정,초급자,,,,,,오중석,,,,,,,,,"374,328원","-159,528원","-40,000원","174,800원",12개월 할부,,"월 14,566원",3만원 쿠폰,2021-06-10,https://class101.net/products/xkz1FFYOkUuWbZABsBLW
0,[클래스문방구] 10분 촬영하고 30분 편집하면 끝! 스마트폰 하나로 돈 되는 영상 만들기,사진,동영상 편집하기,초급자,16주 수강 가능,9,27,바로 수강 가능,True,체리퀸,https://www.youtube.com/channel/UCHw4Dq5hsJ24-2Lh0T-dFEA,49,98%,13개의 글,1024,,,,"269,000원","-79,100원","-40,000원","149,900원",5개월 할부,44%,"월 29,980원",3만원 쿠폰,2021-06-10,https://class101.net/products/dJjAfNZnxXUEq2APCerk
0,[클래스문방구] 빛이라는 물감으로 쉽고 다양하게 찍는 인물사진,사진,인물사진,입문자,20주 수강 가능,9,27,바로 수강 가능,True,Mild.moon,https://www.instagram.com/mild.moon/?hl=ko,58,93%,17개의 글,1016,,,,"369,000원","-132,300원","-40,000원","196,700원",5개월 할부,46%,"월 39,340원",3만원 쿠폰,2021-06-10,https://class101.net/products/xfU3oNHopkT8lRpuJ3rP
0,"[🔥상반기 총결산] 돈 되는 음식 사진, 소박한 집밥과 스마트폰만 있으면 가능해요",사진,집밥으로 돈 되는 사진 찍기,입문자,20주 수강 가능,7,27,바로 수강 가능,True,고연희,"http://instagram.com/goyeonheee, http://goyeonheee.blog.me/, https://www.youtube.com/channel/UCGIUFxtdZAern0nqoVek6Nw",33,97%,9개의 글,950,,,,"395,100원","-73,900원","-70,000원","251,200원",5개월 할부,36%,"월 50,240원",7만원 쿠폰,2021-06-10,https://class101.net/products/t1pETv1i8PrgbNun0SkG
0,[101원] 필름 카메라 놀이터 DDP를 101% 즐기는 법,사진,필름 카메라,입문자,12주 수강 가능,5,16,바로 수강 가능,False,서울디자인재단,"http://www.seouldesign.or.kr/, http://www.seouldesign.or.kr/",40,95%,,911,,,,500원,-399원,,,최종 금액,79%,101원,,2021-06-10,https://class101.net/products/09GSRFWW1luDeCYF8BnH
0,"[꿀조합 할인🍯] 사진 기본기 잡기. 기초이론, 촬영, 구도, 라이트룸 보정까지",사진,꿀조합,초급자,1년 수강 가능,0,0,바로 수강 가능,True,클래스101,,,,,902,,,,"530,000원","-172,110원","-40,000원","317,890원",12개월 할부,40%,"월 26,490원",3만원 쿠폰,2021-06-10,https://class101.net/products/RJEXl4YKuxwGTpjeqO5p
0,[클래스문방구] 40년 경력 포토그래퍼가 알려주는 < 초/중급자를 위한 사진 라이팅 테크닉 클래스 >,사진,사진 라이팅 테크닉,중급자,20주 수강 가능,9,23,바로 수강 가능,False,사진가 김보하,"https://www.instagram.com/kim_boha/, http://the3studio.com/",31,90%,6개의 글,810,,,,"309,000원","-69,500원","-40,000원","199,500원",5개월 할부,35%,"월 39,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/DF0TjwMIB6h9ETJPuuiw
0,[🔥상반기 총결산] 입문자를 위한 온라인 쇼핑몰 제품 사진 촬영법 A to Z,사진,온라인 쇼핑몰 제품사진 촬영법,입문자,20주 수강 가능,12,49,바로 수강 가능,False,포토홀릭,"https://www.instagram.com/photoholic78/, https://blog.naver.com/flysyl",27,100%,13개의 글,704,100,평균 3시간 이내 응답,257개의 피드백 더보기,"279,000원","-50,000원","-50,000원","179,000원",5개월 할부,35%,"월 35,800원",5만원 쿠폰,2021-06-10,https://class101.net/products/vfU6Ngy8gwmP2MA8vx06
0,"[🔥상반기 총결산] 사진을 업그레이드 시키는 ‘빛’, 15년차 프로 포토그래퍼가 알려주는 '사진 조명'",사진,사진 촬영 & 조명,초급자,20주 수강 가능,10,36,바로 수강 가능,True,포토그래퍼 석근,"https://www.instagram.com/geun_photography, https://studiog.creatorlink.net/",,,12개의 글,636,100,평균 하루 이내 응답,78개의 피드백 더보기,"299,400원","-59,400원","-50,000원","190,000원",5개월 할부,36%,"월 38,000원",5만원 쿠폰,2021-06-10,https://class101.net/products/JLbu8j0XQqKXMK0baclT
0,[클래스문방구] 환상을 현실로 만드는 기술 : 누구나 멋지게 촬영할 수 있는 코스프레 사진의 세계,사진,코스프레&스페셜 촬영,초급자,20주 수강 가능,9,45,바로 수강 가능,True,피온 & 와와,"https://www.youtube.com/channel/UCaayLOmP3ERzruIbrDnB5YA, http://pionkim.creatorlink.net/PROJECT, https://www.instagram.com/pion_kim/",,,9개의 글,453,,,,"309,000원","-79,500원","-40,000원","189,500원",5개월 할부,38%,"월 37,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/J0v3vURVPHgRqFSB5LxT
0,[101원] 글래머샷과 갤럭시 탭 S7ㅣS7+로 내 방에서 만드는 인생 사진,사진,사진 제작,입문자,12주 수강 가능,2,6,바로 수강 가능,False,SAMSUNG,,,,,433,,,,500원,-399원,,,최종 금액,79%,101원,,2021-06-10,https://class101.net/products/LcYvAMeE5fXVomwXCP8D
0,"[💖인기검색] 연애부터 결혼까지, 부담 없이 쉽게 기록하는 셀프 커플 스냅 사진 프로젝트!",사진,셀프 스냅 사진,초급자,20주 수강 가능,11,34,바로 수강 가능,True,은우아름,"https://www.instagram.com/with_pewar/, https://www.youtube.com/channel/UC6qABKLokXFdp50AqzjZFEg",,,10개의 글,324,,,,"282,300원","-104,800원","-50,000원","127,500원",5개월 할부,54%,"월 25,500원",5만원 쿠폰,2021-06-10,https://class101.net/products/06d8cBuNTMv6XjmEMIPN
0,"망한 사진, 5분 심폐보정술로 완벽 보정! 그리고 굿즈 제작까지",사진,망한 사진 되살리기,초급자,20주 수강 가능,8,21,바로 수강 가능,True,바간지,"https://www.instagram.com/pakwanzee/, https://www.instagram.com/wggoods/",,,4개의 글,197,,,,"266,000원","-53,000원","-30,000원","183,000원",5개월 할부,31%,"월 36,600원",3만원 쿠폰,2021-06-10,https://class101.net/products/8AIENrP4QwCexEcpjYNk
0,[클래스문방구] 핸드폰과 DSLR 카메라로 찍는 예쁜 색감의 인생사진!,사진,핸드폰 카메라&DSLR 카메라 촬영과 보정,입문자,1년 수강 가능,0,0,바로 수강 가능,True,클래스101,,,,,133,,,,"530,000원","-171,610원","-40,000원","318,390원",12개월 할부,39%,"월 26,532원",3만원 쿠폰,2021-06-10,https://class101.net/products/dsYZvSgJvUcibd2nUvGi
0,"[꿀조합 할인🍯] 우리 아이와의 행복한 시간, 잘 찍고 예쁘게 보정해요.",사진,사진과 동영상,입문자,48주 수강 가능,0,0,바로 수강 가능,False,,,,,,77,,,,"738,000원","-335,300원","-40,000원","362,700원",12개월 할부,50%,"월 30,225원",3만원 쿠폰,2021-06-10,https://class101.net/products/9XQ1CrocG4gf4SS76i9K
0,"[사진, 보정] 라이트룸 보정법 : 일상을 특별하게 만드는 마법",사진,사진 보정으로 특별한 일상 만들기,초급자,4주 수강 가능,9,35,바로 수강 가능,True,Doyou.fim(두유필름),https://www.instagram.com/doyou.film/,131,97%,,54,,,,"369,000원","-330,000원",,,최종 금액,89%,"39,000원",1개월 무제한,2021-06-10,https://class101.net/products/z7GP9HmipcatnnE7xtpi
