,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL,finalPrice
0,"[💣24시간] 종이를 가득 채우는 부드럽고 감각적인 색감, 둡의 채색 인물화",colorPencil,채색 인물화,초급자,20주 수강 가능,10,30,바로 수강 가능,True,둡,https://instagram.com/mood.doop,"1,084",99%,175개의 글,12986,,,,"507,200원","-183,570원","-50,000원",5개월 할부,46%,"월 54,726원",6만원 쿠폰,2021-06-09,https://class101.net/products/GJRYUN4qZx1ysKXYJZ8c,"273,630원"
0,[🎁준비물무료] 눈으로 맛보는 디저트! 소보루의 색연필 클래스,colorPencil,색연필그림,입문자,20주 수강 가능,11,36,바로 수강 가능,True,소보루,https://instagram.com/sovoroo_,831,97%,103개의 글,9488,99,평균 12시간 이내 응답,"5,131개의 피드백 더보기","405,533원","-142,813원","-73,500원",5개월 할부,53%,"월 37,844원",준비물0원,2021-06-09,https://class101.net/products/ENppV01t0eGcUoEl1TYq,"189,220원"
0,"[클래스문방구] 시크하게 그리는 각도의 마법, 이현미의 색연필 인물화",colorPencil,색연필 인물화,입문자,20주 수강 가능,10,39,바로 수강 가능,True,이현미,https://instagram.com/vacaskingdom.girl,439,99%,116개의 글,8314,97,평균 3일 이내 응답,"3,036개의 피드백 더보기","311,000원","-73,244원","-40,000원",5개월 할부,36%,"월 39,551원",3만원 쿠폰,2021-06-09,https://class101.net/products/q7PBKxJYa3jZhSlMK5NP,"197,756원"
0,[클래스문방구] 분위기까지 담아내는 송블리의 색연필 인물화,colorPencil,색연필 인물화,입문자,20주 수강 가능,9,32,바로 수강 가능,True,송블리,"https://instagram.com/Songbly84, https://imstagram.com/songbly84",623,96%,125개의 글,7545,,,,"397,700원","-121,173원","-40,000원",5개월 할부,40%,"월 47,305원",3만원 쿠폰,2021-06-09,https://class101.net/products/fkPQOU5RuXkpNT3l6e0a,"236,527원"
0,[클래스문방구] 색의 규칙을 만들다 - 색연필 인물화로 나만의 색감을 찾아 떠나는 여정,colorPencil,색채 드로잉,초급자,20주 수강 가능,11,25,바로 수강 가능,True,libere_nuage,"https://instagram.com/libere_nuage, https://101.gg/30LYUNX",496,96%,58개의 글,6467,,,,"330,100원","-105,600원","-40,000원",5개월 할부,44%,"월 36,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/U5pMjIoGuCjDHiz83MUW,"184,500원"
0,"[🎁준비물무료] 따뜻함으로 가득 채운 한 장, 엘리와 함께하는 색연필 드로잉",colorPencil,손그림 일러스트,초급자,20주 수강 가능,11,36,바로 수강 가능,True,엘리,https://www.instagram.com/aellie_k,"1,556",99%,187개의 글,6435,93,평균 하루 이내 응답,"6,407개의 피드백 더보기","353,700원","-111,000원","-70,000원",5개월 할부,51%,"월 34,540원",준비물0원,2021-06-09,https://class101.net/products/rw8m0gSc4vuhQZLlW8C0,"172,700원"
0,"[🎁준비물무료] 색연필의 따뜻한 결, 바이냉과 함께하는 매일 손그림 하나",colorPencil,손그림,입문자,16주 수강 가능,10,29,바로 수강 가능,True,bynaeng,"https://instagram.com/bynaeng, https://m.smartstore.naver.com/nearfore",661,98%,84개의 글,5925,98,평균 7일 이내 응답,"1,400개의 피드백 더보기","306,699원","-106,274원","-46,293원",4개월 할부,49%,"월 38,533원",준비물0원,2021-06-09,https://class101.net/products/uh2sCsF4M0hFbNpcOLvT,"154,132원"
0,[클래스문방구] 현피치와 함께 선명하게 그리는 색연필 인물화 클래스,colorPencil,색연필 인물화,입문자,20주 수강 가능,10,31,바로 수강 가능,True,hyunpeach_,https://instagram.com/hyunpeach_,304,89%,138개의 글,4972,,,,"352,825원","-122,725원","-30,000원",5개월 할부,43%,"월 40,020원",3만원 쿠폰,2021-06-09,https://class101.net/products/HoUNL4XNgig1v2CbReLN,"200,100원"
0,"[클래스문방구] 사진보다 더 예쁜 인물화를 그려요, 뷰티 일러스트 클래스",colorPencil,색연필 인물화,입문자,16주 수강 가능,9,31,바로 수강 가능,True,지과자,https://instagram.com/gwajastudio,506,97%,55개의 글,4645,,,,"369,000원","-102,107원","-40,000원",4개월 할부,38%,"월 56,723원",3만원 쿠폰,2021-06-09,https://class101.net/products/46nkC5jHe86sf0Y3P4Y3,"226,893원"
0,"[클래스문방구] 색감을 그리고 질감을 담다, 양지의 색연필 인물화",colorPencil,색연필 인물화,입문자,20주 수강 가능,9,36,바로 수강 가능,True,양지,https://instagram.com/eyang_db,280,91%,93개의 글,4593,,,,"259,000원","-99,124원","-40,000원",5개월 할부,53%,"월 23,975원",3만원 쿠폰,2021-06-09,https://class101.net/products/DLvwfm5xfPUpcoBk5A9R,"119,876원"
