,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL,finalPrice
0,[🎁준비물무료] 부담 없이 시작하는 모나미 플러스펜 수채화,watercolor,펜으로 그리는 수채화 그림,초급자,20주 수강 가능,11,31,바로 수강 가능,True,오유,"https://instagram.com/_odd__u, https://youtube.com/channel/UC32aRvXyLXUD9GvxTIAQ4Fg",572,99%,29개의 글,4904,94,평균 7일 이내 응답,"3,765개의 피드백 더보기","404,600원","-139,600원","-40,000원",5개월 할부,44%,"월 45,000원",준비물0원,2021-06-09,https://class101.net/products/PmmZsNDEOrlsNGCSSz1s,"225,000원"
0,[클래스문방구] NOMA와 함께하는 따뜻하고 짙은 불투명 수채화,watercolor,불투명 수채화 일러스트,입문자,20주 수강 가능,9,44,바로 수강 가능,True,NOMA,"https://www.instagram.com/noma.dic/, https://www.youtube.com/channel/UCOUQDS2u81Ge2KB88RjDvTw, https://twitter.com/_N0MA_?s=09",132,99%,211개의 글,4428,,,,"409,400원","-73,700원","-40,000원",5개월 할부,27%,"월 59,140원",3만원 쿠폰,2021-06-09,https://class101.net/products/iRxSwh6qzCelujtsyn64,"295,700원"
0,"[클래스문방구] 하루에 하나, HANA와 함께 그리는 작고 귀여운 수채화 그림",watercolor,수채화,입문자,20주 수강 가능,9,33,바로 수강 가능,True,HANA,https://instagram.com/hana_illustration,319,97%,71개의 글,4026,99,평균 6시간 이내 응답,765개의 피드백 더보기,"365,000원","-134,099원","-40,000원",5개월 할부,47%,"월 38,180원",3만원 쿠폰,2021-06-09,https://class101.net/products/Iia8tCc6LY2eUhjlhepa,"190,901원"
0,"[클래스문방구] 특별한 질감, 진한 여운. 일러스트레이터 산호의 불투명 수채화",watercolor,수채화,입문자,16주 수강 가능,8,31,바로 수강 가능,True,산호,https://instagram.com/sanhomaydraw,502,97%,6개의 글,3977,,,,"282,557원","-87,281원","-40,000원",5개월 할부,45%,"월 31,055원",3만원 쿠폰,2021-06-09,https://class101.net/products/cD58A4hVO5PBoI19UnIJ,"155,276원"
0,"[클래스문방구] 내가 보고 느끼는 그 장면 그대로, 여행스케치의 모든 것",watercolor,여행스케치,입문자,20주 수강 가능,12,39,바로 수강 가능,True,그리고화실 수정쌤,https://instagram.com/and_drawing,239,99%,72개의 글,3563,99,평균 3일 이내 응답,"1,586개의 피드백 더보기","401,700원","-142,200원","-40,000원",5개월 할부,45%,"월 43,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/5AU5XOJMH8Aqd3sWWtSk,"219,500원"
0,"[클래스문방구] 몽환적인 상상을 담은 수채화, 흰달과 함께 꿈을 그려요",watercolor,수채화,입문자,20주 수강 가능,8,23,바로 수강 가능,True,흰 달,"https://www.facebook.com/fullmoon2015/, https://www.youtube.com/channel/UC09sKbcu79ZKWulpNF2FYTA, https://www.instagram.com/fullmoon_9515",62,89%,38개의 글,3478,,,,"322,100원","-109,624원","-40,000원",5개월 할부,46%,"월 34,495원",3만원 쿠폰,2021-06-09,https://class101.net/products/DnoLdew1kcQkwyyUlQ5y,"172,476원"
0,[클래스문방구] 비채와 수채화로 그리는 사랑스러운 꽃 한송이,watercolor,미술,입문자,16주 수강 가능,8,36,바로 수강 가능,True,비채,https://instagram.com/viichae,468,97%,56개의 글,3128,,,,"345,000원","-121,831원","-40,000원",4개월 할부,46%,"월 45,792원",3만원 쿠폰,2021-06-09,https://class101.net/products/itjVyjmm6ga2HhNyzlNV,"183,169원"
0,[클래스문방구] 물의 빛깔로 그려내는 사계절 플라워 수채화,watercolor,수채화 일러스트,초급자,20주 수강 가능,9,25,바로 수강 가능,True,윤꽃,https://instagram.com/a_eunblossom,88,93%,62개의 글,2692,,,,"338,600원","-85,500원","-40,000원",5개월 할부,37%,"월 42,620원",3만원 쿠폰,2021-06-09,https://class101.net/products/lguuqqfgiQWIdZsoEdfC,"213,100원"
0,[🏆BEST특가] 카콜과 함께 나만의 감성 하늘을 그려보자,watercolor,수채화,초급자,20주 수강 가능,10,44,바로 수강 가능,True,카콜,https://instagram.com/shlim204,80,96%,81개의 글,2558,,,,"389,000원","-128,830원","-90,000원",5개월 할부,56%,"월 34,034원",9만원 쿠폰,2021-06-09,https://class101.net/products/5doBboaEMYh3NcnyLtRh,"170,170원"
0,"[클래스문방구] 붓과 바늘로 그리는 그림, 아쿠픽투라의 수채화 자수",watercolor,,,20주 수강 가능,9,38,바로 수강 가능,True,아쿠픽투라,"https://twitter.com/acupictura, https://www.instagram.com/acupic3.3",319,97%,1개의 글,2366,,,,"281,730원","-31,939원","-40,000원",5개월 할부,25%,"월 41,958원",3만원 쿠폰,2021-06-09,https://class101.net/products/kKYY886B7JO4WosPJfdd,"209,791원"
0,"[클래스문방구] 꽃송이에 복고풍 감성을 담아, 복고풍로맨스의 감성 수채화",watercolor,감성 수채화,입문자,20주 수강 가능,7,38,바로 수강 가능,True,복고풍로맨스,https://instagram.com/retro_style_romance,464,97%,,2315,,,,"330,300원","-92,500원","-40,000원",5개월 할부,40%,"월 39,560원",3만원 쿠폰,2021-06-09,https://class101.net/products/retroromance-painting,"197,800원"
0,[클래스문방구] 이젠 그림 '잘' 그리고 싶다! 핀든아트의 두 번째 클래스,watercolor,"펜드로잉,수채화",초급자,20주 수강 가능,9,42,바로 수강 가능,True,Findenart 핀든아트,"https://www.instagram.com/finden_art/, https://www.youtube.com/channel/UCnd9SqiVyFlAUbBV6jekVCQ",261,100%,48개의 글,2281,,,,"532,400원","-157,900원","-40,000원",5개월 할부,37%,"월 66,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/fqaMuSWlNv2onfwVCUC0,"334,500원"
0,[클래스문방구] 섬세한 붓터치로 종이에 물드는 자연스러운 인물수채화,watercolor,인물 그리기,입문자,20주 수강 가능,9,40,바로 수강 가능,True,다혜,https://instagram.com/dahye.kkk,77,97%,77개의 글,2265,,,,"345,300원","-100,800원","-40,000원",5개월 할부,40%,"월 40,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/gic3ro0NcJIkinz8D7oC,"204,500원"
