,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🏆BEST특가] 귀여운 동물로 소품 완성! 멘티자수와 함께하는 프랑스자수,실공예,프랑스자수,입문자,20주 수강 가능,8,30,바로 수강 가능,True,멘티자수,"https://instagram.com/menti_embroidery, https://www.youtube.com/channel/UCOkzOoXRQVOY_2aX-DmfU5A?view_as=subscriber","1,767",99%,259개의 글,10462,,,,"385,400원","-130,000원","-50,000원","205,400원",5개월 할부,46%,"월 41,080원",5만원 쿠폰,2021-06-09,https://class101.net/products/LEeMnNZhaFTExbCwqqsz
0,"[🔥상반기 총결산] 실로 그리는 컬러 콜라주, 태피스트리 도형 위빙",실공예,태피스트리 위빙,입문자,20주 수강 가능,14,81,바로 수강 가능,True,엔원 투엘엘 위빙,https://www.instagram.com/n12ll.weaving/,"1,134",99%,123개의 글,8476,99,평균 하루 이내 응답,"5,940개의 피드백 더보기","392,135원","-94,979원","-50,000원","247,156원",5개월 할부,36%,"월 49,431원",5만원 쿠폰,2021-06-09,https://class101.net/products/M4vHw0vAk1u8oPIV3gV5
0,[클래스문방구] 테이블용 수직기 디어위버와 함께 시작하는 당신의 위빙 생활,실공예,위빙,입문자,20주 수강 가능,10,34,바로 수강 가능,True,woven on looms,https://www.instagram.com/wovenonlooms,256,98%,215개의 글,7821,,,,"378,400원","-78,900원","-40,000원","259,500원",5개월 할부,31%,"월 51,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/eVc4KoIocuLZfL4KyKua
0,"[🏆BEST특가] 내 손이 뜨개 도구가 되는, 니트웨일의 암니팅",실공예,암니팅,입문자,12주 수강 가능,11,51,바로 수강 가능,True,Knit Whale,https://instagram.com/knit_whale,"1,016",98%,,6649,,,,"336,000원","-68,330원","-50,000원","217,670원",3개월 할부,35%,"월 72,556원",5만원 쿠폰,2021-06-09,https://class101.net/products/lVrfK9JLCyrRKzauIher
0,[💖인기검색] 아포코팡파레의 비즈와 자수로 만드는 여름 메시백,실공예,메시백에 자수놓기,입문자,20주 수강 가능,9,33,바로 수강 가능,True,아포코팡파레,https://instagram.com/apocofanfare_stitch,444,99%,136개의 글,6328,99,평균 6시간 이내 응답,"1,899개의 피드백 더보기","280,649원","-66,149원","-40,000원","174,500원",5개월 할부,37%,"월 34,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/UlDUlkUjsSVXSCltAfU0
0,"[🎁준비물무료] 전통의 현대적 재해석, 비밀장신구와 함께 엮는 전통 매듭 액세서리",실공예,전통매듭,입문자,20주 수강 가능,11,53,바로 수강 가능,True,비밀장신구,https://instagram.com/secret_jangsingu_official,504,97%,39개의 글,6072,,,,"330,623원","-81,123원","-69,474원","180,026원",5개월 할부,45%,"월 36,005원",10만원 쿠폰,2021-06-09,https://class101.net/products/WWjv7W4Oz7YAYuUi0Iat
0,"[클래스문방구] 가위질 소리가 기막히게 좋은 날, 소소한날과 함께하는 재봉 입문",실공예,소잉클래스,입문자,20주 수강 가능,9,39,바로 수강 가능,True,소소한날,https://instagram.com/sosohannal_1st,"1,623",98%,182개의 글,5958,99,평균 3일 이내 응답,"2,318개의 피드백 더보기","327,800원","-46,970원","-40,000원","240,830원",5개월 할부,26%,"월 48,166원",3만원 쿠폰,2021-06-09,https://class101.net/products/FMNJejjTMSCwxHdvwXz8
0,[클래스문방구] 꽃 자수로 내 마음에 잔잔한 행복을 수 놓아요,실공예,프랑스자수,입문자,20주 수강 가능,8,22,바로 수강 가능,True,후아유네,https://instagram.com/luckylala7,316,98%,106개의 글,5423,,,,"279,000원","-94,500원","-40,000원","144,500원",5개월 할부,48%,"월 28,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/WJ8yPqWVEgLnkVy1baHh
0,"[클래스문방구] 입체로 그려나가는 프랑스자수, 마노자수의 자수 일러스트",실공예,핸드메이드/프랑스자수,입문자,20주 수강 가능,10,40,바로 수강 가능,True,마노자수,https://instagram.com/mano_jasu,229,98%,65개의 글,4630,,,,"207,000원","-31,400원","-40,000원","135,600원",5개월 할부,34%,"월 27,120원",3만원 쿠폰,2021-06-09,https://class101.net/products/KRyv0HsokdweGxzbEIRA
0,"[클래스문방구] 마음을 위로하는 위빙, 지음의 베틀 생활",실공예,위빙,입문자,20주 수강 가능,10,48,바로 수강 가능,True,지음,,298,97%,19개의 글,4556,,,,"332,400원","-108,262원","-40,000원","184,138원",5개월 할부,44%,"월 36,827원",3만원 쿠폰,2021-06-09,https://class101.net/products/ziium
0,"[클래스문방구] 실로 그리는 그림, 스왈로우굿즈의 일러스트 프랑스자수",실공예,프랑스자수,입문자,20주 수강 가능,9,39,바로 수강 가능,True,스왈로우굿즈,"https://instagram.com/swallowgoods, https://www.youtube.com/channel/UCGeAq4kfOHaJlKlGf6tw1Ww?view_as=subscriber",164,100%,75개의 글,4369,,,,"336,000원","-101,500원","-40,000원","194,500원",5개월 할부,42%,"월 38,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/MXWydtz1XNkKSqwRTrh0
0,[클래스문방구] 달달둥근달 할머니에게 매듭 한 번 배워볼텐가?,실공예,매듭 액세서리,초급자,20주 수강 가능,10,29,바로 수강 가능,True,마르코로호,https://instagram.com/marco_roho,175,88%,185개의 글,4200,,,,"286,400원","-66,900원","-40,000원","179,500원",5개월 할부,37%,"월 35,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/1HrU3cE29980ZqpO4Nrk
