,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🎁준비물무료] 언제 어디서나 힐링악기 칼림바와 함께 마음을 두드려요,악기,칼림바 연주,입문자,20주 수강 가능,11,48,바로 수강 가능,True,알찬ALCHAN,"https://www.youtube.com/channel/UCYplaRoP_lSe3uJbC-t1ZUg, https://www.instagram.com/alchan_kalimba","1,130",99%,191개의 글,6686,100,평균 3일 이내 응답,"3,974개의 피드백 더보기","367,000원","-107,800원","-52,200원","207,000원",5개월 할부,43%,"월 41,400원",준비물0원,2021-06-10,https://class101.net/products/QOCyh9HeAKsHzSdVAKct
0,"[🏆BEST특가] 일상을 음악으로 채색해봐요, 최정완과 함께 배우는 어쿠스틱 기타",악기,기타연주,입문자,20주 수강 가능,13,46,바로 수강 가능,True,정완 JEONGWAN,"https://instagram.com/wanee_2, https://www.youtube.com/channel/UCHTY84u5MRknyGRaiZTOsPA, https://www.facebook.com/jeongwan8",291,99%,86개의 글,4415,97,평균 하루 이내 응답,"1,012개의 피드백 더보기","450,000원","-240,500원","-50,000원","159,500원",5개월 할부,64%,"월 31,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/kGtI3fY2gupwYBiIz60V
0,[🔥상반기 총결산] 누구나 손쉽게 따라 하는 재즈피아노 입문 클래스,악기,재즈피아노,입문자,20주 수강 가능,13,55,바로 수강 가능,True,박터틀,"https://www.youtube.com/channel/UCNBIdSyH9CbiKtIh8XkzIYg/, https://www.facebook.com/forprayer, https://www.instagram.com/park_turtle/",409,97%,58개의 글,4314,97,,"3,701개의 피드백 더보기","309,000원","-76,800원","-50,000원","182,200원",5개월 할부,41%,"월 36,440원",5만원 쿠폰,2021-06-10,https://class101.net/products/S5oUiefI5TBm8bHy8Hfb
0,"[클래스문방구] 해금, 특별하고 아름다운 나만의 반려악기",악기,해금 배우기,입문자,20주 수강 가능,9,32,바로 수강 가능,True,쏜스카이,"https://www.instagram.com/ssonsky/, https://www.youtube.com/channel/UCxIYRXIF0nQCsb_d_31v0EQ, https://www.instagram.com/gugakgugak/",154,95%,157개의 글,3098,,,,"230,600원","-79,680원","-40,000원","110,920원",5개월 할부,51%,"월 22,184원",3만원 쿠폰,2021-06-10,https://class101.net/products/CLsSX1GrC2hBoKsjh6MZ
0,"[🔥상반기 총결산] 피아니스트 제이엠과 함께, 누구나 쉽게 연주하는 피아노",악기,피아노,입문자,16주 수강 가능,9,37,바로 수강 가능,True,제이엠 (JayM),"https://www.youtube.com/channel/UCuvpz9_Jp2tbaZNbVyg1nHQ, https://www.facebook.com/jaympiano, http://jaympiano.com/, https://blog.naver.com/whwjdaks0907, https://www.instagram.com/jaym_np/",102,94%,103개의 글,3070,,,,"274,000원","-74,400원","-50,000원","149,600원",5개월 할부,45%,"월 29,920원",5만원 쿠폰,2021-06-10,https://class101.net/products/t27LIHoMr5NJsHVsxfyR
0,"[클래스문방구] 화려한 불빛의 멜로디, 색다른 전자피아노 런치패드",악기,미디음악,초급자,20주 수강 가능,11,30,바로 수강 가능,True,임둥,https://www.youtube.com/channel/UCo0ac-PFaLaF75P-o0tGR2w?view_as=subscriber,121,93%,103개의 글,2177,,,,"229,000원","-69,500원","-40,000원","119,500원",5개월 할부,47%,"월 23,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/YiPac6m5EDwcS5WyYEsr
0,[🔥상반기 총결산] 태경이 삼촌의 도 몰라도 미칠 수 있는 코드 피아노 반주법,악기,피아노 반주법,초급자,20주 수강 가능,11,47,바로 수강 가능,True,태경이삼촌,"https://www.youtube.com/user/kooltaez, https://www.facebook.com/kooltaez, https://blog.naver.com/kooltaez",152,94%,47개의 글,1986,,,,"369,000원","-142,200원","-50,000원","176,800원",5개월 할부,52%,"월 35,360원",5만원 쿠폰,2021-06-10,https://class101.net/products/QKw8hXqf50TCyrdEsp2R
0,"[🏆BEST특가] 한 줄 한 줄이 주는 포근한 떨림, 작은 악기 우쿨렐레",악기,우쿨렐레,초급자,20주 수강 가능,11,58,바로 수강 가능,True,아조이별,https://www.youtube.com/Ajoylive,307,100%,56개의 글,1961,98,평균 하루 이내 응답,"1,807개의 피드백 더보기","369,000원","-150,300원","-50,000원","168,700원",5개월 할부,54%,"월 33,740원",5만원 쿠폰,2021-06-10,https://class101.net/products/2IrFfpyxjEi3m9DIVCqP
0,"[클래스문방구] 만화주제곡부터 영화OST까지, 아야금과 함께하는 25현 가야금",악기,25현 가야금 입문,입문자,20주 수강 가능,9,46,바로 수강 가능,True,아야금 AYAGEUM,"https://www.youtube.com/channel/UCg622HxfWD3Q71WSt6x0gyg/videos?view=0&sort=dd&shelf_id=1, https://www.instagram.com/__clloe, http://bj.afreecatv.com/sad5354",30,97%,49개의 글,1591,,,,"310,000원","-135,500원","-40,000원","134,500원",5개월 할부,56%,"월 26,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/rD1pkKbP7tACEdpwPEWX
0,"[🔥상반기 총결산] 기타를 전혀 모르는 왕초보도 기타를 연주할 수 있게 되는 ""해성쌤의 베이직 통기타 수업""",악기,통기타,입문자,20주 수강 가능,9,42,바로 수강 가능,True,해성쌤,"https://www.youtube.com/channel/UCRAgpUqiwVCMjOk5ZFssYgg, https://www.instagram.com/bassjeong, https://www.facebook.com/bassjeong",30,100%,22개의 글,1419,100,평균 3시간 이내 응답,470개의 피드백 더보기,"369,000원","-142,200원","-50,000원","176,800원",5개월 할부,52%,"월 35,360원",5만원 쿠폰,2021-06-10,https://class101.net/products/5IVAebanGfPmrhqhdXDq
0,[클래스문방구] 누구나 쉽게 시작할 수 있어요! 바이올린과 친구되기,악기,바이올린 연주,입문자,20주 수강 가능,10,51,바로 수강 가능,True,서울스트링아카데미,,47,100%,35개의 글,1060,,,,"309,000원","-79,672원","-40,000원","189,328원",5개월 할부,38%,"월 37,865원",3만원 쿠폰,2021-06-10,https://class101.net/products/4T5mEGyKw5Add0oDUHw9
