,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[🏆BEST특가] 피크닉을 부르는 홈 샌드위치, 전문점의 비법을 가득 담아요!",양식,건강한 전문점 샌드위치,초급자,20주 수강 가능,10,35,바로 수강 가능,True,파티플래너 메이랩,"https://www.instagram.com/may_wrap/, https://blog.naver.com/maywrap","1,138",96%,88개의 글,4066,,,,"340,000원","-71,200원","-50,000원","218,800원",5개월 할부,35%,"월 43,760원",5만원 쿠폰,2021-06-10,https://class101.net/products/yvDjDtP359DdbfPleIUf
0,[🔥상반기 총결산] 취미로 요리하는 남자의 취미로 하는 수비드 고기 요리,양식,수비드 요리,초급자,20주 수강 가능,10,46,바로 수강 가능,True,취미로 요리하는 남자,"http://www.yonam.co.kr/, https://www.instagram.com/yonamism, https://www.facebook.com/yonamism",744,99%,448개의 글,3999,,,,"419,400원","-147,430원","-50,000원","221,970원",5개월 할부,47%,"월 44,394원",5만원 쿠폰,2021-06-10,https://class101.net/products/4f7x5BrM4d5LRLCTliO1
0,"[🔥상반기 총결산] 미슐랭 요리사, 김밀란과 함께 하는 이탈리아 가정식 클래스",양식,이탈리아 가정식,초급자,20주 수강 가능,9,33,바로 수강 가능,True,김밀란,"http://www.youtube.com/c/Kimmilan, https://www.instagram.com/milan__kim/?hl=ko",459,99%,55개의 글,3034,,,,"309,000원","-59,500원","-50,000원","199,500원",5개월 할부,35%,"월 39,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/RUO08sqBEkoQRHEXVYq1
0,"[🔥상반기 총결산] 이탈리아 현지 미슐랭 요리사에게 배우는 파스타, 뇨끼, 리조또! 프리미 피아띠 정복하기",양식,"파스타, 리조또, 뇨끼",초급자,20주 수강 가능,10,46,바로 수강 가능,True,김밀란,"http://www.youtube.com/c/Kimmilan, https://www.instagram.com/milan__kim/?hl=ko",53,100%,2개의 글,1497,,,,"346,000원","-69,000원","-50,000원","227,000원",5개월 할부,34%,"월 45,400원",5만원 쿠폰,2021-06-10,https://class101.net/products/bzLQxWmgQwSyuLPVVSgT
0,[🔥상반기 총결산] 우리집도 브런치 맛집! 요리의 기초부터 빠르고 간단하게 [호주 Le Cordon Bleu],양식,홈 카페 브런치 요리,입문자,20주 수강 가능,8,24,바로 수강 가능,True,올띵스그린,"https://www.youtube.com/channel/UCqIAuvXS0BZVQYgWcpwGc8A, https://www.instagram.com/green_things_all/?hl=ko",49,94%,20개의 글,1429,,,,"279,000원","-69,500원","-50,000원","159,500원",5개월 할부,42%,"월 31,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/HAsBhyypaBqQ7DIj3SuK
0,,양식,홈 파티 요리,초급자,,,,,,박준우,https://www.instagram.com/seoul_1983,,,7개의 글,,,,,"719,000원","-419,400원","-40,000원","259,600원",12개월 할부,,"월 21,633원",3만원 쿠폰,2021-06-10,https://class101.net/products/GIve3dWMnrolTo7QYQNB
0,[101원] 낭만적인 캠핑을 위한 아메리칸 바비큐 레시피,양식,캠핑 바비큐,초급자,12주 수강 가능,6,10,바로 수강 가능,True,미국육류수출협회,"https://www.instagram.com/american_meat_story/, https://www.facebook.com/AmericanMeatStory/, https://americanmeat.co.kr/",109,98%,,1211,,,,500원,-399원,,,최종 금액,79%,101원,,2021-06-10,https://class101.net/products/bzNBYc7FzLkAW9fx3jSi
0,[클래스문방구] 샌드위치 맛집에서 알려주는 특별한 브런치 레시피,양식,샌드위치 만들기,초급자,20주 수강 가능,10,28,바로 수강 가능,False,코지리틀,"https://www.instagram.com/cafe_cozylittle/, https://blog.naver.com/cozylittle",,,8개의 글,1165,,,,"334,400원","-89,400원","-40,000원","205,000원",5개월 할부,38%,"월 41,000원",3만원 쿠폰,2021-06-10,https://class101.net/products/XBsb96PE7i3nuEdnfXei
0,[🔥상반기 총결산] 타파스부터 빠에야까지! 스페인 현지 요리사에게 배우는 오리지널 스페인 요리 레시피,양식,스페인요리,초급자,20주 수강 가능,11,45,바로 수강 가능,True,이상훈,https://instagram.com/spain_chefsang,56,100%,138개의 글,1018,,,,"309,000원","-49,500원","-50,000원","209,500원",5개월 할부,32%,"월 41,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/irdvyJmusnWg43D1wSu7
0,[🔥상반기 총결산] 셀럽들이 사랑하는 ‘에스프릿셰프’에게 배우는 홈다이닝 - 에피타이저부터 디저트까지,양식,양식요리,초급자,20주 수강 가능,17,63,바로 수강 가능,False,에스프릿셰프,"https://www.instagram.com/esprit.chef/, http://espritchefs.com/, https://www.instagram.com/chef.woosung/",,,20개의 글,856,,,,"357,300원","-114,900원","-50,000원","192,400원",5개월 할부,46%,"월 38,480원",5만원 쿠폰,2021-06-10,https://class101.net/products/wPV6lwdy6NQ66YoLNXdM
0,[클래스문방구] 타코부터 멕시코 가정식까지! 현지인 셰프에게 배우는 멕시칸 푸드,양식,멕시코 가정식,초급자,20주 수강 가능,10,37,바로 수강 가능,True,훌리안 멕시코 요리사,"http://instagram.com/juliantmercado, https://youtube.com/channel/UC4hYGez5Qn40KKmPLWhjraw, http://facebook.com/bmuchocantina",,,6개의 글,743,,,,"319,400원","-63,400원","-40,000원","216,000원",5개월 할부,32%,"월 43,200원",3만원 쿠폰,2021-06-10,https://class101.net/products/Ev03L2f3QJCE7PKeHbhF
0,[🔥상반기 총결산] 마음까지 푸근해지는 이탈리아 엄마들에게 배운 진짜 가정식 요리수업,양식,정통 이탈리아 집밥 요리,입문자,20주 수강 가능,8,30,바로 수강 가능,True,정해리,https://blog.naver.com/,,,19개의 글,483,,,,"299,000원","-67,900원","-50,000원","181,100원",5개월 할부,39%,"월 36,220원",5만원 쿠폰,2021-06-10,https://class101.net/products/ruW3ropvLqzUwRMdIfb3
0,[클래스문방구] [MINI] 홈 레스토랑 셰프는 바로 나! 누구나 완성하는 이탈리안 한 상,양식,요리의 기초,입문자,4주 수강 가능,3,11,바로 수강 가능,True,클래스101,,,,,447,,,,"89,000원","-29,100원","-40,000원",,최종 금액,77%,"19,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/pXXNfnJQ8fvuVLBmJJcR
0,[🔥상반기 총결산] 집에서 쉽게 만나는 프렌치 요리 - 셰프 류태환의 '퀴진 드 메종',양식,식재료와 요리법,초급자,20주 수강 가능,16,58,바로 수강 가능,True,셰프 류태환,"https://instagram.com/chef_ryutaehwan?igshid=qcrmq8g09t5j, https://instagram.com/ryunique_seoul?igshid=1jeeh20lecalr, https://www.youtube.com/channel/UCPVSIdt3D6rk1nBaGKFIpBw/featured, http://ryunique.co.kr/",,,5개의 글,411,,,,"313,700원","-73,700원","-50,000원","190,000원",5개월 할부,39%,"월 38,000원",5만원 쿠폰,2021-06-10,https://class101.net/products/bGGMXq2f3Jyudq4ocUFD
0,"[클래스문방구] 호주인들도 반한 리얼 브런치, 특별한 레시피 함께 배워봐요[Australia Brunch]",양식,호주식 브런치 요리,초급자,20주 수강 가능,9,29,바로 수강 가능,True,오번[Auburn],,,,5개의 글,325,,,,"313,900원","-64,400원","-40,000원","209,500원",5개월 할부,33%,"월 41,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/WlljS6Q3hnlov2FNNslJ
0,[클래스문방구] 내 손으로 직접 만드는 생면 파스타,양식,이탈리아 생면 파스타,초급자,20주 수강 가능,8,34,바로 수강 가능,True,accaH,http://instagram.com/accah_accah,20,100%,7개의 글,284,,,,"328,900원","-89,400원","-40,000원","199,500원",5개월 할부,39%,"월 39,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/taqtMlZyxR1iUT71Gwz7
0,로마엄마 실바나에게 배운 보통날의 이탈리아 요리,양식,이탈리아 가정 요리,초급자,20주 수강 가능,9,25,21.08.06 (금),True,Lilly(릴리),"https://www.instagram.com/p/COu6UHODgcn/?igshid=jirnhkp5pf3l, https://m.blog.naver.com/PostList.nhn?blogId=lillyblue",,,6개의 글,269,,,,"328,800원","-100,700원",,,5개월 할부,30%,"월 45,620원",,2021-06-10,https://class101.net/products/qILxNaH0W32PnHz11VC6
0,20년 강사가 알려주면 초보자도 할 수 있다! 양식조리기능사 자격증,양식,양식조리기능사 자격증 취득,초급자,20주 수강 가능,10,37,바로 수강 가능,True,SUGAR POPPING,,,,5개의 글,125,,,,"322,400원","-67,100원",,,5개월 할부,20%,"월 51,060원",,2021-06-10,https://class101.net/products/q9wFgMNXrR5JM9tyX6TB
0,[101원] 정육왕과 함께 버터 스테이크 집에서 즐기기,양식,스테이크 요리,초급자,12주 수강 가능,5,8,바로 수강 가능,True,미국육류수출협회,"https://www.instagram.com/american_meat_story/, https://www.facebook.com/AmericanMeatStory/, https://americanmeat.co.kr/",45,100%,,90,,,,500원,-399원,,,최종 금액,79%,101원,,2021-06-10,https://class101.net/products/V4Vjr810vWPY4JrEiDxE
0,"[꿀조합 할인🍯] 내 주방의 현지화, 이탈리아 요리 완전 정복!",양식,이탈리아 요리,초급자,1년 수강 가능,0,0,바로 수강 가능,False,클래스101,,,,,80,,,,"655,000원","-196,500원","-40,000원","418,500원",12개월 할부,36%,"월 34,875원",3만원 쿠폰,2021-06-10,https://class101.net/products/klV1dL8tjMwSrTe0Q7Dl
