,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🔥상반기 총결산] 220문장으로 토익부터 회화까지! 비즈니스 영어 완성,언어,비즈니스 영어,초급자,20주 수강 가능,11,31,바로 수강 가능,True,박세진,http://www.youtube.com/c/%EC%98%81%EC%96%B4%EB%8F%85%ED%95%99%EB%B0%94%EB%A1%9C%ED%95%98%EA%B8%B0,"3,349",99%,420개의 글,8731,,,,"207,400원","-70,600원","-40,000원","96,800원",5개월 할부,53%,"월 19,360원",3만원 쿠폰,2021-06-10,https://class101.net/products/vzITnUK9I5BC6J98OI06
0,[🔥상반기 총결산] 영어 원서 직접 번역하고 수입 만들기!,언어,출판번역,입문자,20주 수강 가능,8,31,바로 수강 가능,False,서메리(서유라),"https://www.instagram.com/seo_merry/, https://www.youtube.com/channel/UCMzHlUP_0N1AQvt1FO2x1Ig?view_as=subscriber",621,99%,68개의 글,5511,,,,"279,000원","-40,000원","-50,000원","189,000원",5개월 할부,32%,"월 37,800원",5만원 쿠폰,2021-06-10,https://class101.net/products/UMAgzvWg1Yy1DJFfYPs4
0,"[🔥상반기 총결산] 유학 없이도 유창한 영어 회화, 나 혼자서 100% 말이 트이는 영어 독학법",언어,유학 없는 영어 독학법,초급자,20주 수강 가능,7,32,바로 수강 가능,True,근영쌤,,319,96%,48개의 글,4143,,,,"220,000원","-36,300원","-50,000원","133,700원",5개월 할부,39%,"월 26,740원",5만원 쿠폰,2021-06-10,https://class101.net/products/LZAZUXDzMoShLGBX6BAP
0,,언어,"영상번역, 영화번역",초급자,,,,,,영화번역가 황석희,"https://www.instagram.com/drug_sub/, https://facebook.com/drugsub.net",,,10개의 글,,,,,"359,000원","-60,000원","-50,000원","249,000원",12개월 할부,,"월 20,750원",5만원 쿠폰,2021-06-10,https://class101.net/products/46XGCJBSgZ9kkLVfnxXg
0,[클래스문방구] 아무것도 몰라도 배울 수 있는 스페인어,언어,스페인어,입문자,20주 수강 가능,9,25,바로 수강 가능,True,Daniel,"https://www.instagram.com/spanish_korean0/, https://youtu.be/eLAWruYo6so",61,98%,13개의 글,2135,,,,"259,000원","-84,500원","-40,000원","134,500원",5개월 할부,48%,"월 26,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/Ozq7WAVczXrc4dskTqSP
0,"[🔥상반기 총결산] 8천 명을 만족시킨 손성은 공부법, 쉐도잉으로 정복하는 영어 회화",언어,독학 영어 회화 공부법,입문자,20주 수강 가능,9,33,바로 수강 가능,True,손성은,https://www.instagram.com/song.sohn,237,99%,23개의 글,1837,,,,"209,000원","-30,300원","-50,000원","128,700원",5개월 할부,38%,"월 25,740원",5만원 쿠폰,2021-06-10,https://class101.net/products/JyhcR2opa0d8kwH9B60E
0,[클래스문방구] 대한민국 대표 통역사가 알려주는 통역 ‧ 번역 101,언어,통역 번역 입문,입문자,20주 수강 가능,9,34,바로 수강 가능,True,최통,"https://www.instagram.com/_crystalchoi_, https://www.youtube.com/c/suvutv",160,95%,20개의 글,1434,,,,"432,300원","-105,200원","-40,000원","287,100원",5개월 할부,33%,"월 57,420원",3만원 쿠폰,2021-06-10,https://class101.net/products/5l7NBhgZc8f31346BXfd
0,[클래스문방구] 영어는 못하지만 원서는 읽고 싶어 <동물농장> 편 완강하면 완독!,언어,영어원서 소설 읽기,초급자,20주 수강 가능,6,39,바로 수강 가능,False,토리코나,"https://www.youtube.com/channel/UCOfAncK1OSxHWwjfaAtklPA/, https://www.youtube.com/channel/UCKXkUPLWwjd21safiVdf2pQ/",46,100%,9개의 글,1400,,,,"149,000원","-10,300원","-40,000원","98,700원",5개월 할부,33%,"월 19,740원",3만원 쿠폰,2021-06-10,https://class101.net/products/xVYqd2NYQ5KIfx3Hyh0y
0,"[🔥상반기 총결산] 하루 10분 스페인어, 5개 국어 마스터 손미나의 스페인어 입문",언어,스페인어 입문,입문자,20주 수강 가능,9,41,바로 수강 가능,True,손미나,"https://www.youtube.com/channel/UCgpXhc6CbkFmcLK_S4nu_kw, https://www.instagram.com/minaminita1202, https://www.facebook.com/minaminita1202/",191,98%,5개의 글,1277,,,,"258,400원","-40,300원","-50,000원","168,100원",5개월 할부,34%,"월 33,620원",5만원 쿠폰,2021-06-10,https://class101.net/products/Y03u39WRBKEh2gUBU2vR
0,[🔥상반기 총결산] 실제 네이티브의 이야기로 배우는 일본어 초/중급 회화,언어,일본어,초급자,20주 수강 가능,9,31,바로 수강 가능,True,maru 마루,"https://www.instagram.com/nnarunouchi, https://youtube.com/c/marunouchii",106,100%,33개의 글,1154,,,,"179,000원","-20,000원","-40,000원","119,000원",5개월 할부,33%,"월 23,800원",4만원 쿠폰,2021-06-10,https://class101.net/products/zO9il2OyxZGRDTi2uzrK
0,"[🔥상반기 총결산] 딱 3개월 만에 영어 프리토킹! 딱 이만큼 영어회화, 딱영어",언어,(비즈니스) 영어 회화,초급자,20주 수강 가능,13,51,바로 수강 가능,False,딱영어 김영익 소장,"https://www.instagram.com/iki0711012/, https://www.youtube.com/channel/UC2rG5bQruHoH171QiAnhvLg?view_as=subscriber, https://www.facebook.com/ddacenglish/",23,91%,14개의 글,1112,,,,"370,400원","-54,600원","-40,000원","275,800원",5개월 할부,25%,"월 55,160원",3만원 쿠폰,2021-06-10,https://class101.net/products/wPihZnLR9QXWvlkqUdES
0,[클래스문방구] 처음이어도 좋아. 내 방 침대에 누워 영국 놀러가기,언어,영국영어,입문자,20주 수강 가능,12,35,바로 수강 가능,True,코리안빌리,"https://www.youtube.com/user/aoao35044, https://www.instagram.com/KoreanBilly/",67,93%,2개의 글,1061,,,,"159,250원","-49,500원","-40,000원","69,750원",5개월 할부,56%,"월 13,950원",3만원 쿠폰,2021-06-10,https://class101.net/products/koreanbilly
0,[클래스문방구] 단기간에 1개국어 추가하는 치트키 중국어 [왕초보에서 중급까지],언어,중국어 회화,초급자,20주 수강 가능,15,72,바로 수강 가능,True,홍차는홍차,https://instagram.com/hongchahongchacha,42,100%,38개의 글,997,102,평균 하루 이내 응답,552개의 피드백 더보기,"259,000원","-69,500원","-40,000원","149,500원",5개월 할부,42%,"월 29,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/0rClhrw0ljNFZMwycbJ6
0,[🔥상반기 총결산] 원어민이 가장 많이 쓰는 1000개 단어&핵심 패턴으로 네이티브 영어 회화 입문,언어,영어회화,입문자,20주 수강 가능,9,36,바로 수강 가능,True,스테파니쌤,"https://www.instagram.com/step__honey/, https://www.youtube.com/user/stepHoneyjung",48,100%,,946,98,평균 7일 이내 응답,234개의 피드백 더보기,"260,000원","-81,000원","-50,000원","129,000원",5개월 할부,50%,"월 25,800원",5만원 쿠폰,2021-06-10,https://class101.net/products/OWXndRN1fzytZU5fGAGN
0,[클래스문방구] 협상과 계약을 위한 고급 영어! Classy한 법률 영어 클래스,언어,법률영어 (Legal English),중급자,20주 수강 가능,5,21,바로 수강 가능,True,정다혜 Chloe,https://www.instagram.com/dahaechloe/,122,96%,10개의 글,937,,,,"277,600원","-83,600원","-40,000원","154,000원",5개월 할부,44%,"월 30,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/FbJgy1404m03mKgf4L1j
0,"[클래스문방구] 번역가의 번역가, 17년차 번역가가 알려주는 출판 번역",언어,출판번역가 양성 클래스입니다,초급자,20주 수강 가능,9,27,바로 수강 가능,False,번역쟁이,https://www.facebook.com/zombiepoppy/,34,100%,6개의 글,884,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",3만원 쿠폰,2021-06-10,https://class101.net/products/uaX5abXZPoDB1u3iSgQ8
0,[클래스문방구] 영어는 자연스럽게 스며드는 거야! 마음으로 이해하는 영어 회화,언어,영화로 시작하는 영어 회화,초급자,20주 수강 가능,7,41,바로 수강 가능,True,Namingle 나밍글,"https://instagram.com/namienglish?igshid=firaz86mh7br, https://m.blog.naver.com/milk7919/221626302916",,,14개의 글,849,,,,"250,000원","-50,400원","-40,000원","159,600원",5개월 할부,36%,"월 31,920원",3만원 쿠폰,2021-06-10,https://class101.net/products/oh5gWRd0tvp65OaQ9rpT
0,[🔥상반기 총결산] 통번역대학원 가지 않고 시작하는 중국어 번역 입문,언어,중국어 번역,입문자,20주 수강 가능,8,31,바로 수강 가능,False,제인,"https://www.youtube.com/watch?v=XCsn16JqLl0&t=6s, https://www.instagram.com/eunjin.jane/",30,97%,8개의 글,636,,,,"209,000원","-40,000원","-40,000원","129,000원",5개월 할부,38%,"월 25,800원",4만원 쿠폰,2021-06-10,https://class101.net/products/tKJPgW4YjTBCAMKjkt49
0,"[🔥상반기 총결산] [PDF 교재 증정] 200문장 끝! 왕초보 일본어 회화, 비즈니스까지 접수",언어,일본어,입문자,20주 수강 가능,9,34,바로 수강 가능,True,와카메센세,"https://youtube.com/c/%EC%99%80%EC%B9%B4%EB%A9%94%EC%84%BC%EC%84%B8, https://blog.naver.com/qeqwe7, https://www.instagram.com/wakame_sensei/",75,100%,52개의 글,620,100,평균 6시간 이내 응답,575개의 피드백 더보기,"199,000원","-50,000원","149,000원",,5개월 할부,25%,"월 29,800원",5만원 쿠폰,2021-06-10,https://class101.net/products/UCr4cydxaCZxKCyO28Qt
0,[클래스문방구] 왕초보를 위한 실생활 수어 회화로 시작하세요,언어,수어(수화)교육,입문자,20주 수강 가능,8,26,바로 수강 가능,True,손사탕,https://youtube.com/channel/UCI68T6SIDgq5Jems_IV8b8g,,,19개의 글,594,91,평균 하루 이내 응답,59개의 피드백 더보기,"199,000원","-40,000원","-30,000원","129,000원",5개월 할부,35%,"월 25,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/Czdwjw1EDFgTwER7ZHBa
0,"[프랑스어 입문] 루이비통과 샤넬 대신, 내면의 가치를 높여줄 품격있는 고급 취미",언어,"프랑스어, 프랑스어 입문",초급자,20주 수강 가능,8,29,21.06.17 (목),True,프랑스어는 김서현,"https://www.instagram.com/french_selena_ssam/, https://www.instagram.com/french_frinnie/, https://www.youtube.com/channel/UCFMwrWpT2tAKluTCPlaqEWg",,,15개의 글,583,,,,"289,000원","-70,000원","-20,000원","199,000원",5개월 할부,31%,"월 39,800원",,2021-06-10,https://class101.net/products/7Hnh8pFKU7FTgZBIEJOu
0,[🔥상반기 총결산] [특별 제작 워크북 제공] 영원히 영어 고민 없이 사는 비밀! 영어습관 만들기,언어,영어회화,초급자,20주 수강 가능,9,27,바로 수강 가능,True,래미,"https://cafe.naver.com/bananaisnana, http://blog.naver.com/bananaisnana, https://www.youtube.com/lemiparkhere, https://www.instagram.com/lemi_nglish",,,42개의 글,556,,,,"229,000원","-30,000원","-50,000원","149,000원",5개월 할부,34%,"월 29,800원",5만원 쿠폰,2021-06-10,https://class101.net/products/JN0Qqz9FD79xZ1M4SNnU
0,[클래스문방구] 하루에 딱 10문장 씩 - 작문부터 비즈니스 영어까지!,언어,비즈니스 영어,초급자,20주 수강 가능,9,28,바로 수강 가능,True,이영시 Summer,"https://www.youtube.com/c/startenglishnownet, https://www.instagram.com/summer_startenglishnow/, https://facebook.com/startenglishnow",56,100%,1개의 글,542,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",3만원 쿠폰,2021-06-10,https://class101.net/products/cZ1bfvEZyjMj3CZVTzpf
0,번역가 해밀과 함께하는 일본어 출판 번역,언어,일본어 출판 번역,중급자,20주 수강 가능,8,26,21.07.14 (수),True,번역가 해밀,"https://www.youtube.com/channel/UCRXIUHWzgGg_id951iLUaEg, https://instagram.com/translator_jiyoon, http://blog.naver.com/yeyejapan",,,18개의 글,480,,,,"279,000원","-60,000원","-40,000원","179,000원",5개월 할부,35%,"월 35,800원",,2021-06-10,https://class101.net/products/qq02eRQdXeKaqkv0Qga4
0,[클래스문방구] 내 아이 영어는 내가 책임진다. 소중한 자녀를 위한 육아 영어!,언어,내 아이를 위한 특별한 육아영어 교수법,입문자,20주 수강 가능,6,34,바로 수강 가능,True,리드해라,"https://www.instagram.com/kesa_leader, https://cafe.naver.com/sunggonghae",80,96%,4개의 글,456,,,,"209,000원","-40,000원","-40,000원","129,000원",5개월 할부,38%,"월 25,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/lLJQ4h0jqngu2bOAud4K
0,[🔥상반기 총결산] 뉴스로 영어를 배운다! 박앵커의 시사 영어 101,언어,뉴스로 배우는 고급 시사 영어,중급자,20주 수강 가능,9,37,바로 수강 가능,True,박앵커,"https://www.youtube.com/channel/UCF3oOiNKRyQCTuqZJanx2JA?view_as=subscriber, https://audioclip.naver.com/channels/6090, https://www.instagram.com/parkanchor1/",30,100%,9개의 글,461,,,,"259,000원","-40,000원","-50,000원","169,000원",5개월 할부,34%,"월 33,800원",5만원 쿠폰,2021-06-10,https://class101.net/products/1K0BJoABe48TwjGwLiIJ
0,"단, 6시간 회화 능력치 3배 끌어올리는 법",언어,영어 자존감 회복,초급자,20주 수강 가능,8,30,21.06.23 (수),True,소피영작소,"https://www.youtube.com/channel/UCD3yVSbtJ-MdupGuPk72H3A, https://www.instagram.com/sophraser/",,,8개의 글,424,,,,"209,000원","-40,000원","-30,000원","139,000원",5개월 할부,33%,"월 27,800원",,2021-06-10,https://class101.net/products/a3BDG6dKFAFr7Yzv8nyr
0,[클래스문방구] 외국인 환자와 대화가 쉬워지는 실무 의료 영어회화,언어,의료 영어회화,초급자,20주 수강 가능,9,32,바로 수강 가능,True,Sandra,"https://youtube.com/channel/UC5a46tlRzWNqbvah79qcj8Q, https://www.instagram.com/sandratube.official/",42,100%,18개의 글,408,96,평균 하루 이내 응답,165개의 피드백 더보기,"249,000원","-50,000원","-30,000원","169,000원",5개월 할부,32%,"월 33,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/UZP6dzuo8mmsqGtRkXxO
0,[101원] 서메리와 갤럭시 탭 S7ㅣS7+로 영어 원서 읽고 영단어 완전 정복하기,언어,영어 스터디,입문자,12주 수강 가능,2,7,바로 수강 가능,False,SAMSUNG,,,,,379,,,,500원,-399원,,,최종 금액,79%,101원,,2021-06-10,https://class101.net/products/dEBtmcVZqa02bK65UVyS
0,20년 경력자가 알려주는 미드 번역으로 배우는 영상 번역 실무,언어,"미드 번역, 영상번역",초급자,20주 수강 가능,8,32,21.07.28 (수),True,영화번역가 함혜숙,"https://www.instagram.com/ham_hyesuk/, https://www.youtube.com/channel/UCeE3VUCbysuJfjdQgzXHQ-g, https://blog.naver.com/hamsuk77",,,11개의 글,366,,,,"361,000원","-116,000원","-20,000원","225,000원",5개월 할부,37%,"월 45,000원",,2021-06-10,https://class101.net/products/SeanMcCtzrzt7CKQjAyB
0,"번역가 차라와 함께, 중국어 감성 번역 직접 해보기",언어,중국어 번역,초급자,20주 수강 가능,9,27,21.07.14 (수),True,차라,"https://instagram.com/twinksoe, https://blog.naver.com/twinksoe",,,12개의 글,339,,,,"279,000원","-60,000원","-40,000원","179,000원",5개월 할부,35%,"월 35,800원",,2021-06-10,https://class101.net/products/hvUCnQz1FeeJ6nSfZoOA
