,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[클래스문방구] 일상 유튜버 슛뚜의 감성을 그대로. 영화같은 브이로그 제작법,영상,영상제작,입문자,20주 수강 가능,10,35,바로 수강 가능,True,슛뚜,"https://m.youtube.com/c/sueddu, https://instagram.com/sueddu","1,138",94%,232개의 글,17872,,,,"369,000원","-134,500원","-40,000원","194,500원",5개월 할부,47%,"월 38,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/gPjiSJfMSI6EN6C49vji
0,[🏆BEST특가] 한 편의 뮤직비디오 같은 안대훈의 여행 영상 제작법,영상,영상 제작,초급자,20주 수강 가능,10,28,바로 수강 가능,True,안대훈,https://instagram.com/no_hooni,492,97%,211개의 글,9408,,,,"239,000원","-24,100원","-50,000원","164,900원",5개월 할부,31%,"월 32,980원",5만원 쿠폰,2021-06-10,https://class101.net/products/g9VgKuoVdv2cOpQ65ffY
0,[💖인기검색] 에디터 기은과 함께 브이로그로 시작하는 영상편집,영상,프리미어 프로 기초영상편집,입문자,20주 수강 가능,10,23,바로 수강 가능,True,에디터 기은,"https://www.instagram.com/editor_gieun/, https://www.youtube.com/c/editorgieun, https://twitter.com/editor_gieun",538,92%,140개의 글,9205,,,,"259,000원","-84,500원","-50,000원","124,500원",5개월 할부,51%,"월 24,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/9IzYm5VTMrBfctjYWXU8
0,[클래스문방구] 순간을 기록하는 새로운 방법. 영상 제작의 A to Z,영상,영상 편집,입문자,20주 수강 가능,9,31,바로 수강 가능,True,김메주,,327,92%,11개의 글,6611,,,,"309,250원","-99,500원","-40,000원","169,750원",5개월 할부,45%,"월 33,950원",3만원 쿠폰,2021-06-10,https://class101.net/products/kimmejoo
0,"[🔥상반기 총결산] 감성 스타일리스트가 알려주는 영상 촬영, 연출, 그리고 편집",영상,"영상 촬영, 스타일링, 그리고 편집",입문자,20주 수강 가능,10,45,바로 수강 가능,True,디어무이,"https://www.instagram.com/dearmooee/, https://www.youtube.com/channel/UCD3bj5Ov-Hvyxw7o1jSnr6Q",798,97%,86개의 글,6063,93,평균 3일 이내 응답,"2,539개의 피드백 더보기","309,000원","-69,500원","-50,000원","189,500원",5개월 할부,38%,"월 37,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/KSsPGW9m9IxJ0kk231zp
0,"[클래스문방구] 아날로그 감성, 영화 퀄리티로 완성하는 브이로그와 뮤비 제작",영상,영상 컨텐츠 제작,초급자,20주 수강 가능,14,41,바로 수강 가능,True,23iii,https://instagram.com/_23iii_,272,95%,90개의 글,5681,98,,743개의 피드백 더보기,"309,000원","-99,500원","-40,000원","169,500원",5개월 할부,45%,"월 33,900원",10만원 쿠폰,2021-06-10,https://class101.net/products/VCgFENneJ7RgkELnBnlv
0,"[MINI] 핸드폰으로 만드는 영상, 소중한 시간의 기록",영상,영상 제작,입문자,12주 수강 가능,2,8,바로 수강 가능,True,슛뚜,"https://m.youtube.com/c/sueddu, https://instagram.com/sueddu",724,95%,,5526,,,,"99,000원","-30,300원",,,3개월 할부,30%,"월 22,900원",,2021-06-10,https://class101.net/products/O2asKF8nf1ioggNtAAI0
0,[클래스문방구] 여행을 영화처럼 기록하는 이퀄리의 영상 제작법,영상,"영상기획, 촬영, 편집",초급자,20주 수강 가능,9,26,바로 수강 가능,True,이퀄리,"https://www.instagram.com/ikkually/, https://www.youtube.com/channel/UCuTIavNuHrsso3sZBFs39fQ",80,98%,19개의 글,5102,,,,"369,000원","-144,600원","-40,000원","184,400원",5개월 할부,50%,"월 36,880원",3만원 쿠폰,2021-06-10,https://class101.net/products/1bdaTqNQzKtTM0XbV8h3
0,[🏆BEST특가] 금손남친 경식스가 알려주는 스마트폰 하나로 영상 만들기,영상,스마트폰 촬영 및 편집,초급자,20주 수강 가능,11,36,바로 수강 가능,True,kyung6film,"https://www.youtube.com/kyung6film, http://instagram.com/kyung6film",707,97%,262개의 글,4380,,,,"309,000원","-69,500원","-50,000원","189,500원",5개월 할부,38%,"월 37,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/ZRiazWXyvpkNodI7CuZg
0,[클래스문방구] 현직 뮤비 감독에게 배우는 감각적인 영상 제작법,영상,영상,입문자,20주 수강 가능,11,38,바로 수강 가능,True,이재웅,https://www.instagram.com/official.fixit,197,95%,107개의 글,3251,,,,"301,100원","-102,600원","-40,000원","158,500원",5개월 할부,47%,"월 31,700원",3만원 쿠폰,2021-06-10,https://class101.net/products/KTBt7HdSIC2e8m5LUC6U
