,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL,finalPrice
0,"[🏆BEST특가] 선과 여백의 작가 성립, 묵직한 질감과 선명한 색감의 오일파스텔",oilPastel,오일파스텔 드로잉,입문자,20주 수강 가능,10,34,바로 수강 가능,True,성립,"https://instagram.com/seonglib, https://www.youtube.com/user/TheMaster9104/featured, https://www.seonglib.com/","1,966",97%,83개의 글,10021,,,,"321,632원","-112,132원","-60,000원",5개월 할부,53%,"월 29,900원",6만원 쿠폰,2021-06-09,https://class101.net/products/DchTBy8Vh1PnqojOTRB2,"149,500원"
0,[🏆BEST특가] 다양한 색으로 과감하게 그려보는 콰야의 오일파스텔 드로잉,oilPastel,오일파스텔,초급자,20주 수강 가능,10,30,바로 수강 가능,True,콰야 Qwaya,"https://instagram.com/Qwaya_, https://www.youtube.com/c/Qwayaa, https://blog.naver.com/scottwon1",755,95%,125개의 글,8834,,,,"350,300원","-115,800원","-50,000원",5개월 할부,47%,"월 36,900원",5만원 쿠폰,2021-06-09,https://class101.net/products/T261fV71ZY9Yx9fXYNvt,"184,500원"
0,[🏆BEST특가] 유튜버 골드손과 함께 오일파스텔로 그리는 오늘의 한 장면,oilPastel,오일파스텔 풍경화,초급자,20주 수강 가능,10,27,바로 수강 가능,True,골드손,http://www.youtube.com/c/%EA%B3%A8%EB%93%9C%EC%86%90Goldson,442,99%,63개의 글,4744,99,평균 하루 이내 응답,"2,393개의 피드백 더보기","387,000원","-102,520원","-80,000원",5개월 할부,47%,"월 40,896원",8만원 쿠폰,2021-06-09,https://class101.net/products/XI5Nks9MAzpA3Pqs5ijx,"204,480원"
0,"[🏆BEST특가] 따듯한 여행을 그리다, 아일렛솔의 오일파스텔 여행드로잉",oilPastel,오일파스텔 드로잉,초급자,20주 수강 가능,9,34,바로 수강 가능,True,아일렛솔,http://www.instagram.com/isletsol,539,97%,74개의 글,4574,,,,"453,700원","-159,200원","-50,000원",5개월 할부,46%,"월 48,900원",5만원 쿠폰,2021-06-09,https://class101.net/products/RrC3f9tCG1xR74bvgTk7,"244,500원"
0,[🔥상반기 총결산] 오일파스텔로 내 사진첩 속 추억을 특별하게 기록해요,oilPastel,오일파스텔,입문자,20주 수강 가능,12,39,바로 수강 가능,True,보니룸,http://www.instagram.com/boniroom,307,98%,60개의 글,4458,98,평균 7일 이내 응답,"2,869개의 피드백 더보기","326,000원","-80,100원","-50,000원",5개월 할부,39%,"월 39,180원",5만원 쿠폰,2021-06-09,https://class101.net/products/XkxVaHLks3tnEKzFN5sJ,"195,900원"
0,"[클래스문방구] 스쳐가는 바람과 햇살을 담아, 부드럽게 그려보는 오일파스텔 풍경화",oilPastel,오일파스텔 풍경화,입문자,20주 수강 가능,11,44,바로 수강 가능,False,고센,"https://instagram.com/goshen_illust, https://www.youtube.com/channel/UCeXlvwAZbJKd92TRknaZ8Lg",143,98%,38개의 글,2715,98,평균 3일 이내 응답,"1,965개의 피드백 더보기","370,000원","-87,300원","-40,000원",5개월 할부,34%,"월 48,540원",3만원 쿠폰,2021-06-09,https://class101.net/products/SuRY3jkWhHoOW4GHu6NQ,"242,700원"
0,[클래스문방구] 다채로운 빛이 가득한 오일파스텔 풍경화 일러스트,oilPastel,풍경화 그리기,입문자,20주 수강 가능,10,34,바로 수강 가능,True,크레용토끼,"https://instagram.com/crayon.rabbit, https://www.youtube.com/channel/UCpnL9KZVH9agvrmcNI4oaWw",135,97%,15개의 글,2470,99,평균 3일 이내 응답,"1,450개의 피드백 더보기","367,500원","-138,000원","-40,000원",5개월 할부,48%,"월 37,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/uBTMUeVc8dE0wgTsKvr6,"189,500원"
0,[클래스문방구] 알록달록 오일파스텔로 나만의 색감을 찾아보는 시간,oilPastel,알록달록 오일파스텔,입문자,20주 수강 가능,8,26,바로 수강 가능,True,Ohj paint 오혁진,http://instagram.com/ohj_paint,59,86%,8개의 글,1396,,,,"369,000원","-150,300원","-40,000원",5개월 할부,51%,"월 35,740원",3만원 쿠폰,2021-06-09,https://class101.net/products/3P1FtYxkAci7WJDQ2NGM,"178,700원"
0,"[클래스문방구] 어릴 적 크레파스의 기억을 되돌리다, 오일파스텔 드로잉",oilPastel,오일파스텔,입문자,16주 수강 가능,9,31,바로 수강 가능,True,지희몬,https://instagram.com/jhmon,109,89%,3개의 글,1381,,,,"338,800원","-114,400원","-40,000원",4개월 할부,45%,"월 46,100원",3만원 쿠폰,2021-06-09,https://class101.net/products/jhmon_art,"184,400원"
0,"[클래스문방구] 오일파스텔로 그리는 칠판그림감성, 디자인마노의 초크아트 클래스",oilPastel,초크아트,입문자,20주 수강 가능,10,34,바로 수강 가능,True,디자인마노,https://instagram.com/design.mano,125,97%,6개의 글,1214,,,,"427,582원","-128,082원","-40,000원",5개월 할부,39%,"월 51,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/jtn6yJsHwmMA75V94d39,"259,500원"
0,"[클래스문방구] 그 시간의 온도를 그려요, 분위기 있는 오일파스텔 드로잉",oilPastel,오일파스텔,입문자,20주 수강 가능,9,35,바로 수강 가능,True,편한드로잉,https://www.instagram.com/easydrawing__/,27,100%,29개의 글,1197,98,평균 3일 이내 응답,373개의 피드백 더보기,"341,800원","-82,700원","-40,000원",5개월 할부,35%,"월 43,820원",3만원 쿠폰,2021-06-09,https://class101.net/products/aJyArogyYP4OfgkpvAYS,"219,100원"
0,"[🏆BEST특가] 오프라인 전타임마감 유리쌤의 입문자를 위한 오일파스텔, 풍경부터 인물까지!",oilPastel,오일파스텔로 풍경부터 인물까지 마스터하는,입문자,20주 수강 가능,8,23,바로 수강 가능,True,유리쌤,https://www.instagram.com/yurissam/,39,92%,26개의 글,1097,,,,"353,800원","-49,300원","-90,000원",5개월 할부,39%,"월 42,900원",9만원 쿠폰,2021-06-09,https://class101.net/products/dDgztuiXG0SfCbqtHNok,"214,500원"
0,[꿀조합 할인🍯] 오일파스텔 BEST 기초부터 다양한 색감 까지,oilPastel,꿀조합,입문자,1년 수강 가능,0,0,바로 수강 가능,True,클래스101,,,,,1056,,,,"478,000원","-135,850원","-40,000원",12개월 할부,36%,"월 25,179원",3만원 쿠폰,2021-06-09,https://class101.net/products/Ak0MJfWUbXoxVFJHgMSr,"302,150원"
0,"[🎁준비물무료] 꽃과 식물이 가득, 오일파스텔로 따스한 분위기를 담은 정원을 그려요",oilPastel,오일파스텔,초급자,20주 수강 가능,11,34,바로 수강 가능,True,NIA,"https://www.instagram.com/__n.i.a/, https://www.youtube.com/channel/UCoB1aIpSuOLsLcfR0G5YLSQ",,,17개의 글,784,100,평균 하루 이내 응답,167개의 피드백 더보기,"368,800원","-92,700원","-59,800원",5개월 할부,41%,"월 43,260원",준비물0원,2021-06-09,https://class101.net/products/ZXLwit0rwkzOHL46MPKB,"216,300원"
0,"[클래스문방구] 맛있는 그림 초크아트, 오일파스텔로 생동감 있게 그리기",oilPastel,초크아트,초급자,20주 수강 가능,10,46,바로 수강 가능,True,카페속의미술관,"https://artincafe.com/, https://instagram.com/kangsan504",41,100%,21개의 글,776,99,평균 하루 이내 응답,452개의 피드백 더보기,"420,100원","-95,600원","-40,000원",5개월 할부,32%,"월 56,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/olEUEwEjBJZWQa5xQTjw,"284,500원"
0,"오일파스텔로 다양한 테마들을, 드로잉의 원리부터 배우고 그려요",oilPastel,오일파스텔 드로잉,입문자,20주 수강 가능,12,46,21.07.06 (화),False,케일리,"https://instagram.com/kaylee_palette, https://youtube.com/channel/UCN-bqzLOO6cQNIm2aVJVj_A",,,26개의 글,438,,,,"370,400원","-130,900원","-40,000원",5개월 할부,46%,"월 39,900원",,2021-06-09,https://class101.net/products/F3YD1vXpWeM22VLdrmxp,"199,500원"
0,[101원] 오일파스텔로 그리는 든든한 오뚜기 컵밥 페이퍼 콜라주,oilPastel,오일파스텔 콜라주,입문자,12주 수강 가능,5,12,바로 수강 가능,True,오뚜기,"https://www.instagram.com/ottogi_daily/, https://www.facebook.com/Ottogitoday/, https://blog.naver.com/ottogitoday1",46,96%,,421,,,,500원,-399원,,최종 금액,79%,101원,,2021-06-09,https://class101.net/products/82ztVQjVVHqj6foQ7VXN,
0,"크레용으로 담아내는 색과 흐름, 수연한 크레용 인물화",oilPastel,크레용 인물화,초급자,20주 수강 가능,9,32,21.07.16 (금),True,수연한,https://www.instagram.com/suyeonhannn/,,,14개의 글,392,,,,"429,400원","-144,900원","-40,000원",5개월 할부,43%,"월 48,900원",,2021-06-09,https://class101.net/products/iUlbaQ0cxE1p7UpsUJTZ,"244,500원"
