,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🔥상반기 총결산] 홈트계의 끝판왕 '힙으뜸',운동,"홈트, 필라테스, 헬스",초급자,20주 수강 가능,12,52,바로 수강 가능,False,심으뜸,"https://www.instagram.com/euddeume_/, https://www.youtube.com/channel/UC4yq3FWEWqMvFNFBsV3gbKQ","1,946",98%,147개의 글,8729,,,,"369,000원","-75,000원","-50,000원","244,000원",5개월 할부,33%,"월 48,800원",5만원 쿠폰,2021-06-10,https://class101.net/products/4SWvrLYozwbAyHBvjfhe
0,[🎁준비물무료] 운동 효과가 눈으로 증명되는 제이제이의 고강도 홈트레이닝,운동,홈트레이닝,초급자,20주 수강 가능,12,64,바로 수강 가능,True,제이제이살롱드핏,"https://www.instagram.com/jjeuneu/, https://www.youtube.com/channel/UCUsfRCHj5U1wAJEJiQpPLPw, https://blog.naver.com/jjeuneu","1,396",94%,153개의 글,7500,,,,"370,250원","-96,057원","-68,500원","205,693원",5개월 할부,44%,"월 41,138원",준비물0원,2021-06-10,https://class101.net/products/G6cVpi6ydB81rm1P412K
0,[💣24시간] SNPE 바디리셋 프로젝트. 척추운동으로 밸런스 회복하기!,운동,"체형 밸런스 회복 , 통증 체크",초급자,20주 수강 가능,9,47,바로 수강 가능,True,SNPE,"http://www.youtube.com/c/snpelife, http://www.instagram.com/snpe_korea, http://www.instagram.com/snpe_jiyoo, http://www.instagram.com/jdy_np, http://www.instagram.com/snpe_hee, http://www.instagram.com/iluvsnpe, http://www.instagram.com/porori_snpe, http://www.instagram.com/only1bella_snpe, http://www.instagram.com/eo_ne__, http://www.instagram.com/eun_k815","1,399",98%,304개의 글,7414,,,,"309,000원","-69,500원","-60,000원","179,500원",5개월 할부,41%,"월 35,900원",6만원 쿠폰,2021-06-10,https://class101.net/products/joQlBxVnpPFvMusav0fx
0,"[🔥상반기 총결산] 체형을 바로잡는 홈필라테스, 뷰릿",운동,올바른 자세와 체형 관리를 위한 홈트레이닝,입문자,20주 수강 가능,13,42,바로 수강 가능,True,별쌤&솔쌤,"https://instagram.com/bypinetree, https://instagram.com/beaurit_official","1,445",98%,177개의 글,6830,,,,"369,000원","-149,700원","-50,000원","169,300원",5개월 할부,54%,"월 33,860원",5만원 쿠폰,2021-06-10,https://class101.net/products/Ukf3kg0HRhgsL4shU7Fy
0,[클래스문방구] 김뽀마미와 함께하는 '무무안' 스피닝 다이어트 & 근력 홈트,운동,실내 스핀 바이크를 활용한 근력&유산소 운동,초급자,1년 수강 가능,10,60,바로 수강 가능,False,김뽀마미,"https://www.youtube.com/c/kimbbomami%EA%B9%80%EB%BD%80%EB%A7%88%EB%AF%B8/videos, https://www.instagram.com/kimbbomami/",127,96%,6개의 글,3801,,,,"899,000원","-180,000원","-40,000원","679,000원",12개월 할부,24%,"월 56,583원",3만원 쿠폰,2021-06-10,https://class101.net/products/PQ6I8aevjOAePAn31ovd
0,[101원] 핏블리의 다이어트 운동 클래스를 101원에!,운동,건강 다이어트,입문자,12주 수강 가능,4,8,바로 수강 가능,True,핏블리,"https://www.instagram.com/fitvely_moon/, https://www.youtube.com/channel/UC3hRpIQ4x5niJDwjajQSVPg",,,1개의 글,3790,,,,,,,,,,,,2021-06-10,https://class101.net/products/GWRNbjpJ8hPA2M685Qmz
0,,운동,,,,,,,,양치승,https://www.instagram.com/bodyspace_/,,,36개의 글,,,,,"490,000원","-129,200원","-40,000원","320,800원",12개월 할부,,"월 26,733원",3만원 쿠폰,2021-06-10,https://class101.net/products/tMpS2UDOhHbbxevGMOi5
0,[🔥상반기 총결산] 바른 자세와 다이어트를 한번에! 발레 홈트레이닝,운동,우아한 발레핏 홈트,초급자,20주 수강 가능,10,26,바로 수강 가능,True,렛츠발레핏 푸름샘,https://www.instagram.com/ballet_pr/,388,98%,82개의 글,3073,,,,"369,000원","-130,500원","-50,000원","188,500원",5개월 할부,48%,"월 37,700원",5만원 쿠폰,2021-06-10,https://class101.net/products/0pbOf6GDGRj2Anb7v4FP
0,[💖인기검색] 필라테스로 만든 하늘하늘거리는 라인,운동,필라테스,입문자,20주 수강 가능,14,40,바로 수강 가능,True,무나홈트,"https://www.youtube.com/channel/UCMA_DTVCzlALpD8hfGmYAlg, https://www.instagram.com/_______.taerin/",404,98%,21개의 글,2816,,,,"309,750원","-89,500원","-40,000원","180,250원",5개월 할부,41%,"월 36,050원",3만원 쿠폰,2021-06-10,https://class101.net/products/moona
0,"[🏆BEST특가] 누워만 있어도 피로가 풀리는 ""스파인코렉터"" 홈필라테스 배우기",운동,스파인코렉터 활용 홈트,입문자,20주 수강 가능,11,43,바로 수강 가능,False,정유승,"https://www.instagram.com/yooseung_erica, https://www.youtube.com/channel/UCzDA6N_GjgbHfhG5MuSz27g",190,95%,78개의 글,2534,,,,"309,000원","-79,500원","-50,000원","179,500원",5개월 할부,41%,"월 35,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/7YYMWKH6TvFVE5kaHmOt
