,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL,finalPrice
0,"[클래스문방구] 묵직하고 선명하게 전해지는 감동, 라일라의 유화 페인팅",oilPaint,유화드로잉,입문자,20주 수강 가능,9,30,바로 수강 가능,True,라일라,https://instagram.com/lylastudio,691,96%,33개의 글,6159,,,,"420,807원","-103,307원","-40,000원",5개월 할부,34%,"월 55,500원",3만원 쿠폰,2021-06-09,https://class101.net/products/9zcnnpQPH31Ip0V5whul,"277,500원"
0,[클래스문방구] 크리미한 질감과 독특한 색감으로 표현하는 유화 인물화,oilPaint,유화,초급자,20주 수강 가능,10,34,바로 수강 가능,True,ccarmin카아민,"https://instagram.com/ccarmin_, https://www.youtube.com/c/ccarmin",412,97%,44개의 글,4571,,,,"334,100원","-94,500원","-40,000원",5개월 할부,40%,"월 39,920원",3만원 쿠폰,2021-06-09,https://class101.net/products/aAra0Hv1klkcsCRFCSvz,"199,600원"
0,"[클래스문방구] 내 방 안의 작은 화실, 유화의 로망을 현실로!",oilPaint,유화,초급자,20주 수강 가능,10,27,바로 수강 가능,True,베오,https://www.picuki.com/profile/veo_j,73,99%,17개의 글,1668,,,,"249,000원","-25,800원","-40,000원",5개월 할부,26%,"월 36,640원",10만원 쿠폰,2021-06-09,https://class101.net/products/7MECR5ZeqF6YrIRID4G2,"183,200원"
0,"[🎁준비물무료] 유화와 친해지는 시간, 꾸덕꾸덕한 감각적인 그림 그리기",oilPaint,유화 페인팅,초급자,20주 수강 가능,9,27,바로 수강 가능,True,초롱 chorong,"https://www.instagram.com/chorong_atelier/, https://youtu.be/fhssBGA98_E",66,98%,9개의 글,1270,98,평균 3일 이내 응답,398개의 피드백 더보기,"385,620원","-88,300원","-86,620원",5개월 할부,45%,"월 42,140원",준비물0원,2021-06-09,https://class101.net/products/BBUtEzpndonYX2xWYBRm,"210,700원"
0,"[🏆BEST특가] 쉽게 배워서 매력 있게 그리는, 감성 유화 페인팅 클래스",oilPaint,유화 페인팅,입문자,20주 수강 가능,11,37,바로 수강 가능,False,진서,"http://www.instagram.com/jinseo_salon, https://blog.naver.com/jinseo_artist",,,7개의 글,836,,,,"399,200원","-79,000원","-60,000원",6개월 할부,34%,"월 43,366원",6만원 쿠폰,2021-06-09,https://class101.net/products/eRs17BcesiDwv3owjKWc,"260,200원"
0,"[클래스문방구] 유화 물감으로 꾸덕한 크림을 발라요, 그림으로 구워내는 홈베이킹 디저트",oilPaint,유화 나이프 페인팅,입문자,20주 수강 가능,12,57,바로 수강 가능,False,모로하나(MoRoHaNa),"http://www.instagram.com/morohana_bakery, https://www.youtube.com/channel/UC8__W367dSu9mkzCrfmvKeQ",,,16개의 글,844,100,평균 12시간 이내 응답,110개의 피드백 더보기,"424,000원","-109,500원","-40,000원",5개월 할부,35%,"월 54,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/lrGkitg5Hq8QyeaytQio,"274,500원"
0,"[🔥상반기 총결산] 작지만 큰 위로를 주는, 이미소의 파스텔톤 유화 클래스",oilPaint,"유화,풍경화",초급자,20주 수강 가능,9,24,바로 수강 가능,False,이미소,http://instagram.com/artist_mixoasis,,,7개의 글,663,,,,"386,000원","-61,500원","-50,000원",5개월 할부,28%,"월 54,900원",5만원 쿠폰,2021-06-09,https://class101.net/products/Uqlr51CtuhAYwlfL2uaU,"274,500원"
0,"[클래스문방구] 마음에 에너지를 공급하는 시간, 붓과 나이프로 그리는 모던 유화",oilPaint,모던 유화,입문자,20주 수강 가능,11,32,바로 수강 가능,False,wonee 원이,https://instagram.com/won_ee_atelier,25,100%,26개의 글,538,100,평균 6시간 이내 응답,82개의 피드백 더보기,"379,800원","-60,300원","-40,000원",5개월 할부,26%,"월 55,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/crcshbCjXxL7A9Tl2XJ3,"279,500원"
0,[클래스문방구] 파랗게 물들이는 hyundraw의 유화 클래스,oilPaint,유화 그리기,초급자,20주 수강 가능,9,23,바로 수강 가능,False,hyundraw,http://instagram.com/_0iloncanvas,,,8개의 글,446,,,,"366,970원","-57,000원","-40,000원",5개월 할부,26%,"월 53,994원",3만원 쿠폰,2021-06-09,https://class101.net/products/U8Vk8CInpQhHuHNm6JPI,"269,970원"
0,[클래스문방구] 유화의 기초부터 차근차근 배워서 화가로 데뷔하자!,oilPaint,유화,초급자,20주 수강 가능,9,24,바로 수강 가능,True,Gunner,https://instagram.com/jomongryong2,22,95%,24개의 글,363,,,,"409,700원","-58,914원","-40,000원",6개월 할부,24%,"월 51,797원",3만원 쿠폰,2021-06-09,https://class101.net/products/9eL7pdc5u9HeeGkiKnhu,"310,786원"
0,[클래스문방구] 초보자를 위한 감성 아크릴화 & 조명액자 만들기,oilPaint,아크릴화 & 조명 만들기,초급자,20주 수강 가능,9,24,바로 수강 가능,False,디디,"https://instagram.com/drinkingdrawing, https://www.youtube.com/channel/UCLZlCmnj_SBVZLXPzL_eiXg",,,8개의 글,356,,,,"364,400원","-64,900원","-40,000원",5개월 할부,28%,"월 51,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/wefe0AyQCC27HhMjtpZK,"259,500원"
0,"[클래스문방구] 특별한 순간을 담는 반려동물 초상화, 베오의 유화 클래스",oilPaint,"유화, 반려동물 초상화",중급자,20주 수강 가능,9,38,바로 수강 가능,False,베오,https://www.picuki.com/profile/veo_j,,,5개의 글,208,,,,"279,000원","-65,397원","-40,000원",5개월 할부,37%,"월 34,720원",3만원 쿠폰,2021-06-09,https://class101.net/products/v5BeZLZZdCxkKiv6llQM,"173,603원"
0,[클래스문방구] 내 손으로 직접 그리는 인테리어 유화 그림,oilPaint,인테리어 유화 그림,초급자,20주 수강 가능,11,35,바로 수강 가능,False,인디에어,https://www.instagram.com/intheair230,,,5개의 글,111,,,,"394,300원","-69,800원","-30,000원",5개월 할부,25%,"월 58,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/6eqWQL0xXH2ULxD6xqQC,"294,500원"
