,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[클래스문방구] 어서오세요! 여기는 솜솜네 홈카페입니다.,음료술,홈카페,입문자,20주 수강 가능,7,32,바로 수강 가능,True,솜솜,https://instagram.com/som_e92,607,90%,11개의 글,6028,,,,"290,300원","-91,700원","-40,000원","158,600원",5개월 할부,45%,"월 31,720원",3만원 쿠폰,2021-06-10,https://class101.net/products/somsom-homecafe
0,"[클래스문방구] 맛있게 취하는 입안의 힐링, 집에서 만드는 칵테일 '홈텐딩'",음료술,집에서 만드는 칵테일,입문자,20주 수강 가능,10,43,바로 수강 가능,True,남자의 취미,"https://www.youtube.com/channel/UCducfzODC9lt4cR0tZBOOxw/, https://www.instagram.com/mans__hobby/",154,98%,91개의 글,3318,,,,"369,000원","-124,412원","-40,000원","204,588원",5개월 할부,44%,"월 40,917원",3만원 쿠폰,2021-06-10,https://class101.net/products/cyBoPeO2r1vxjTB4jeKS
0,[클래스문방구] All About Coffee! 4가지 도구로 경험하는 다채로운 커피의 세계,음료술,,,20주 수강 가능,9,37,바로 수강 가능,True,빈브라더스,"https://www.instagram.com/bean_brothers, https://www.beanbrothers.co.kr/",332,98%,5개의 글,2997,,,,"451,131원","-121,631원","-40,000원","289,500원",5개월 할부,35%,"월 57,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/MftqpAfF2UXNmbKUYtl0
0,"[클래스문방구] Make your own rainbow, 어바웃 마스의 홈 카페 기초",음료술,홈카페,입문자,16주 수강 가능,11,35,바로 수강 가능,True,어바웃마스,https://instagram.com/about_mars,631,96%,,2898,,,,"249,000원","-78,100원","-40,000원","130,900원",5개월 할부,47%,"월 26,180원",3만원 쿠폰,2021-06-10,https://class101.net/products/nZQhUGSIHc9Z397AheNS
0,[클래스문방구] 전문 티블렌더와 함께하는 일상 속 Tea Life 만들기,음료술,티블렌딩,입문자,20주 수강 가능,10,47,바로 수강 가능,True,티애나,"https://www.instagram.com/redpottea/, https://www.instagram.com/red_pot_tea_house/",164,99%,32개의 글,2724,100,평균 하루 이내 응답,681개의 피드백 더보기,"309,000원","-93,000원","-40,000원","176,000원",5개월 할부,43%,"월 35,200원",3만원 쿠폰,2021-06-10,https://class101.net/products/lnKRBrPsu8LQN5EaQvAO
0,"[🔥상반기 총결산] 취미부터 창업까지, 카페 음료는 '커픽처스'에게 쉽고 꼼꼼하게 배우세요.",음료술,홈카페,입문자,20주 수강 가능,12,55,바로 수강 가능,True,커픽처스,"https://www.youtube.com/channel/UCKUFv2f_NgArl0HvkdyugqA, https://www.instagram.com/coffictures/",493,97%,43개의 글,2721,,,,"309,000원","-59,985원","-50,000원","199,015원",5개월 할부,35%,"월 39,803원",5만원 쿠폰,2021-06-10,https://class101.net/products/yNr1JKLAIOSfH2qKFDMQ
0,[🎁준비물무료] WSET 디플로마 제인과 함께하는 내 인생 첫 와인 클래스,음료술,와인 기초 상식,입문자,20주 수강 가능,13,46,바로 수강 가능,True,제인,"https://www.instagram.com/jayneswinehouse, https://www.youtube.com/channel/UC9VBY6eZyNHFM4V91HeaPfg",407,99%,96개의 글,2584,99,평균 3일 이내 응답,"1,503개의 피드백 더보기","365,000원","-93,100원","-77,400원","194,500원",5개월 할부,46%,"월 38,900원",준비물0원,2021-06-10,https://class101.net/products/bolZWETluMaV2iG74sYm
0,[🔥상반기 총결산] 직접 피워낸 누룩으로 빚은 내 생애 첫 막걸리,음료술,막걸리 만들기,입문자,20주 수강 가능,9,30,바로 수강 가능,True,하얀술,"https://www.youtube.com/channel/UClQSV8DYzxRydMxiIYCJ3SA, http://instagram.com/_hayansool, http://facebook/paxscom, https://brunch.co.kr/@paxcom",41,95%,154개의 글,1507,,,,"379,500원","-135,000원","-70,000원","174,500원",5개월 할부,54%,"월 34,900원",7만원 쿠폰,2021-06-10,https://class101.net/products/XPveiQI6bHmz65ms7FVm
0,"[클래스문방구] 나만의 공간에서, 나만의 레시피로 만드는 칵테일",음료술,"칵테일, 안주, 홈술",입문자,20주 수강 가능,14,54,바로 수강 가능,True,리니비니,"https://www.youtube.com/channel/UC57zDQDyO7JGXw1xMkI4ILA, https://www.instagram.com/rini.bini_/",51,98%,17개의 글,1154,,,,"309,000원","-86,647원","-40,000원","182,353원",5개월 할부,40%,"월 36,470원",3만원 쿠폰,2021-06-10,https://class101.net/products/EGAIASom6KXn5ZUFO4y8
0,내 최애 음료가 Tea 였다고? 건강하고 맛있게 즐기는 Tea 음료 만들기,음료술,Tea 음료 만들기,입문자,20주 수강 가능,10,36,21.06.24 (목),True,티애나,"https://www.instagram.com/redpottea/, https://www.instagram.com/red_pot_tea_house/",,,12개의 글,1104,,,,"341,800원","-112,300원","-10,000원","219,500원",5개월 할부,35%,"월 43,900원",,2021-06-10,https://class101.net/products/79IpFXAlDEDKDodp9Xjn
