,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[클래스문방구] 명리학 입문, 자연에서 최선의 선택을 배우다.",인문학,사주명리,입문자,20주 수강 가능,10,45,바로 수강 가능,True,해동,https://www.youtube.com/channel/UCYRv26sYCzTAtA9fiVae5Vw,195,98%,,912,,,,"369,000원","-134,500원","-40,000원","194,500원",5개월 할부,47%,"월 38,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/60k8GonVAcVLurC3gLdX
0,[클래스문방구] 페미니스트 철학자 윤김지영의 페미니즘 입문,인문학,페미니즘,입문자,20주 수강 가능,9,39,바로 수강 가능,True,윤김지영,,,,5개의 글,316,,,,"396,500원","-143,700원","-40,000원","212,800원",5개월 할부,46%,"월 42,560원",3만원 쿠폰,2021-06-10,https://class101.net/products/8PSjEWfsZA7NtRLib31E
0,‘실전 성교육!’ 몸만 큰 어른인 우리에겐 당장 써먹을 성교육이 필요하다!,인문학,성교육,입문자,20주 수강 가능,5,26,21.06.25 (금),True,바른생각,"https://youtube.com/c/%EC%95%8C%EC%84%B1%EB%8B%AC%EC%84%B1, https://www.instagram.com/brsg_official/, https://www.facebook.com/brsgkorea",,,2개의 글,184,,,,"110,000원","-59,000원",,,5개월 할부,53%,"월 10,200원",,2021-06-10,https://class101.net/products/a4lt0xJk2S0rL3l46Rdb
0,평생 써먹는 다이어트 영양학,인문학,영양학,입문자,4주 수강 가능,1,4,바로 수강 가능,False,클래스101,,,,,168,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/H2rWV6xA5HstqGyMH8AK
0,[클래스문방구] 경제 읽어주는 남자의 코로나19 이후 경제 전망,인문학,"경제, 재테크",입문자,20주 수강 가능,5,5,바로 수강 가능,True,김광석,"https://blog.naver.com/toughkingca, https://www.youtube.com/playlist?list=PLWpzT0uWXqs0TjzARB44ubpwXhZQrtMtC",,,1개의 글,175,,,,"318,300원","-75,660원","-40,000원","202,640원",5개월 할부,36%,"월 40,528원",3만원 쿠폰,2021-06-10,https://class101.net/products/yM5xIeMKeEZ2LkAkLf0f
0,"15분이면 충분해, 재즈",인문학,세상 쉬운 재즈 입문,입문자,4주 수강 가능,1,4,바로 수강 가능,True,클래스101,,121,99%,,166,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/ug74HcXDSAbltggLuIB5
0,크리에이티브는 책상에서 나오지 않아,인문학,창의적인 사고의 방법,입문자,4주 수강 가능,1,4,바로 수강 가능,True,클래스101,,79,96%,,153,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/nhgaPjyJrEDGgoLNyfBJ
0,기획자들: 박상영 <대도시의 사랑법> 작가,인문학,베스트셀러 소설가가 말하는 기획,입문자,4주 수강 가능,1,2,바로 수강 가능,True,클래스101,,,,,93,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/He7Sfh7LcBcoVkc9ul5S
0,하나도 웃기지 않는 농담,인문학,인문학으로 보는 농담,입문자,4주 수강 가능,1,4,바로 수강 가능,True,,,105,98%,,94,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/68uwDDzDnaE7Kr3rr9tx
0,20년차 방송작가와 함께 하는 20개의 메모로 에세이작가되기,인문학,"글쓰기, 에세이쓰기",입문자,20주 수강 가능,8,23,21.08.10 (화),True,작가 이윤영(글쓰는한량),"https://blog.naver.com/rosa0509, https://brunch.co.kr/@rosa0509, http://www.yes24.com/Product/Goods/87662580?Acode=101, https://instagram.com/hanryang_writer, https://www.youtube.com/channel/UCjz1ukpH2A5-YIBCfJOVTbA",,,1개의 글,66,,,,"272,700원","-89,200원","-40,000원","143,500원",5개월 할부,47%,"월 28,700원",,2021-06-10,https://class101.net/products/AkC9sTTB3KPGgTEbvQK7
0,음악을 조금 더 맛깔나게 배울수는 없을까? 대중가요에서 인문학 배우기,인문학,대중가요 인문학,초급자,20주 수강 가능,8,27,21.07.22 (목),True,어쩌다철학자,"https://blog.naver.com/hkleec, https://www.youtube.com/channel/UC6EDWJ-QZaf9ImNmzUSJilA, http://www.podbbang.com/ch/1769638",,,2개의 글,64,,,,"272,700원","-89,200원","-40,000원","143,500원",5개월 할부,47%,"월 28,700원",,2021-06-10,https://class101.net/products/cwLPZxsOwP3fnqILbpIM
0,기획자들: 종합 광고 대행사 <스튜디오좋>,인문학,'좋'대로 만들어 보는 광고,입문자,4주 수강 가능,1,2,바로 수강 가능,False,클래스101,,,,,57,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/gmRRUhYA1uaj7MGX3DDP
0,유럽 건축사: 로마 vs 비로마,인문학,유럽 건축사 살펴보기,입문자,4주 수강 가능,1,4,바로 수강 가능,True,클래스101,,27,93%,,53,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/AIReEsy8yylhQ61JG6no
0,콘트라스트: 뇌의 시선,인문학,디자인과 심리의 관계,입문자,4주 수강 가능,1,4,바로 수강 가능,True,클래스101,,63,98%,,53,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/2o6VDYy1CDNajzB2urIG
0,절망을 그린 낭만주의자들,인문학,낭만주의 미술 입문,입문자,4주 수강 가능,1,4,바로 수강 가능,True,클래스101,,27,100%,,54,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/BH6KcWu6vidnnTE1ZIPV
0,자본주의 비하인더씬,인문학,자본주의의 원리와 규칙,입문자,4주 수강 가능,1,4,바로 수강 가능,True,클래스101,,78,95%,,47,,,,"12,000원","-2,100원","-40,000원",,최종 금액,350%,"-30,100원",,2021-06-10,https://class101.net/products/iJkTTcpxGwnkS2Ae6UFj
0,포스트 팬데믹: 코로나 이후의 세계,인문학,코로나로 인한 경제 변화 읽기,입문자,4주 수강 가능,1,4,바로 수강 가능,True,클래스101,,196,97%,,46,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/PHbdCd6RhBRzw2ULButg
0,"천재, 태어나는가 만들어지는가",인문학,성과를 내는 천재들의 비밀,입문자,4주 수강 가능,1,4,바로 수강 가능,True,클래스101,,68,96%,,39,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/hnznNugFx0HPWgrqdFBA
0,"셀카의 시대, 초상화를 말하다",인문학,초상화로 보는 개인과 사회,입문자,4주 수강 가능,1,4,바로 수강 가능,True,클래스101,,27,100%,,34,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/QU85bfWjeqdPfJwgweZQ
0,우리는 왜 중독되는가,인문학,중독과 사회의 관계 탐구,입문자,4주 수강 가능,1,4,바로 수강 가능,True,클래스101,,52,96%,,44,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/27GcfocwgbKI7YqjUjpT
0,[클래스문방구] 인생은 주기율표 맛,인문학,누구나 이해할 수 있는 화학,입문자,4주 수강 가능,1,4,바로 수강 가능,False,클래스101,,22,100%,,26,,,,"12,000원","-2,100원","-40,000원",,최종 금액,350%,"-30,100원",3만원 쿠폰,2021-06-10,https://class101.net/products/VZksmDy8Toztd9nNREoN
0,초보 리더를 위한 역사적 지침서,인문학,역사에서 배우는 리더십,입문자,4주 수강 가능,1,2,바로 수강 가능,True,클래스101,,,,,18,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/Fi5ca5xqfLi6ETkmwE9b
0,젠더: 성역性役을 무너뜨리다,인문학,젠더 개념 이해하기,입문자,4주 수강 가능,1,4,바로 수강 가능,True,클래스101,,,,,18,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/Aw8anq4UBOq7fZhZcacy
0,"인간일까, 인공일까?",인문학,뇌공학 쉽게 알기,입문자,4주 수강 가능,1,4,바로 수강 가능,True,클래스101,,25,96%,,21,,,,"12,000원","-2,100원",,,최종 금액,17%,"9,900원",,2021-06-10,https://class101.net/products/0E2MW9TwRbv492gwS1eP
