,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,,작곡프로듀싱,비트메이킹,초급자,,,,,,,,,,15개의 글,,,,,"940,000원","-505,600원","-70,000원","364,400원",12개월 할부,,"월 30,366원",7만원 쿠폰,2021-06-10,https://class101.net/products/0384462CF31FEA26AF51A2
0,,작곡프로듀싱,,,,,,,,그레이,"https://www.instagram.com/callmegray/, https://www.facebook.com/upgrayde",,,92개의 글,,,,,"733,000원","-353,600원","-50,000원","329,400원",12개월 할부,,"월 27,450원",5만원 쿠폰,2021-06-10,https://class101.net/products/gray
0,"[클래스문방구] 홈레코딩 101 : 작사, 작곡부터 싱글발매까지",작곡프로듀싱,"Music Making (작사, 작곡 부터 싱글발매까지)",입문자,20주 수강 가능,10,29,바로 수강 가능,True,주니,https://www.youtube.com/channel/UCXSGqTLVhBRRFNc5S9E3jyw,105,93%,66개의 글,4524,,,,"369,000원","-149,500원","-100,000원","119,500원",5개월 할부,67%,"월 23,900원",10만원 쿠폰,2021-06-10,https://class101.net/products/eNPlsv7j5Gm9N2V18iYE
0,,작곡프로듀싱,프로듀싱 클래스,중급자,,,,,,코드 쿤스트,https://www.instagram.com/code_kunst/?hl=ko,,,74개의 글,,,,,"490,000원","-129,200원","-50,000원","310,800원",12개월 할부,,"월 25,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/v2LrqmCCf1JWL4F38OC6
0,[클래스문방구] 음악을 쉽고 색다르게: 악기 없는 작곡 클래스,작곡프로듀싱,작곡,입문자,20주 수강 가능,8,24,바로 수강 가능,True,Superflat,https://instagram.com/beatpg,118,94%,14개의 글,2305,,,,"279,250원","-84,500원","-40,000원","154,750원",5개월 할부,44%,"월 30,950원",3만원 쿠폰,2021-06-10,https://class101.net/products/l5vkFbrdvg8yZUcd3VQb
0,,작곡프로듀싱,믹싱 & 마스터링,중급자,,,,,,성지훈,,,,,,,,,"1,007,000원","-514,200원","-70,000원","422,800원",12개월 할부,,"월 35,233원",7만원 쿠폰,2021-06-10,https://class101.net/products/jfs-mastering
0,[🔥상반기 총결산] 재능 없이도 할 수 있는 노래 한 곡 만들기! 악기 없이 노트북 하나로!,작곡프로듀싱,미디작곡,초급자,20주 수강 가능,11,40,바로 수강 가능,True,인메이,https://instagram.com/music_without_talent,24,100%,20개의 글,1882,100,평균 하루 이내 응답,476개의 피드백 더보기,"279,000원","-69,500원","-50,000원","159,500원",5개월 할부,42%,"월 31,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/PsCHFCudtitMyxsreXBt
0,[🔥상반기 총결산] 작곡이 취미가 되는 시간. 20만 유튜버 오땡큐의 쉽고 재미있는 작곡,작곡프로듀싱,"작곡, 로직",입문자,20주 수강 가능,11,43,바로 수강 가능,True,오땡큐(OTHANKQ),https://www.youtube.com/OTHANKQ,37,97%,53개의 글,1698,93,평균 3일 이내 응답,474개의 피드백 더보기,"334,400원","-66,800원","-50,000원","217,600원",5개월 할부,34%,"월 43,520원",5만원 쿠폰,2021-06-10,https://class101.net/products/wxvfoKACyu96jtCu7bQf
0,[🔥상반기 총결산] 아이패드로 홈레코딩 A to Z : 커버영상까지 한번에!,작곡프로듀싱,홈레코딩,입문자,20주 수강 가능,9,31,바로 수강 가능,True,최제니,"https://m.youtube.com/channel/UCNimEnYG8Zk_Mt_2vjzudfg, https://www.instagram.com/jennychoi1209/?hl=ko",82,95%,59개의 글,1682,99,평균 3일 이내 응답,523개의 피드백 더보기,"309,000원","-93,000원","-50,000원","166,000원",5개월 할부,46%,"월 33,200원",5만원 쿠폰,2021-06-10,https://class101.net/products/iOaUx6bXHRozgGgcbx0Z
0,"[🔥상반기 총결산] 미디 작곡, 가장 쉽고 빠르게 : 싱어송라이터 디노소울의 큐베이스 클래스",작곡프로듀싱,"미디(MIDI) 작곡, 편곡",입문자,20주 수강 가능,14,46,바로 수강 가능,True,DINO$OUL,"http://www.instagram.com/j_dinosoul, http://www.youtube.com/DinoSoul",24,100%,42개의 글,1629,99,평균 3일 이내 응답,840개의 피드백 더보기,"369,000원","-136,800원","-50,000원","182,200원",5개월 할부,50%,"월 36,440원",5만원 쿠폰,2021-06-10,https://class101.net/products/W3ksS1pTaDLop754JLhs
0,[🔥상반기 총결산] 음악 감독이 알려주는 피아노로 영상 음악 작곡하기,작곡프로듀싱,피아노를 이용한 작곡,초급자,20주 수강 가능,12,34,바로 수강 가능,True,B SIDE,https://www.instagram.com/bside701/,58,93%,18개의 글,1317,100,평균 3일 이내 응답,344개의 피드백 더보기,"269,000원","-42,200원","-50,000원","176,800원",5개월 할부,34%,"월 35,360원",5만원 쿠폰,2021-06-10,https://class101.net/products/X8SmdVXiciZoMBgeFWWN
0,,작곡프로듀싱,프로듀싱,초급자,,,,,,보이콜드,,,,,,,,,"450,000원","-143,200원","-100,000원","206,800원",12개월 할부,,"월 17,233원",10만원 쿠폰,2021-06-10,https://class101.net/products/boycold
0,[💖인기검색] SM엔터테인먼트 전속 작곡가가 알려주는 프로 작곡가가 되는 법,작곡프로듀싱,작곡,중급자,20주 수강 가능,8,33,바로 수강 가능,True,JM Studio Live,https://www.youtube.com/user/JaeMyoungLee,,,36개의 글,1295,,,,"422,900원","-106,290원","-40,000원","276,610원",5개월 할부,34%,"월 55,322원",3만원 쿠폰,2021-06-10,https://class101.net/products/UukNd9aO7PoDgEPS8bux
0,,작곡프로듀싱,Mix&Mastering,중급자,,,,,,,,,,,,,,,"784,918원","-306,118원","-50,000원","428,800원",12개월 할부,,"월 35,733원",5만원 쿠폰,2021-06-10,https://class101.net/products/H27OEGEsYJQ1WwF8tln5
0,,작곡프로듀싱,프로듀싱,중급자,,,,,,프라이머리,https://www.instagram.com/primary0131/,,,12개의 글,,,,,"490,000원","-195,200원","-40,000원","254,800원",12개월 할부,,"월 21,233원",3만원 쿠폰,2021-06-10,https://class101.net/products/8geafsQ6AX8Y0CehvLn6
0,[클래스문방구] 나만의 감성으로 만들어 보는 '로 파이 힙합(Lo-Fi HipHop)'클래스,작곡프로듀싱,"미디, Lo-Fi 힙합, 음악",초급자,20주 수강 가능,12,48,바로 수강 가능,True,DRB,https://www.instagram.com/drb_official77/,21,100%,21개의 글,713,96,평균 7일 이내 응답,202개의 피드백 더보기,"309,000원","-74,500원","-40,000원","194,500원",5개월 할부,37%,"월 38,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/GiNaDZwgU9Nyrr15nfmm
0,[클래스문방구] K-Pop 프로 편곡가가 알려주는 편곡 노하우 : 스트링편곡 편,작곡프로듀싱,스트링 편곡법,중급자,20주 수강 가능,12,32,바로 수강 가능,False,신성진,https://instagram.com/jazzsungjin,,,6개의 글,650,,,,"346,000원","-69,000원","-30,000원","247,000원",5개월 할부,28%,"월 49,400원",3만원 쿠폰,2021-06-10,https://class101.net/products/4Gqa6M7pprBnG0SWm76G
0,[101원] MZ와 갤럭시 탭 S7ㅣS7+로 나만의 BGM 만들기,작곡프로듀싱,음악 프로듀싱,입문자,12주 수강 가능,2,7,바로 수강 가능,False,SAMSUNG,,,,,469,,,,500원,-399원,,,최종 금액,79%,101원,,2021-06-10,https://class101.net/products/U2rXKi3U5B2xY00QmmIA
0,,작곡프로듀싱,프로 음악감독의 일,초급자,,,,,,전수경,https://www.instagram.com/sookyung_jun/,,,4개의 글,,,,,"420,000원","-205,200원","-40,000원","174,800원",12개월 할부,,"월 14,566원",3만원 쿠폰,2021-06-10,https://class101.net/products/eGdpR2ttgQHkPVEEQHgy
0,,작곡프로듀싱,"작사,작곡",초급자,,,,,,콴다,,,,,,,,,"29,000원","-19,100원",,,최종 금액,,"9,900원",,2021-06-10,https://class101.net/products/5pQkfBYEjwpdtiE5tQuk
0,[클래스문방구] 완성도 높은 음악을 만드는 비법(사운드 프로세싱),작곡프로듀싱,사운드를 더욱 멋지게 만들기 위한,중급자,20주 수강 가능,9,32,바로 수강 가능,True,홈리(Homely),"https://www.youtube.com/channel/UCP7Mvv2-xf6tnt85xPYsf1w, https://www.instagram.com/homely_prod/",,,2개의 글,322,,,,"286,000원","-57,000원","-30,000원","199,000원",5개월 할부,30%,"월 39,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/UFtkdekHD8ddKszlwKZ8
0,"악뮤, 정인, KWILL의 곡을 만든 프로작곡가에게 배우는 발라드, 미디움 작곡 전문 과정",작곡프로듀싱,발라드 & 미디엄템포 작곡 전문과정,중급자,20주 수강 가능,11,36,21.07.16 (금),False,서기로그,https://www.youtube.com/channel/UCleqne2qwpbAGHG_weiqP7Q,,,8개의 글,313,,,,"346,000원","-104,000원","-40,000원","202,000원",5개월 할부,41%,"월 40,400원",,2021-06-10,https://class101.net/products/iOXERdWndUDpKwf0eZqS
0,"악보, 화성학, 악기를 몰라도 누구나 가능한 작곡 입문! with FL Studio",작곡프로듀싱,FL studio를 활용한 작곡,초급자,20주 수강 가능,14,45,21.07.09 (금),False,Django 장고,"https://www.youtube.com/c/%EC%9E%A5%EA%B3%A0%EC%9D%98%EB%A6%AC%EB%93%ACDIY, https://4824sound.com/",,,4개의 글,232,,,,"319,400원","-138,400원","-40,000원","141,000원",5개월 할부,55%,"월 28,200원",,2021-06-10,https://class101.net/products/6uoTiYRv77P1hrho1JuR
0,<라일락> 작곡가의 '타이틀곡으로 선정되는 멜로디 메이킹 원포인트 레슨!',작곡프로듀싱,K-POP 탑라이닝 (멜로디 메이킹),중급자,20주 수강 가능,10,43,21.08.05 (목),False,닥터조 ( Dr.JO ),https://www.instagram.com/drjomusic/?hl=ko,,,9개의 글,219,,,,"372,700원","-109,200원","-40,000원","223,500원",5개월 할부,40%,"월 44,700원",,2021-06-10,https://class101.net/products/g1FPXi71krvKunmC9uTW
0,"tobi lou, 러블리즈 작곡가의 프로 작곡가 레벨이 되기 위한 미디 독학 클래스 w/CUBASE",작곡프로듀싱,"미디음악, 프로듀싱",중급자,20주 수강 가능,10,36,21.08.12 (목),True,미디생활,https://www.youtube.com/channel/UC4kpRWJy3MX8fxd2C5rExDg?view_as=subscriber,,,6개의 글,223,,,,"352,700원","-110,200원","-10,000원","232,500원",5개월 할부,34%,"월 46,500원",,2021-06-10,https://class101.net/products/KPsh8DMlvaPCNsdoaqUt
0,"스위트홈, 동백꽃 필 무렵 OST 작곡가에게 배우는 '시네마틱 스코어 작곡 입문'",작곡프로듀싱,영화음악 작곡,중급자,20주 수강 가능,13,40,21.08.05 (목),False,준팝,"https://www.instagram.com/joonwha/, https://www.youtube.com/c/JOONPOP%EC%A4%80%ED%8C%9D/featured, https://soundcloud.com/joonpop/sets/tv-show-soundtrack-orignals",,,4개의 글,200,,,,"319,400원","-138,400원","-40,000원","141,000원",5개월 할부,55%,"월 28,200원",,2021-06-10,https://class101.net/products/LNhERyH6StLdiIfMjylt
0,아이폰으로 당장 작곡 시작해보기! 10년차 작곡가가 알려주는 '개러지밴드 입문',작곡프로듀싱,"GarageBand, 개러지밴드, 작곡",입문자,20주 수강 가능,10,33,21.08.04 (수),False,HYP,"https://www.youtube.com/channel/UCGfj-ti5vUJvdlUBAe_3Pvg, https://www.youtube.com/channel/UCgBifA1I90ADXC8E5KiazSw, https://www.facebook.com/HYP-Producing-556627241479276",,,8개의 글,183,,,,"292,700원","-113,200원","-40,000원","139,500원",5개월 할부,52%,"월 27,900원",,2021-06-10,https://class101.net/products/90NUegNs2CnMwJryqgSY
0,"[클래스문방구] 일상을 감성적인 음악으로, 시작을 든든하게 도와주는 ‘모두를 위한 작곡’ 클래스",작곡프로듀싱,비트 메이킹,초급자,20주 수강 가능,10,31,바로 수강 가능,True,제이블,https://www.youtube.com/channel/UCkUHDGCfutGSeVuWapEiusg/featured,,,3개의 글,175,,,,"292,700원","-58,200원","-30,000원","204,500원",5개월 할부,30%,"월 40,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/K5SOpYNXO3j3yHJmezTX
0,[큐베이스] 20만 작곡 유튜버 '브금대통령' 따라 무작정 BGM 만들기 for 초보자,작곡프로듀싱,큐베이스 BGM 작곡,초급자,20주 수강 가능,12,39,21.08.03 (화),False,브금대통령,https://www.youtube.com/user/GwooA,,,6개의 글,158,,,,"319,400원","-138,400원","-40,000원","141,000원",5개월 할부,55%,"월 28,200원",,2021-06-10,https://class101.net/products/kZSAUR2p5YDLHx8mCcNW
0,"[클래스문방구] 가수 제이세라, '1인 엔터테인먼트'로 성장하는 법",작곡프로듀싱,"가수, 앨범 제작, 1인 엔터테인먼트",초급자,20주 수강 가능,10,24,바로 수강 가능,True,제이세라,"https://www.youtube.com/user/JCERAofficial, http://www.ceramusic.co.kr/, https://www.instagram.com/jcera1004/, https://www.facebook.com/jcera1004",,,5개의 글,162,,,,"279,400원","-55,400원","-40,000원","184,000원",5개월 할부,34%,"월 36,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/JHBN6ZM7CXn1juErPDXa
0,[클래스문방구] 나만의 감성으로 만들어 보는 '레트로 웨이브(Retro Wave)' 클래스,작곡프로듀싱,에이블톤라이브 일렉트로닉 미디작곡,입문자,20주 수강 가능,12,50,바로 수강 가능,False,DRB,https://www.instagram.com/drb_official77/,,,1개의 글,150,94,평균 7일 이내 응답,33개의 피드백 더보기,"292,700원","-58,200원","-40,000원","194,500원",5개월 할부,33%,"월 38,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/bo692dShBaXofhMqGNS4
0,"워너원, 현아, 스트레이키즈의 곡을 만든 프로듀싱팀 스페이스원의 K-POP 정복하기",작곡프로듀싱,K-POP 작곡 with 에이블톤 라이브 11,중급자,20주 수강 가능,13,47,21.07.21 (수),False,스페이스원,"https://www.youtube.com/c/SPACEONEtv, https://www.instagram.com/prod_spaceone/, https://open.spotify.com/playlist/0vbeJywlAMEdjsBOAQ61wm?si=78806b9c9cd449ec",,,2개의 글,152,,,,"346,000원","-104,000원","-40,000원","202,000원",5개월 할부,41%,"월 40,400원",,2021-06-10,https://class101.net/products/fezT17pR4dNPFNVLw97C
0,당신의 반주가 단조로운 이유! ' CCM 편곡 - 반주를 바꾸는 힘 ',작곡프로듀싱,"CCM편곡, 찬송가편곡",중급자,20주 수강 가능,11,43,21.07.30 (금),False,편곡프로,"https://www.youtube.com/channel/UCOgLTQ0eVUzlGkuDX1Pn9TA, https://www.youtube.com/channel/UCKWtchcYR3J91fXStjoVx9Q",,,11개의 글,115,,,,"326,000원","-125,000원","-40,000원","161,000원",5개월 할부,50%,"월 32,200원",,2021-06-10,https://class101.net/products/vch9YmUYlJ2fyenxQ4pZ
0,[에이블톤 입문] 튜토리얼부터 컴퓨터 음악에 대한 이해까지! 시퀀서 전문가 되기!,작곡프로듀싱,에이블톤 작곡 입문,입문자,20주 수강 가능,11,40,21.07.29 (목),False,음악길잡이,https://www.youtube.com/channel/UCcHYrHGtd1KyNlVXFZQk-Bw,,,,102,,,,"292,700원","-133,200원","-40,000원","119,500원",5개월 할부,59%,"월 23,900원",,2021-06-10,https://class101.net/products/ZIed5qz7AxiwOntDQ0hG
0,"[꿀조합 할인🍯] 작곡, 작사, 녹음, 비트메이킹을 한 번에! 만능 뮤지션을 향한 첫걸음",작곡프로듀싱,미디 작곡,초급자,1년 수강 가능,0,0,바로 수강 가능,False,클래스101,,,,,98,,,,"588,000원","-205,800원","-40,000원","342,200원",12개월 할부,41%,"월 28,516원",3만원 쿠폰,2021-06-10,https://class101.net/products/DmQNFYabikPCKzEuxloW
