,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[🏆BEST특가] 종이로 피워낸 낭만, 메리메이드와 함께하는 페이퍼 플라워",종이공예,페이퍼 플라워 아트,입문자,24주 수강 가능,10,38,바로 수강 가능,True,메리메이드,https://instagram.com/merremade,848,96%,78개의 글,5806,,,,"354,837원","-80,337원","-50,000원","224,500원",5개월 할부,36%,"월 44,900원",5만원 쿠폰,2021-06-09,https://class101.net/products/ke4aBLeqFmrNnXtjKDao
0,"[클래스문방구] 취향을 담아 만드는 19권의 수제 노트, 안녕늘보씨의 북바인딩",종이공예,북바인딩,초급자,20주 수강 가능,9,48,바로 수강 가능,True,안녕늘보씨,https://instagram.com/helloneulbo,623,99%,57개의 글,4677,,,,"374,914원","-95,415원","-40,000원","239,499원",5개월 할부,36%,"월 47,899원",3만원 쿠폰,2021-06-09,https://class101.net/products/GtFhijoMnuhVWIFUDqM0
0,"[클래스문방구] 종이만 있으면 평생 즐기는 취미, 페이퍼아트",종이공예,페이퍼아트,초급자,16주 수강 가능,9,42,바로 수강 가능,True,페이퍼아티스트 박혜윤,https://www.instagram.com/paper_hyeyun/,248,98%,8개의 글,3033,,,,"263,064원","-63,464원","-40,000원","159,600원",4개월 할부,39%,"월 39,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/ZuZ0v9vFkuMI7v05QuNd
0,[클래스문방구] 특별한 도안으로 나만의 꽃밭을 만드는 페이퍼 아트,종이공예,페이퍼 플라워아트,입문자,20주 수강 가능,9,31,바로 수강 가능,True,리오니 크래프트(민들레),http://www.instagram.com/Leony_craft,133,98%,56개의 글,2250,,,,"395,000원","-77,000원","-40,000원","278,000원",5개월 할부,29%,"월 55,600원",3만원 쿠폰,2021-06-09,https://class101.net/products/2ZUdirMeV75CjpYU5bGU
0,[🎁준비물무료] 인생의 센스는 다이어리에서! 코구리와 다이어리 한 권 완성하기,종이공예,다이어리 꾸미기,입문자,16주 수강 가능,9,23,바로 수강 가능,True,코구리,https://instagram.com/koguri_sr,131,85%,18개의 글,1936,,,,"189,801원","-46,201원","-62,857원","80,743원",5개월 할부,57%,"월 16,148원",준비물0원,2021-06-09,https://class101.net/products/OPpCNrjwSY6HrJPLTh12
0,[클래스문방구] 크니까 더 예쁘다! 사랑과 함께하는 자이언트 페이퍼플라워,종이공예,자이언트 페이퍼 플라워,입문자,20주 수강 가능,9,33,바로 수강 가능,True,페이퍼아티스트사랑,"https://www.instagram.com/paper_artist_sarang/, https://www.youtube.com/channel/UCMZ-jC5uAW2addZDHHIilTg?view_as=subscriber",167,96%,84개의 글,1927,,,,"367,305원","-122,805원","-40,000원","204,500원",5개월 할부,44%,"월 40,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/An60ItEySfiEk8cj6vJr
0,"[🔥상반기 총결산] 종이로 전하는 메세지, 토퍼 만들기부터 창업과 판매까지!",종이공예,토퍼만들기,입문자,20주 수강 가능,12,36,바로 수강 가능,True,밝음토퍼,"https://www.instagram.com/mys_topper/, https://smartstore.naver.com/4b, https://www.instagram.com/mys_topper_class/",216,99%,43개의 글,1867,100,평균 12시간 이내 응답,"1,894개의 피드백 더보기","419,000원","-80,300원","-50,000원","288,700원",5개월 할부,31%,"월 57,740원",5만원 쿠폰,2021-06-09,https://class101.net/products/O2F7ZPnUiUyzO9CDvRLK
0,"[클래스문방구] 사각사각 종이에 담아낸 행복, 페이퍼 크래프트",종이공예,페이퍼 크래프트,입문자,20주 수강 가능,6,25,바로 수강 가능,True,페이퍼아티스트사랑,"https://www.instagram.com/paper_artist_sarang/, https://www.youtube.com/channel/UCMZ-jC5uAW2addZDHHIilTg?view_as=subscriber",57,93%,5개의 글,1348,,,,"240,797원","-41,297원","-30,000원","169,500원",5개월 할부,29%,"월 33,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/eunbyul-diy
0,[클래스문방구] 내 손안에서 피어나 영원히 시들지 않는 페이퍼플라워,종이공예,페이퍼플라워,초급자,20주 수강 가능,11,35,바로 수강 가능,True,메리메이드,https://instagram.com/merremade,108,97%,35개의 글,1323,,,,"470,500원","-86,000원","-100,000원","284,500원",5개월 할부,39%,"월 56,900원",10만원 쿠폰,2021-06-09,https://class101.net/products/mVyeqjeu0Uza94S25LDL
0,"[클래스문방구] 나만의 온도를 담아요, 유오이 스튜디오와 함께하는 커스텀 북바인딩",종이공예,북바인딩,입문자,20주 수강 가능,8,31,바로 수강 가능,False,유오이 스튜디오,,,,11개의 글,1208,,,,"375,000원","-75,500원","-40,000원","259,500원",5개월 할부,30%,"월 51,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/nSWABg9jFMP7rkNJ4KFD
