,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🔥상반기 총결산] ㅔㅔㅅ의 파워포인트 연구소에서 함께 PPT에 입덕해요!,직무교육,파워포인트 디자인,입문자,16주 수강 가능,9,41,바로 수강 가능,True,ㅔㅔㅅ,"https://www.instagram.com/ees_ppt/, https://www.facebook.com/eesppt, https://www.pinterest.co.kr/eesppt/, https://www.youtube.com/channel/UCkk7Lu7gKcXKl9BAru13PNA?view_as=subscriber",465,97%,75개의 글,7189,,,,"299,000원","-99,400원","-50,000원","149,600원",4개월 할부,49%,"월 37,400원",5만원 쿠폰,2021-06-10,https://class101.net/products/BlnwTeEnkx9NmBamnvWe
0,[클래스문방구] 자영업자를 위한 매출로 이어지는 인스타그램 마케팅,직무교육,인스타그램 마케팅,초급자,20주 수강 가능,8,25,바로 수강 가능,True,칙스토리 김종영,,"1,081",88%,28개의 글,5486,,,,"284,300원","-102,090원","-40,000원","142,210원",5개월 할부,49%,"월 28,442원",3만원 쿠폰,2021-06-10,https://class101.net/products/BXeLjjdAgueyv0WawptA
0,[🏆BEST특가] 박신영의 기획하다-기획이 막막한 사람을 위한 기획입문,직무교육,기획,입문자,20주 수강 가능,9,35,바로 수강 가능,True,박신영,"https://blog.naver.com/siny223, http://planningschool.co.kr/",656,97%,203개의 글,4875,,,,"299,000원","-89,700원","-50,000원","159,300원",5개월 할부,46%,"월 31,860원",5만원 쿠폰,2021-06-10,https://class101.net/products/pqQNWaOfSVq6RVNAkylI
0,[클래스문방구] 실무자를 위한 바로 써먹는 쉽고 빠른 엑셀,직무교육,실무엑셀,초급자,20주 수강 가능,8,39,바로 수강 가능,True,짤막한 강좌,"http://youtube.com/%EC%A7%A4%EB%A7%89%ED%95%9C%EA%B0%95%EC%A2%8C, http://post.naver.com/hantip",168,98%,10개의 글,3905,100,평균 12시간 이내 응답,"1,934개의 피드백 더보기","230,200원","-81,070원","-40,000원","109,130원",5개월 할부,52%,"월 21,826원",3만원 쿠폰,2021-06-10,https://class101.net/products/RO7THQA5Y4eF4iHmdvPd
0,[🔥상반기 총결산] 프로 일잘러를 위한 슬기로운 아이패드 활용법,직무교육,아이패드 활용,입문자,20주 수강 가능,10,32,바로 수강 가능,True,리지,https://www.youtube.com/channel/UCIZQ5ARW8pXLJ8buYUc57UQ,204,92%,64개의 글,3701,,,,"392,500원","-118,000원","-50,000원","224,500원",5개월 할부,42%,"월 44,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/xfAhZZ943BNafDbEOIHE
0,[🏆BEST특가] PPT 디자인 부업으로 월 300만 원 벌기,직무교육,PPT 디자인 부업,입문자,20주 수강 가능,8,30,바로 수강 가능,True,김로웰,https://blog.naver.com/dasol1414,426,100%,69개의 글,3408,,,,"281,900원","-52,600원","-40,000원","189,300원",5개월 할부,32%,"월 37,860원",3만원 쿠폰,2021-06-10,https://class101.net/products/BEs4zGb3nC7GoNhvFlYd
0,"[🔥상반기 총결산] 일 잘하는 사람들의 생각법, 복주환의 생각 정리 스킬",직무교육,"일 잘하는 방법, 생각 정리하는 방법",초급자,20주 수강 가능,10,37,바로 수강 가능,True,생각정리스킬 복주환,"https://www.instagram.com/bok_joohwan/, https://www.youtube.com/channel/UC2q0my2h25E8PMV4dWLsPwA, https://www.facebook.com/juwhon, https://blog.naver.com/juwhon",459,97%,27개의 글,3295,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",4만원 쿠폰,2021-06-10,https://class101.net/products/8NQRWkNWm4ifIMuk9Qph
0,[🔥상반기 총결산] 내일 당장 실무에 써먹는 상위 1% 광고인의 PPT 신공,직무교육,PPT(파워포인트) 스킬,초급자,20주 수강 가능,10,44,바로 수강 가능,True,Chris,,415,100%,3개의 글,2398,99,평균 3일 이내 응답,"1,563개의 피드백 더보기","318,400원","-103,110원","-40,000원","175,290원",5개월 할부,44%,"월 35,058원",3만원 쿠폰,2021-06-10,https://class101.net/products/7jF8JRyFP6XXl1tzS2UQ
0,"[🔥상반기 총결산] 13만유튜버 피피티프로젝트! 평생, 단 하나의 PPT 강의",직무교육,피피티/파워포인트,초급자,20주 수강 가능,10,48,바로 수강 가능,False,피피티프로젝트,https://www.youtube.com/channel/UCvS-d8Ntsny2H8UeINNsQhw?view_as=subscriber,176,97%,22개의 글,2297,100,평균 12시간 이내 응답,"1,942개의 피드백 더보기","269,000원","-74,500원","-50,000원","144,500원",5개월 할부,46%,"월 28,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/bkI6wZjAHcxoWC4aOy0M
0,[🔥상반기 총결산] 보노보노는 이제 그만! 피도리의 실전 PPT,직무교육,피피티,초급자,20주 수강 가능,9,32,바로 수강 가능,True,피도리,"https://www.facebook.com/peedor2, https://www.instagram.com/peedori_/?hl=ko, https://www.youtube.com/channel/UCIEqkpFvw5TmfYFBPhv2kyg",95,96%,,2292,,,,"299,000원","-99,250원","-50,000원","149,750원",5개월 할부,49%,"월 29,950원",5만원 쿠폰,2021-06-10,https://class101.net/products/iOrNWtvuwwhv3JSzkTiV
