,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[🔥상반기 총결산] 21년 개정판! 스마트스토어로 월 100만원 만들기, 평범한 사람이 돈을 만드는 비법",창업부업,,,20주 수강 가능,14,66,바로 수강 가능,True,신사임당,https://www.youtube.com/channel/UCaJdckl6MBdDPDf75Ec_bJA,"33,634",98%,419개의 글,40129,,,,"199,000원","-40,300원","-30,000원","128,700원",5개월 할부,35%,"월 25,740원",3만원 쿠폰,2021-06-10,https://class101.net/products/nE3Rka3C8quVUg6sJTXu
0,"[🏆BEST특가] 나만의 취미로 돈 버는 방법, 디지털 파일 판매의 모든 것!",창업부업,디지털 파일 판매,초급자,20주 수강 가능,11,39,바로 수강 가능,True,노마드 그레이쓰,"https://www.instagram.com/nomad.grace/, https://blog.naver.com/nomadgrace, https://cafe.naver.com/digitalnomadproject, http://www.yes24.com/Product/Goods/97536519","4,156",95%,321개의 글,20055,,,,"199,000원","-40,300원","-50,000원","108,700원",5개월 할부,45%,"월 21,740원",5만원 쿠폰,2021-06-10,https://class101.net/products/esw88imFlbeHxlWTxbVZ
0,[🔥상반기 총결산] 블로그 기초과정 ❘ 블로그로 하루 2시간 투자해서 직장인만큼 수익내기!,창업부업,수익형 블로그,입문자,20주 수강 가능,9,31,바로 수강 가능,True,리뷰요정리남,"https://www.youtube.com/channel/UCRx7_s9Mvw9j2mLSaj6X70g, https://www.instagram.com/reviewyojung, https://blog.naver.com/reviewyojung","2,673",94%,211개의 글,14421,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",4만원 쿠폰,2021-06-10,https://class101.net/products/vXcO1iZbdpyZoLH2Aq4S
0,"[🔥상반기 총결산] 월 999만원 자동수익, 경제적 자유 얻는 구체적 가이드라인",창업부업,소자본 창업으로 자동화,입문자,25주 수강 가능,10,70,바로 수강 가능,True,라이프해커 자청,https://www.youtube.com/channel/UCONUFWDbb9Y338NVLGQid3Q,"5,631",98%,110개의 글,12184,,,,"890,000원","-333,510원","-60,000원","496,490원",5개월 할부,44%,"월 99,298원",6만원 쿠폰,2021-06-10,https://class101.net/products/tc4HO2QBtuOlHPYWUILG
0,[🔥상반기 총결산] 천재 사업가 '대학생김머신'의 무엇이든 팔 수 있는 쇼핑몰 창업가이드,창업부업,온라인 쇼핑몰 / 쇼핑몰 창업,초급자,20주 수강 가능,10,50,바로 수강 가능,True,대학생 김머신,"https://www.youtube.com/channel/UCL1R6ur2nB1Mi7JQKgyDZzQ?view_as=subscriber, https://www.instagram.com/rlaajtls/","3,080",98%,153개의 글,9341,,,,"450,000원","-144,800원","-50,000원","255,200원",5개월 할부,43%,"월 51,040원",8만원 쿠폰,2021-06-10,https://class101.net/products/AKwX4czUR18hIyk1A8gk
0,"[🔥상반기 총결산] 소자본 마케팅의 시작, 월 천만원 매출 올리는 블로그 마케팅 -최신로직",창업부업,온라인 마케팅,입문자,20주 수강 가능,14,44,바로 수강 가능,True,이상한김팀장,"https://www.youtube.com/channel/UC9pTIR9Rj7UvdUQANDUKtqw?view_as=subscriber, https://cafe.naver.com/saygogona100","2,849",95%,115개의 글,8644,,,,"450,000원","-144,800원","-50,000원","255,200원",5개월 할부,43%,"월 51,040원",5만원 쿠폰,2021-06-10,https://class101.net/products/LDsDoEsreKNcS6GUq3H1
0,[💖인기검색] 월급으로 만족하지 못하는 분들을 위한 아마존/이베이 입문,창업부업,이베이/아마존,입문자,20주 수강 가능,9,33,바로 수강 가능,True,로꾸미,https://www.youtube.com/channel/UCB0q2Wfz5xyeo8GHVfxAmnA,739,86%,142개의 글,8401,,,,"301,400원","-102,650원","-50,000원","148,750원",5개월 할부,50%,"월 29,750원",5만원 쿠폰,2021-06-10,https://class101.net/products/xC20zjTXOU1fhT12lrKj
0,[🏆BEST특가] 무재고로 중국 구매 대행 사업/부업 시작하기,창업부업,중국구매대행,입문자,20주 수강 가능,13,47,바로 수강 가능,True,온라인탑셀러,,948,96%,232개의 글,8208,,,,"199,000원","-40,300원","-50,000원","108,700원",5개월 할부,45%,"월 21,740원",5만원 쿠폰,2021-06-10,https://class101.net/products/fINpivvXH1bOjgCjJuRd
0,[🏆BEST특가] 평범한 사람이 월세만큼 버는 감성 다이어리 속지 만들기,창업부업,다이어리 제작과 판매 전략,중급자,20주 수강 가능,11,53,바로 수강 가능,True,영국사는 레이디노마드,"https://www.instagram.com/_ladynomad/, https://blog.naver.com/ladynomad_, https://cafe.naver.com/sellonetsy",405,99%,121개의 글,6582,,,,"315,000원","-46,000원","-40,000원","229,000원",5개월 할부,27%,"월 45,800원",4만원 쿠폰,2021-06-10,https://class101.net/products/KPPdqrZv7ZQ6CrDU0VVa
0,[클래스문방구] 60만 유튜버가 알려주는 가장 쉬운 유튜브 입문기!,창업부업,영상제작,입문자,16주 수강 가능,8,33,바로 수강 가능,True,빨간토마토,"https://www.youtube.com/user/BrioJae, https://www.facebook.com/redtomatotube, https://www.instagram.com/redtomatotube/",880,96%,17개의 글,5243,,,,"239,250원","-69,400원","-40,000원","129,850원",5개월 할부,45%,"월 25,970원",3만원 쿠폰,2021-06-10,https://class101.net/products/Il2RFiQmUiDhv3d2UkEk
0,[💣24시간] 인스타그램으로 세상에 나의 가치를 알려보자. 인스타그램 퍼스널 브랜딩,창업부업,"인스타그램, 퍼스널브랜딩",초급자,20주 수강 가능,9,29,바로 수강 가능,True,드로우앤드류,"https://www.instagram.com/drawandrew/, https://www.youtube.com/channel/UCCU2H8fnVx20POKCzFm-G5Q?view_as=subscriber","1,284",96%,17개의 글,5155,,,,"199,000원","-40,300원","-50,000원","108,700원",5개월 할부,45%,"월 21,740원",5만원 쿠폰,2021-06-10,https://class101.net/products/BjkCb7AJ62j1x7nZ0yaM
0,Class101 Money+,창업부업,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-10,https://class101.net/products/67eVVPmUAmAvg9k13tOz
0,"[🏆BEST특가] 엣시에서 디지털 초대장 자동 판매하기, 자면서 돈 버는 방법!",창업부업,디지털 파일,초급자,20주 수강 가능,10,35,바로 수강 가능,True,집콕클래스 앨리슨,"https://www.instagram.com/digital.nomad.allison, https://digitalnomad-allison.tistory.com/",388,98%,79개의 글,4792,,,,"189,000원","-30,300원","-40,000원","118,700원",5개월 할부,37%,"월 23,740원",4만원 쿠폰,2021-06-10,https://class101.net/products/6JEEdjUieqshYeSb7ALy
0,[🏆BEST특가] 무료 디자인 툴로 시작하는 엣시(Etsy) 디지털 파일 판매 A to Z,창업부업,Etsy 디지털 파일 판매,초급자,20주 수강 가능,8,39,바로 수강 가능,True,민아몬드,"https://minamond.tistory.com/, https://cafe.naver.com/designseller, https://instagram.com/min_amond, https://www.youtube.com/channel/UCSGNQYfNFeR-8CyU51clf0w",526,97%,86개의 글,4713,,,,"189,000원","-21,000원","-50,000원","118,000원",5개월 할부,37%,"월 23,600원",5만원 쿠폰,2021-06-10,https://class101.net/products/nyULkfIF1oH6kPNAPSLE
0,"[클래스문방구] 월 100만원 수익! 아이디어스, 스마트스토어에서 월급 외 수익 벌기",창업부업,,,20주 수강 가능,9,43,바로 수강 가능,True,단아쌤,https://www.youtube.com/channel/UCoUMRlaHHyIIRySV_bouYCQ/,253,95%,44개의 글,4589,,,,"318,400원","-103,110원","-40,000원","175,290원",5개월 할부,44%,"월 35,058원",3만원 쿠폰,2021-06-10,https://class101.net/products/xjBeoGTGberc8nWWGECs
0,[🏆BEST특가] 하루 10분 일하고 월 200 꾸준히 버는 PDF 전자책 부업 시작하기,창업부업,PDF 전자책 부업,입문자,20주 수강 가능,9,34,바로 수강 가능,True,방구석투잡러 조야,"https://www.youtube.com/channel/UC0XYf_TVuZ2wXz76xeGjZhQ, https://www.instagram.com/",587,96%,114개의 글,4387,,,,"189,000원","-20,300원","-50,000원","118,700원",5개월 할부,37%,"월 23,740원",5만원 쿠폰,2021-06-10,https://class101.net/products/zyzx4oWNJw7KtzrI1QuA
0,"[클래스문방구] 자동으로 돈을 버는 프로그램 만들기, 머니해킹",창업부업,무자본창업,초급자,20주 수강 가능,9,45,바로 수강 가능,True,머니해커,https://www.youtube.com/channel/UCRJz0H5-cRnEb_KNpobkHWg,446,91%,70개의 글,3713,,,,"279,000원","-20,000원","-40,000원","219,000원",5개월 할부,21%,"월 43,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/2cHsOhvp6DX1P6T0lvNU
0,[클래스문방구] 내가 그린 캐릭터로 브랜드 시작하기! 굿즈부터 사업화까지,창업부업,캐릭터 브랜딩,초급자,20주 수강 가능,9,34,바로 수강 가능,True,효샤,https://instagram.com/avofriends,279,99%,37개의 글,3630,,,,"352,500원","-104,120원","-40,000원","208,380원",5개월 할부,40%,"월 41,676원",3만원 쿠폰,2021-06-10,https://class101.net/products/uKiVg18hblAXS4uxZMKK
0,[🔥상반기 총결산] 연금처럼 차곡차곡 수입이 쌓이는 스톡사진 시작하기,창업부업,스톡사진,입문자,20주 수강 가능,7,33,바로 수강 가능,False,가을자락,,236,99%,86개의 글,3181,,,,"179,000원","-10,300원","-40,000원","128,700원",5개월 할부,28%,"월 25,740원",4만원 쿠폰,2021-06-10,https://class101.net/products/goGqTm0oudZOWk4NT3ZW
0,"[클래스문방구] 내가 만든 수공예품, 굿즈, 디지털 파일 판매로 엣시에서 돈 버는 법!",창업부업,해외판매(엣시),초급자,20주 수강 가능,10,42,바로 수강 가능,True,미돌남 - 미싱 돌리는 남자,"https://www.youtube.com/sewingman, https://www.instagram.com/sewingman_/, https://blog.naver.com/lavendermom, https://band.us/@sewingman",134,99%,20개의 글,3137,96,평균 하루 이내 응답,918개의 피드백 더보기,"331,700원","-103,540원","-40,000원","188,160원",5개월 할부,43%,"월 37,632원",3만원 쿠폰,2021-06-10,https://class101.net/products/HOEqb85vLfEvGxEXlepL
