,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL,finalPrice
0,"[🔥상반기 총결산] 사각사각 손글씨의 낭만, 펜크래프트의 한글 정자체 펜글씨",calligraphy,한글 정자체 손글씨,입문자,20주 수강 가능,10,49,바로 수강 가능,True,펜크래프트,"https://instagram.com/pencraft_, https://www.youtube.com/channel/UCJ6ffXRHtnXLhM2MFYsOrhQ?view_as=subscriber, https://smartstore.naver.com/pencraft","2,477",98%,145개의 글,12224,91,평균 12시간 이내 응답,"3,961개의 피드백 더보기","322,100원","-101,510원","-50,000원",5개월 할부,47%,"월 34,118원",5만원 쿠폰,2021-06-09,https://class101.net/products/taAqhVz62rYVn7JFZYY7,"170,590원"
0,"[🎁준비물무료] 전하고 싶은 한 줄, 필림의 딥펜 캘리그래피",calligraphy,딥펜 캘리그래피,입문자,20주 수강 가능,10,32,바로 수강 가능,True,필림,"https://instagram.com/feellim, https://feellim.creatorlink.net/","2,549",99%,56개의 글,8746,99,평균 7일 이내 응답,"3,815개의 피드백 더보기","350,270원","-120,770원","-40,032원",5개월 할부,45%,"월 37,893원",준비물0원,2021-06-09,https://class101.net/products/gWTQtMm5dZp66DgssAtj,"189,468원"
0,[🏆BEST특가] 스놉의 단정한 손글씨로 마음을 담은 필사하기,calligraphy,"손글씨, 필사",입문자,20주 수강 가능,12,46,바로 수강 가능,True,스놉,https://instagram.com/ecriture_call,756,95%,54개의 글,6355,,,,"335,100원","-109,200원","-50,000원",5개월 할부,47%,"월 35,180원",5만원 쿠폰,2021-06-09,https://class101.net/products/XrfWeHzwLukDB6u5zsAM,"175,900원"
0,[클래스문방구] 글씨 쓰는 김이영과 함께 아이패드에 그려낸 캘리그라피,calligraphy,디지털 캘리그라피,입문자,20주 수강 가능,11,32,바로 수강 가능,True,김이영,"https://instagram.com/kim_2_0, https://youtube.com/channel/UChoy08QFLzgVhzeo45Gvl3A","4,799",98%,88개의 글,6030,,,,"369,000원","-120,000원","-40,000원",5개월 할부,43%,"월 41,800원",3만원 쿠폰,2021-06-09,https://class101.net/products/oqiE1D0QeNbwlZcsUIWx,"209,000원"
0,"[🔥상반기 총결산] 클래식한 아름다움, 단비의 카퍼플레이트 영문 캘리그라피",calligraphy,카퍼플레이트 캘리그라피,입문자,20주 수강 가능,9,25,바로 수강 가능,True,Danbeesweetrain,https://www.instagram.com/danbeesweetrain/,955,98%,17개의 글,3948,100,평균 7일 이내 응답,"1,697개의 피드백 더보기","468,000원","-158,500원","-50,000원",5개월 할부,44%,"월 51,900원",5만원 쿠폰,2021-06-09,https://class101.net/products/danbee-calli,"259,500원"
0,"[🏆BEST특가] 김이영과 함께, 아이패드로 쓰는 영문 레터링 A to Z",calligraphy,아이패드 영문 레터링,입문자,20주 수강 가능,11,36,바로 수강 가능,True,김이영,"https://instagram.com/kim_2_0, https://youtube.com/channel/UChoy08QFLzgVhzeo45Gvl3A",542,99%,53개의 글,3664,,,,"369,000원","-119,500원","-70,000원",5개월 할부,51%,"월 35,900원",7만원 쿠폰,2021-06-09,https://class101.net/products/HBgSWrq8SbdprrU7GsIq,"179,500원"
0,[클래스문방구] 따라만 해도 캘리그래퍼! 루시랩의 펜 캘리그라피 완전정복,calligraphy,펜글씨 캘리그래피,입문자,20주 수강 가능,10,33,바로 수강 가능,True,김루시,https://instagram.com/kimlucy0830,664,98%,72개의 글,3630,98,평균 7일 이내 응답,"1,039개의 피드백 더보기","359,000원","-99,500원","-40,000원",5개월 할부,38%,"월 43,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/wM6p25UPmrDzetLkYLqO,"219,500원"
0,"[클래스문방구] 흘려쓰는 순간 작품이 된다, 펜크래프트의 영문 필기체",calligraphy,영문 필기체,입문자,20주 수강 가능,9,30,바로 수강 가능,True,펜크래프트,"https://instagram.com/pencraft_, https://www.youtube.com/channel/UCJ6ffXRHtnXLhM2MFYsOrhQ?view_as=subscriber, https://smartstore.naver.com/pencraft",239,95%,140개의 글,3452,96,평균 하루 이내 응답,"1,293개의 피드백 더보기","320,300원","-106,730원","-40,000원",5개월 할부,45%,"월 34,714원",3만원 쿠폰,2021-06-09,https://class101.net/products/RcYLlJSDFDql12cpZOrU,"173,570원"
0,[클래스문방구] 글과 그림에 마음을 담아 - 그레이스캘리의 수채화 캘리그라피,calligraphy,수채화 캘리그라피,입문자,20주 수강 가능,10,38,바로 수강 가능,True,그레이스캘리,"https://instagram.com/gracecalli_cho, https://instagram.com/liv_calli",437,97%,83개의 글,3063,,,,"291,677원","-102,177원","-40,000원",5개월 할부,48%,"월 29,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/YT8uqzpEoNqzxOdOo9BE,"149,500원"
0,[클래스문방구] 리노와 아이패드로 시작하는 디지털캘리그라피,calligraphy,디지털 캘리그라피,입문자,20주 수강 가능,11,57,바로 수강 가능,True,,,634,85%,27개의 글,2705,,,,"369,000원","-120,000원","-40,000원",5개월 할부,43%,"월 41,800원",3만원 쿠폰,2021-06-09,https://class101.net/products/lino,"209,000원"
0,[클래스문방구] 글씨교정으로 또박또박 시작하는 바른 손글씨 생활,calligraphy,글씨교정,입문자,20주 수강 가능,10,32,바로 수강 가능,True,리버워드,https://www.instagram.com/river_word/?hl=zh-tw,308,96%,,2455,,,,"286,100원","-87,080원","-40,000원",5개월 할부,44%,"월 31,804원",3만원 쿠폰,2021-06-09,https://class101.net/products/GrHsWZo3smZuIi6OScc7,"159,020원"
0,"[🏆BEST특가] 영문 캘리그라피가 주는 소소한 행복, Lettering Together!",calligraphy,캘리그라피,입문자,20주 수강 가능,8,34,바로 수강 가능,True,hi_fooo,"https://instagram.com/hi_fooo, https://www.youtube.com/c/Handofhifooo",225,97%,1개의 글,2281,,,,"292,000원","-90,500원","-50,000원",5개월 할부,48%,"월 30,300원",5만원 쿠폰,2021-06-09,https://class101.net/products/hi-fooo-calligraphy,"151,500원"
0,"[클래스문방구] 글씨의 진한 울림, 필림의 손글씨 교정 클래스",calligraphy,손글씨 교정,입문자,20주 수강 가능,11,33,바로 수강 가능,True,필림,"https://instagram.com/feellim, https://feellim.creatorlink.net/",293,98%,26개의 글,2182,100,평균 3일 이내 응답,"2,045개의 피드백 더보기","337,200원","-123,340원","-40,000원",5개월 할부,48%,"월 34,772원",3만원 쿠폰,2021-06-09,https://class101.net/products/9Y6NX0LA2I0tJhzHlMpF,"173,860원"
0,"[클래스문방구] 모던 레터링, 종이 위를 울리는 펜촉의 리듬",calligraphy,모던 레터링,입문자,20주 수강 가능,11,79,바로 수강 가능,True,러브조이,,292,94%,8개의 글,2173,,,,"281,093원","-71,593원","-30,000원",5개월 할부,36%,"월 35,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/lovejoy,"179,500원"
