,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🔥상반기 총결산] 코바늘로 인형을 만들자! 시은맘의 꼼지락 작업실,코바늘뜨개,코바늘 인형,입문자,20주 수강 가능,14,79,바로 수강 가능,True,시은맘,https://instagram.com/sieunmomcom,"1,688",99%,403개의 글,9011,,,,"369,900원","-54,940원","-50,000원","264,960원",5개월 할부,28%,"월 52,992원",5만원 쿠폰,2021-06-09,https://class101.net/products/WDpY2sHSyfXhIyQAJSz6
0,[🔥상반기 총결산] 보송보송 코바늘 동물 세상! 바이브리와 함께 떠봐요.,코바늘뜨개,코바늘,중급자,24주 수강 가능,13,64,바로 수강 가능,True,바이브리(byBri),"https://instagram.com/zhibri_bybri, https://www.youtube.com/c/bybristudio, https://smartstore.naver.com/bybri",843,99%,76개의 글,6537,100,평균 하루 이내 응답,"6,715개의 피드백 더보기","329,500원","-49,855원","-50,000원","229,645원",5개월 할부,30%,"월 45,929원",5만원 쿠폰,2021-06-09,https://class101.net/products/HNp7Al3dho6rsulvcqs0
0,[클래스문방구] 직접 만들고 선물하는 재미! 서진과 함께 뜨는 코바늘 수세미,코바늘뜨개,코바늘 수세미 클래스,입문자,12주 수강 가능,16,60,바로 수강 가능,True,서진,https://instagram.com/seojincrochet,"3,671",98%,148개의 글,5210,,,,"194,579원","-74,880원","-40,000원","79,699원",3개월 할부,59%,"월 26,566원",3만원 쿠폰,2021-06-09,https://class101.net/products/Q21xnlPbaRtvgAhyFmU6
0,[클래스문방구] '바이브리'의 포근포근 코바늘 인형수업,코바늘뜨개,코바늘,입문자,24주 수강 가능,11,70,바로 수강 가능,True,바이브리(byBri),"https://instagram.com/zhibri_bybri, https://www.youtube.com/c/bybristudio, https://smartstore.naver.com/bybri","2,694",99%,72개의 글,4956,99,평균 하루 이내 응답,"4,845개의 피드백 더보기","397,700원","-98,200원","-40,000원","259,500원",5개월 할부,34%,"월 51,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/Kq4hhJIyB6vY4Wme0yC7
0,"[클래스문방구] 나와 함께하는 가방, 하민하준맘을 따라 코바늘로 떠봐요!",코바늘뜨개,코바늘뜨기,입문자,20주 수강 가능,11,45,바로 수강 가능,True,하민하준맘,https://instagram.com/hatwo_crochet,862,98%,72개의 글,4698,,,,"355,100원","-90,953원","-40,000원","224,147원",5개월 할부,36%,"월 44,829원",3만원 쿠폰,2021-06-09,https://class101.net/products/MgyD7U3jinJxhpANWQov
0,[클래스문방구] 가지뜨개와 함께 포근한 겨울을 뜨자! 패브릭얀으로 배우는 코바늘 클래스,코바늘뜨개,코바늘,입문자,16주 수강 가능,8,23,바로 수강 가능,True,가지뜨개,https://instagram.com/ddalgy0825,946,98%,59개의 글,3957,100,평균 12시간 이내 응답,"1,965개의 피드백 더보기","214,960원","-35,360원","-30,000원","149,600원",4개월 할부,30%,"월 37,400원",3만원 쿠폰,2021-06-09,https://class101.net/products/0RaIaMhZOIo5qxcKo2CO
0,[클래스문방구] 동글동글 천천히 떠가는 나만의 코바늘 인형,코바늘뜨개,코바늘,입문자,20주 수강 가능,12,56,바로 수강 가능,True,새벽달,"https://instagram.com/dawnmoon_ami, https://smartstore.naver.com/dawnmooncrochet","1,012",99%,33개의 글,3723,99,평균 12시간 이내 응답,"1,227개의 피드백 더보기","362,800원","-113,300원","-40,000원","209,500원",5개월 할부,42%,"월 41,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/fnkkRoCykK3f6kLbWiQT
0,[💣24시간] 귀여움 폭발! 코바늘로 퐁실퐁실 뜨개 소품 만들기,코바늘뜨개,"코바늘, 뜨개질",초급자,24주 수강 가능,11,68,바로 수강 가능,True,슬러그,"https://instagram.com/slug_seoul, https://youtu.be/nnUe5rvMY10",200,98%,201개의 글,2908,,,,"381,601원","-72,001원","-60,000원","249,600원",6개월 할부,34%,"월 41,600원",6만원 쿠폰,2021-06-09,https://class101.net/products/dKZsSnqgCMyMnW6Ua9dO
0,"[클래스문방구] 빈티지한 코바늘 손뜨개 소품 만들기, 차근차근 시작해봐요",코바늘뜨개,코바늘,초급자,20주 수강 가능,8,29,바로 수강 가능,True,데일리컨츄리,https://instagram.com/dailycountry1,130,94%,85개의 글,2700,,,,"258,201원","-68,701원","-40,000원","149,500원",5개월 할부,42%,"월 29,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/7ESrbL7NFtdxN55zJChB
0,"[🔥상반기 총결산] 세상의 모든 가방, 머릿속에 그리는 대로 만드는 코바늘뜨기",코바늘뜨개,코바늘 가방,입문자,24주 수강 가능,9,35,바로 수강 가능,True,미림주인,https://www.instagram.com/mirimzooin,585,99%,82개의 글,2405,,,,"393,450원","-102,823원","-50,000원","240,627원",6개월 할부,38%,"월 40,104원",5만원 쿠폰,2021-06-09,https://class101.net/products/FnZVrApzRYdPjLZTfReR
