,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🎁준비물무료] 이봄의 타로 클래스 ❥ 고민으로 잠 못드는 당신을 위해,타로사주운세,타로,입문자,20주 수강 가능,8,24,바로 수강 가능,True,이봄,"https://www.youtube.com/channel/UCC5K-pyiHoWC49lO3pZNniw?view_as=subscriber, https://www.instagram.com/paradisewizard/?hl=ko",316,100%,143개의 글,6069,,,,"404,000원","-156,500원","-40,000원","207,500원",5개월 할부,48%,"월 41,500원",준비물0원,2021-06-10,https://class101.net/products/aGWkyjGR9BeQnYVYSYPu
0,[🎁준비물무료] 내 마음을 제대로 들여다봐요. 마인드 힐링 타로카드,타로사주운세,타로카드,입문자,20주 수강 가능,10,31,바로 수강 가능,True,호수쌤,"https://www.youtube.com/channel/UC8shU1jcfW3yhMChAhXb3VA, https://www.instagram.com/hosu_ssaem_tarot/, https://blog.naver.com/ameringgo",373,95%,103개의 글,3665,,,,"344,000원","-122,500원","-40,000원","181,500원",5개월 할부,47%,"월 36,300원",준비물0원,2021-06-10,https://class101.net/products/xnWKVmNvqhM2koFikv4T
0,[🔥상반기 총결산] 모든 사람의 장점과 평생운을 볼 수 있는 [사주팔자 셀프 리딩] 클래스,타로사주운세,사주팔자/도화도르,초급자,20주 수강 가능,11,37,바로 수강 가능,False,"길이 되는 사주, 도화도르","https://www.youtube.com/channel/UC0asDkei6mvw2YXcq6had8g?view_as=subscriber, https://www.instagram.com/dohwadore_life_reader/","1,169",99%,38개의 글,3030,97,평균 3일 이내 응답,"8,925개의 피드백 더보기","309,000원","-69,500원","-50,000원","189,500원",5개월 할부,38%,"월 37,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/eQ0bkTGij6wioYNSya88
0,[🔥상반기 총결산] 이봄의 타로카드 '실전리딩 완전정복' ✥ 당신이 다시는 헤매지 않도록,타로사주운세,타로카드,초급자,20주 수강 가능,8,32,바로 수강 가능,True,이봄,"https://www.youtube.com/channel/UCC5K-pyiHoWC49lO3pZNniw?view_as=subscriber, https://www.instagram.com/paradisewizard/?hl=ko",392,97%,46개의 글,2023,100,평균 12시간 이내 응답,"2,660개의 피드백 더보기","309,000원","-69,500원","-50,000원","189,500원",5개월 할부,38%,"월 37,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/va4ByuJygZDqCOrwLlCp
0,[클래스문방구] 세상에 없던 타로 혁명! 비욘드 타로 텔링,타로사주운세,타로 카드 리딩,입문자,20주 수강 가능,8,32,바로 수강 가능,True,디센터,"https://blog.naver.com/bxeve, https://www.instagram.com/mind_linker/",29,79%,12개의 글,445,,,,"344,000원","-94,500원","-40,000원","209,500원",5개월 할부,39%,"월 41,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/SPUwOT4rae9RcJ3OA9U1
0,15년차 타로 마스터 이상욱의 <불안을 잠재우는 인생 컨설팅 타로카드>,타로사주운세,타로카드 입문,입문자,20주 수강 가능,10,32,바로 수강 가능,False,타로마스터 이상욱,https://www.instagram.com/tarotmaster_leesangwook/,,,9개의 글,442,,,,"306,000원","-61,000원",,,5개월 할부,19%,"월 49,000원",,2021-06-10,https://class101.net/products/Ev9z1mMLFdXPsjQKj4Kz
0,[클래스문방구] 심볼론 타로 카드로 그 사람의 속마음과 심리 읽기,타로사주운세,심볼론 타로,입문자,20주 수강 가능,10,42,바로 수강 가능,True,미나,https://m.blog.naver.com/queenztarot/222302475316,45,96%,6개의 글,363,97,평균 3일 이내 응답,137개의 피드백 더보기,"292,150원","-64,900원","-40,000원","187,250원",5개월 할부,35%,"월 37,450원",3만원 쿠폰,2021-06-10,https://class101.net/products/MCdLRDJFTsiAclVjxdBH
0,[꿀조합 할인🍯] 마음 속 질문에 답해보세요. 이봄의 타로 클래스 기초부터 심화까지,타로사주운세,타로카드 배우기,입문자,1년 수강 가능,0,0,바로 수강 가능,False,클래스101,,,,,158,,,,"678,000원","-239,010원","-40,000원","398,990원",12개월 할부,41%,"월 33,249원",3만원 쿠폰,2021-06-10,https://class101.net/products/hxZaH0YlABazzGRh235E
0,"[클래스문방구] 손금, 쉽게 배워서 바로 써먹는 클래스",타로사주운세,손금 운세,입문자,20주 수강 가능,8,28,바로 수강 가능,False,Palmreader,,,,3개의 글,143,,,,"243,600원","-48,400원","-40,000원","155,200원",5개월 할부,36%,"월 31,040원",3만원 쿠폰,2021-06-10,https://class101.net/products/Onn21ugO8PJSIGxMkKTl
0,[꿀조합 할인🍯] 고민이 드는 모든 순간 '타로카드'와 '사주팔자'로 운세를 셀프 리딩 해봐요,타로사주운세,타로카드와 사주팔자 셀프 리딩,입문자,1년 수강 가능,0,0,바로 수강 가능,False,클래스101,,,,,85,,,,"678,000원","-318,900원","-40,000원","319,100원",12개월 할부,52%,"월 26,591원",3만원 쿠폰,2021-06-10,https://class101.net/products/r6hCzuJEPtJ5bahX5qM6
