,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[클래스문방구] 뻔하지 않게! 나다운 맞춤 생활한복 만들어요.,패브릭공예,의상,입문자,22주 수강 가능,9,41,바로 수강 가능,True,시옷프로젝트,https://instagram.com/siotproject,172,91%,147개의 글,4860,,,,"358,000원","-63,500원","-40,000원","254,500원",5개월 할부,28%,"월 50,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/lbDgiBLHasXljT95xnBn
0,"[💣24시간] 누구나 상상을 현실로 만들 수 있어요, 나만의 커스텀 드레스만들기",패브릭공예,"재봉, 옷만들기,드레스",입문자,20주 수강 가능,9,51,바로 수강 가능,True,SAIDA,"https://youtube.com/c/saidadd, http://intagram.com/dd_saida",291,100%,99개의 글,4511,,,,"612,700원","-168,810원","-60,000원","383,890원",5개월 할부,37%,"월 76,778원",6만원 쿠폰,2021-06-09,https://class101.net/products/leyK9ikV41eGCCjACVok
0,"[클래스문방구] 소소한날과 함께, 우리가 입을 옷을 재봉틀로 직접 지어요.",패브릭공예,재봉틀,초급자,20주 수강 가능,8,41,바로 수강 가능,True,소소한날,https://instagram.com/sosohannal_1st,305,99%,182개의 글,3827,99,평균 하루 이내 응답,"1,093개의 피드백 더보기","402,403원","-80,983원","-40,000원","281,420원",5개월 할부,30%,"월 56,284원",3만원 쿠폰,2021-06-09,https://class101.net/products/GhtexWWAXlFVvOZVYfGt
0,"[클래스문방구] 손 바느질로 만드는, 맛있는 패브릭 피규어",패브릭공예,손바느질 인형,입문자,20주 수강 가능,8,30,바로 수강 가능,True,브로보이,https://instagram.com/broboy_works,317,92%,120개의 글,3099,,,,"299,600원","-65,100원","-40,000원","194,500원",5개월 할부,35%,"월 38,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/81pUfjlX5nK0ReuEKl9D
0,"[클래스문방구] 손으로 짓는 단정한 일상, 손바느질 리넨소품",패브릭공예,손바느질,초급자,20주 수강 가능,10,39,바로 수강 가능,True,orzr,"https://www.instagram.com/_orzr, https://www.instagram.com/apiece_aday",268,99%,123개의 글,2312,,,,"327,400원","-67,900원","-40,000원","219,500원",5개월 할부,32%,"월 43,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/RH8qfGwCLjUMJ9sTqTpc
0,"[클래스문방구] 소중한 마음을 담아, 초보도 쉽게 만드는 달빈의 재봉틀 수업",패브릭공예,재봉틀 의류 제작,입문자,20주 수강 가능,10,47,바로 수강 가능,True,달빈,http://instagram.com/dalbin__,119,100%,39개의 글,2197,,,,"484,400원","-84,900원","-40,000원","359,500원",5개월 할부,25%,"월 71,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/5VpGXOzozgVkuyZPyiCQ
0,[클래스문방구] 나만의 색깔로 디자이너처럼! 스티치랩과 함께 재봉틀로 만드는 하나뿐인 소품,패브릭공예,재봉틀 기초,입문자,20주 수강 가능,8,27,바로 수강 가능,True,스티치랩 소잉 스튜디오,https://instagram.com/stitchlab_studio,78,92%,82개의 글,2164,,,,"324,654원","-75,154원","-40,000원","209,500원",5개월 할부,35%,"월 41,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/06VoI0rqaG3kg8DIqMsr
0,"[클래스문방구] 인형 옷, 원하는대로 만들 순 없을까? 패턴 하나로 여섯가지 드레스 만들기!",패브릭공예,인형옷 만들기,초급자,20주 수강 가능,10,50,바로 수강 가능,False,LIM,https://instagram.com/cicadalim,109,100%,93개의 글,1867,99,평균 12시간 이내 응답,777개의 피드백 더보기,"508,800원","-89,300원","-40,000원","379,500원",5개월 할부,25%,"월 75,900원",3만원 쿠폰,2021-06-09,https://class101.net/products/wUYT7HMbWsjJSo6S1FRi
0,"[🏆BEST특가] 고운 빛깔 인형 한복, 전통 손바느질 기법으로 만들기",패브릭공예,인형 전통 한복 제작,입문자,20주 수강 가능,11,43,바로 수강 가능,True,마노공방,"https://blog.naver.com/mano_diy, https://www.instagram.com/mano_craft93, https://www.youtube.com/channel/UC-3TyG5xI9ObJXYJ_D8uPxA",211,99%,84개의 글,1651,,,,"273,269원","-30,329원","-50,000원","192,940원",5개월 할부,29%,"월 38,588원",5만원 쿠폰,2021-06-09,https://class101.net/products/6vzDIxs8V3VzNj2xevMS
0,"[🔥상반기 총결산] 방 안에서 만나는 ""우리의 치앙마이"", 손바느질로 특별한 나의 옷 짓기",패브릭공예,치앙마이식 손바느질,입문자,20주 수강 가능,14,49,바로 수강 가능,True,복태,https://www.instagram.com/boktea/,236,99%,45개의 글,1571,,,,"496,000원","-86,800원","-50,000원","359,200원",5개월 할부,27%,"월 71,840원",5만원 쿠폰,2021-06-09,https://class101.net/products/jQGSNyoqxPCRg2e2HMl6
