,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,[🔥상반기 총결산] 꽃풍선부터 헬륨까지! 월급3배 투잡으로 시작하는 소자본 레터링풍선창업,플라워,레터링 꽃풍선,입문자,20주 수강 가능,12,34,바로 수강 가능,True,수아레벌룬,"https://www.instagram.com/soiree_balloon/, https://m.blog.naver.com/PostList.nhn?blogId=dgjy9095",891,100%,116개의 글,4033,97,평균 하루 이내 응답,"3,368개의 피드백 더보기","432,100원","-82,600원","-50,000원","299,500원",5개월 할부,30%,"월 59,900원",5만원 쿠폰,2021-06-10,https://class101.net/products/XfXQYt5h0edCw8qjtlYI
0,[클래스문방구] 토크어바웃과 함께 내 손으로 피워내는 한 다발의 꽃,플라워,플라워,입문자,20주 수강 가능,8,27,바로 수강 가능,True,토크어바웃 플라워,https://instagram.com/talkabout_flower,122,93%,15개의 글,2805,,,,"370,700원","-66,200원","-40,000원","264,500원",5개월 할부,28%,"월 52,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/DHf3JvhIN9NIpzaaKKgL
0,"[🔥상반기 총결산] 취미로 시작해서 온라인 창업까지! 시들지 않는 꽃, 실크플라워",플라워,"실크플라워, 조화",초급자,20주 수강 가능,8,36,바로 수강 가능,False,오월의 작약,https://instagram.com/peony.in.may,168,99%,46개의 글,1729,99,평균 3일 이내 응답,836개의 피드백 더보기,"429,100원","-84,900원","-50,000원","294,200원",5개월 할부,31%,"월 58,840원",5만원 쿠폰,2021-06-10,https://class101.net/products/syl2thdl6OnZVINRaHGI
0,[🎁준비물무료] 일상에서 꽃과 함께 하는 생화 라이프 입문하기,플라워,생화 디자인,입문자,20주 수강 가능,8,23,바로 수강 가능,True,글로우플라워,https://www.instagram.com/glow_taesun/,79,100%,5개의 글,1466,,,,"330,800원","-135,370원","-40,000원","155,430원",5개월 할부,53%,"월 31,086원",준비물0원,2021-06-10,https://class101.net/products/AGqXYSOOhFzzYRU3yAyX
0,[클래스문방구] 널 '조화'해! 플로리스트 벨리아떼와 함께 조화를 다뤄요.,플라워,플라워,입문자,16주 수강 가능,10,35,바로 수강 가능,True,벨리아떼,https://instagram.com/belliate_,394,92%,15개의 글,1365,,,,"167,000원","-23,400원","-40,000원","103,600원",4개월 할부,37%,"월 25,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/FtwbwBV5Dwfm7MEpSXO9
0,"[클래스문방구] 아름답고 향기로운 꽃, 드라이플라워로 오래도록",플라워,드라이플라워,입문자,20주 수강 가능,9,31,바로 수강 가능,True,무아랩,https://instagram.com/wreathgirl00,42,86%,34개의 글,1300,,,,"414,000원","-124,500원","-40,000원","249,500원",5개월 할부,39%,"월 49,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/4CC0vMntNHLYt3xaEldf
0,"[클래스문방구] 실크 플라워, 시들지 않는 아름다움을 디자인해요",플라워,실크 플라워 디자인,입문자,20주 수강 가능,8,23,바로 수강 가능,True,드로잉엣가든,https://instagram.com/drawing_garden,97,95%,12개의 글,1264,,,,"408,200원","-118,700원","-40,000원","249,500원",5개월 할부,38%,"월 49,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/nz13uvPB9awijj2jbyVi
0,"[클래스문방구] 소자본 창업을 고민 중이라면? 전문 플로리스트에게 ""제대로"" 배우는 꽃풍선 클래스",플라워,"꽃풍선, 벌룬플라워",입문자,20주 수강 가능,12,45,바로 수강 가능,False,굿마더스,"https://www.instagram.com/goodmother_s/, https://blog.naver.com/hj8900, http://www.goodmothers.co.kr/",31,94%,29개의 글,1037,,,,"430,500원","-76,000원","-40,000원","314,500원",5개월 할부,26%,"월 62,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/kmR9gD31GjU4OAj7KDMt
0,"[클래스문방구] 특별한 순간을 위해, 프리저브드 플라워 아트",플라워,프리저브드 플라워 아트,초급자,20주 수강 가능,10,37,바로 수강 가능,True,라미엔느,"https://www.instagram.com/, https://m.blog.naver.com/la-mienne",,,45개의 글,897,,,,"348,200원","-125,556원","-40,000원","182,644원",5개월 할부,47%,"월 36,528원",3만원 쿠폰,2021-06-10,https://class101.net/products/Ehdy6nTSxlJY4MwZk0Kj
0,"[클래스문방구] 추억이 담긴 꽃으로 직접 만드는 드라이플라워 소품 ,소중한 감동을 오래도록",플라워,드라이플라워 제작 및 인테리어 소품 만들기,초급자,22주 수강 가능,8,30,바로 수강 가능,True,쿠루,,25,100%,4개의 글,554,,,,"470,500원","-81,000원","-40,000원","349,500원",5개월 할부,25%,"월 69,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/AdFzE7TO6yxEeIX0IKgo
0,"[MINI] 드라이플라워 리스, 가장 아름다웠던 순간의 기억",플라워,드라이플라워 리스 만들기,입문자,12주 수강 가능,2,9,바로 수강 가능,True,무아랩,https://instagram.com/wreathgirl00,,,1개의 글,544,,,,"177,800원","-51,500원",,,5개월 할부,28%,"월 25,260원",,2021-06-10,https://class101.net/products/OI7knhTzbhGAvIs2Tnvb
0,"[클래스문방구] 직접 완성하는 나만의 실크플라워 작품, 일상을 더 특별하게!",플라워,실크플라워,입문자,20주 수강 가능,8,21,바로 수강 가능,True,빌프랑,https://www.instagram.com/ville.franc/,,,,534,,,,"239,000원","-61,015원","-40,000원","137,985원",5개월 할부,42%,"월 27,597원",3만원 쿠폰,2021-06-10,https://class101.net/products/VpmNwtwxbPIXSqK631QN
