,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[💖인기검색] 조향사에게 배우는 조향 기초, 나만의 향기를 만들어요.",향,조향,입문자,20주 수강 가능,8,24,바로 수강 가능,True,블뤼떼 BLUTE,https://instagram.com/bluteblute,512,95%,150개의 글,7119,,,,"392,000원","-92,500원","-40,000원","259,500원",5개월 할부,33%,"월 51,900원",4만원 쿠폰,2021-06-10,https://class101.net/products/QlIxKHXIPlihxoXAwgeD
0,"[클래스문방구] 소중한 나를 위해, 직접 만드는 특별한 천연 비누",향,천연 비누,입문자,20주 수강 가능,8,33,바로 수강 가능,True,오키프,https://instagram.com/oh.keep,802,97%,59개의 글,5919,,,,"383,021원","-83,521원","-40,000원","259,500원",5개월 할부,32%,"월 51,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/ohkeep-soap
0,[클래스문방구] 천연 비누로 한 층 한 층 그려내는 풍경,향,천연비누,초급자,20주 수강 가능,9,33,바로 수강 가능,True,nov,https://www.instagram.com/novworkshop,361,96%,60개의 글,4687,,,,"328,000원","-116,020원","-40,000원","171,980원",5개월 할부,47%,"월 34,396원",3만원 쿠폰,2021-06-10,https://class101.net/products/sdYian9GZMCkEpQzhQwL
0,[클래스문방구] 언제나 내 곁에 머무를 나만의 향기,향,조향,입문자,16주 수강 가능,9,28,바로 수강 가능,True,향기로운 블라썸,https://instagram.com/blossom.yoon.jung,316,94%,26개의 글,4661,,,,"270,856원","-71,256원","-40,000원","159,600원",4개월 할부,41%,"월 39,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/tD9ysASfk2hfdLVS0C5P
0,[클래스문방구] 센트보틀의 일상에 선물이 되는 향기 만들기,향,캔들공예,입문자,16주 수강 가능,10,32,바로 수강 가능,True,향기 공방 센트보틀,https://instagram.com/scent_bottle,"1,021",98%,121개의 글,4530,,,,"393,239원","-113,734원","-40,000원","239,505원",4개월 할부,39%,"월 59,876원",3만원 쿠폰,2021-06-10,https://class101.net/products/HecSpAww7RHFuLUzqBjR
0,"[클래스문방구] 먹지 마세요, 당신의 하루에 양보하세요. 유투버 프리띵의 맛있는 캔들",향,맛있는 캔들,입문자,20주 수강 가능,10,40,바로 수강 가능,True,프리띵(pretthing),"https://www.youtube.com/c/pretthing, https://blog.naver.com/pretthing, https://www.instagram.com/pretthing_/",468,99%,82개의 글,3837,,,,"427,945원","-108,445원","-40,000원","279,500원",5개월 할부,34%,"월 55,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/SvIQLOksd7kNWoyqMyGN
0,"[클래스문방구] 세상의 모든 캔들, 방 안을 향기로 채워요.",향,캔들,초급자,20주 수강 가능,8,23,바로 수강 가능,True,뤼에르캔들,https://www.instagram.com/____lueur,357,99%,156개의 글,3761,,,,"360,753원","-66,253원","-40,000원","254,500원",5개월 할부,29%,"월 50,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/wq1p0i7YmNC8F5fcv9bg
0,"[클래스문방구] 천연비누, 기초부터 디자인까지 전문적으로 배우자",향,천연비누,중급자,20주 수강 가능,10,36,바로 수강 가능,True,오키프,https://instagram.com/oh.keep,381,97%,139개의 글,3396,,,,"439,750원","-140,000원","-40,000원","259,750원",5개월 할부,40%,"월 51,950원",3만원 쿠폰,2021-06-10,https://class101.net/products/7FR1eGmUqgj2bnZzpaQo
0,"[클래스문방구] 앤클로써의 하루 끝을 편안하게 녹여줄 배쓰밤, 버블바",향,아로마 배쓰밤,입문자,20주 수강 가능,8,29,바로 수강 가능,True,앤클로써,https://instagram.com/n.closer,194,96%,58개의 글,2802,,,,"444,023원","-134,523원","-40,000원","269,500원",5개월 할부,39%,"월 53,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/6PRCx0mNfRTINrAXA43o
0,"[클래스문방구] 자연과 나를 위한 향기로운 선물, 비건 비누 제작법",향,비건 비누 만들기,입문자,20주 수강 가능,11,37,바로 수강 가능,True,fxng 퐁,"https://instagram.com/fxng.official, https://twitter.com/fxngoO",144,99%,49개의 글,2629,,,,"379,800원","-105,494원","-40,000원","234,306원",5개월 할부,38%,"월 46,861원",3만원 쿠폰,2021-06-10,https://class101.net/products/iawMenOIO1f8QxT3WXcs
